hour,Peak_flat_valley,electric_charge,electric_charge
1,1,9568.365,2358.602
2,1,9742.259,2401.467
3,1,9617.787,2370.785
4,1,8202.095,2021.816
5,1,7766.272,1914.386
6,1,8764.012,2160.329
7,1,8751.051,2157.134
8,1,8606.889,2121.598
9,2,8354.244,4526.329
10,2,7937.718,4300.656
11,2,7045.883,3817.459
12,2,6380.23,3456.808
13,2,7020.118,3803.5
14,2,6797.055,3682.644
15,3,6900.719,5950.49
16,3,6634.136,5720.615
17,3,9058.84,7811.438
18,2,9307.913,5043.027
19,2,9415.297,5101.208
20,3,9747.712,8405.452
21,3,9764.457,8419.891
22,3,9686.329,8352.521
23,2,9695.076,5252.792
24,2,7406.501,4012.842
1,1,7977.314,1966.408
2,1,9669.581,2383.552
3,1,9947.122,2451.966
4,1,9804.121,2416.716
5,1,9782.409,2411.364
6,1,7645.665,1884.656
7,1,10059.439,2479.652
8,1,9835.662,2424.491
9,2,9330.121,5055.06
10,2,9380.099,5082.138
11,2,10327.08,5595.212
12,2,10301.976,5581.611
13,2,11661.193,6318.035
14,2,11632.59,6302.537
15,3,11535.772,9947.296
16,3,13004.718,11213.969
17,3,13343.262,11505.895
18,2,14035.981,7604.695
19,2,14731.84,7981.711
20,3,14811.578,12772.024
21,3,14419.143,12433.627
22,3,14898.208,12846.724
23,2,14983.211,8117.904
24,2,14784.283,8010.125
1,1,12752.205,6909.145
2,1,12857.006,3169.252
3,1,11729.099,2891.223
4,1,11936.011,2942.227
5,1,12185.663,3003.766
6,1,12344.798,3042.993
7,1,12737.295,3139.743
8,1,13961.124,3441.417
9,2,13956.873,3440.369
10,2,13825.985,7490.919
11,2,14007.177,7589.088
12,2,14268.035,7730.422
13,2,13269.014,7189.152
14,2,14541.657,7878.67
15,3,13758.1,7454.138
16,3,13680.406,11796.614
17,3,14534.891,12533.436
18,2,15044.812,12973.142
19,2,15885.222,8606.613
20,3,14583.921,7901.568
21,3,14425.55,12439.152
22,3,14598.536,12588.318
23,2,14888.568,12838.412
24,2,16289.393,8825.593
1,1,16127.33,8737.787
2,1,16246.992,4004.883
3,1,15656.224,3859.259
4,1,15577.55,3839.866
5,1,15895.79,3918.312
6,1,15896.827,3918.568
7,1,15771.373,3887.643
8,1,15478.841,3815.534
9,2,13971.539,3443.984
10,2,12829.177,6950.848
11,2,13441.892,7282.817
12,2,14010.167,7590.709
13,2,14510.083,7861.563
14,2,15697.792,8505.064
15,3,15721.729,8518.033
16,3,16722.292,14419.633
17,3,16757.299,14449.819
18,2,16109.849,13891.523
19,2,16009.676,8674.042
20,3,16098.162,8721.984
21,3,15815.517,13637.721
22,3,16583.243,14299.731
23,2,16683.486,14386.17
24,2,16330.828,8848.043
1,1,16851.839,9130.326
2,1,17396.652,4288.275
3,1,17665.81,4354.622
4,1,17856.172,4401.546
5,1,17456.321,4302.983
6,1,16708.117,4118.551
7,1,16450.724,4055.103
8,1,13462.684,3318.552
9,2,11815.108,2912.424
10,2,10586.824,5735.941
11,2,10481.952,5679.122
12,2,9829.709,5325.736
13,2,10118.004,5481.934
14,2,10696.213,5795.208
15,3,11373.531,6162.179
16,3,11787.067,10163.988
17,3,12257.337,10569.502
18,2,12573.25,10841.913
19,2,13338.53,7226.816
20,3,13380.255,7249.422
21,3,13175.386,11361.135
22,3,12261.812,10573.361
23,2,13164.414,11351.674
24,2,13522.378,7326.425
1,1,13326.042,7220.049
2,1,13589.311,3349.765
3,1,13577.869,3346.945
4,1,13460.31,3317.966
5,1,13176.079,3247.903
6,1,12107.371,2984.467
7,1,11671.535,2877.033
8,1,11527.825,2841.609
9,2,11325.017,2791.617
10,2,10068.952,5455.358
11,2,10776.653,5838.791
12,2,10850.585,5878.847
13,2,11000.397,5960.015
14,2,11095.789,6011.698
15,3,11040.101,5981.527
16,3,10751.74,9271.225
17,3,11140.895,9606.794
18,2,12106.156,10439.138
19,2,12472.279,6757.481
20,3,12183.086,6600.796
21,3,12065.726,10404.276
22,3,11965.476,10317.83
23,2,11782.297,10159.874
24,2,11749.411,6365.831
1,1,11277.999,6110.42
2,1,11470.476,2827.472
3,1,11499.661,2834.667
4,1,10811.255,2664.974
5,1,11322.526,2791.003
6,1,11133.042,2744.295
