month,date,hour,peak_flat_valley,power_num,price
5,1,1,1,9568.365,2358.602
5,1,2,1,9742.259,2401.467
5,1,3,1,9617.787,2370.785
5,1,4,1,8202.095,2021.816
5,1,5,1,7766.272,1914.386
5,1,6,1,8764.012,2160.329
5,1,7,1,8751.051,2157.134
5,1,8,1,8606.889,2121.598
5,1,9,2,8354.244,4526.329
5,1,10,2,7937.718,4300.656
5,1,11,2,7045.883,3817.459
5,1,12,2,6380.23,3456.808
5,1,13,2,7020.118,3803.5
5,1,14,2,6797.055,3682.644
5,1,15,3,6900.719,5950.49
5,1,16,3,6634.136,5720.615
5,1,17,3,9058.84,7811.438
5,1,18,2,9307.913,5043.027
5,1,19,2,9415.297,5101.208
5,1,20,3,9747.712,8405.452
5,1,21,3,9764.457,8419.891
5,1,22,3,9686.329,8352.521
5,1,23,2,9695.076,5252.792
5,1,24,2,7406.501,4012.842
5,2,1,1,7977.314,1966.408
5,2,2,1,9669.581,2383.552
5,2,3,1,9947.122,2451.966
5,2,4,1,9804.121,2416.716
5,2,5,1,9782.409,2411.364
5,2,6,1,7645.665,1884.656
5,2,7,1,10059.439,2479.652
5,2,8,1,9835.662,2424.491
5,2,9,2,9330.121,5055.06
5,2,10,2,9380.099,5082.138
5,2,11,2,10327.08,5595.212
5,2,12,2,10301.976,5581.611
5,2,13,2,11661.193,6318.035
5,2,14,2,11632.59,6302.537
5,2,15,3,11535.772,9947.296
5,2,16,3,13004.718,11213.969
5,2,17,3,13343.262,11505.895
5,2,18,2,14035.981,7604.695
5,2,19,2,14731.84,7981.711
5,2,20,3,14811.578,12772.024
5,2,21,3,14419.143,12433.627
5,2,22,3,14898.208,12846.724
5,2,23,2,14983.211,8117.904
5,2,24,2,14784.283,8010.125
5,3,1,1,14463.739,7836.454
5,3,2,1,14752.804,3636.566
5,3,3,1,14567.039,3590.775
5,3,4,1,14454.176,3562.954
5,3,5,1,13948.553,3438.318
5,3,6,1,14229.938,3507.68
5,3,7,1,14278.222,3519.582
5,3,8,1,13863.579,3417.372
5,3,9,2,11268.396,2777.66
5,3,10,2,10545.845,5713.739
