month,date,hour,peak_flat_valley,real,pred
7.0,24.0,1.0,1.0,18752.346,14719.271
7.0,24.0,2.0,1.0,18628.002,16705.982
7.0,24.0,3.0,1.0,19064.896,17781.277
7.0,24.0,4.0,1.0,18964.342,18037.879
7.0,24.0,5.0,1.0,19076.764,18035.291
7.0,24.0,6.0,1.0,18510.824,17742.555
7.0,24.0,7.0,1.0,18526.934,17620.23
7.0,24.0,8.0,1.0,18575.795,17602.824
7.0,24.0,9.0,2.0,17764.463,17003.438
7.0,24.0,10.0,2.0,16249.237,16324.117
7.0,24.0,11.0,2.0,16217.751,16254.373
7.0,24.0,12.0,2.0,16700.715,16515.32
7.0,24.0,13.0,2.0,16909.807,16716.043
7.0,24.0,14.0,2.0,16186.461,16525.592
7.0,24.0,15.0,3.0,16747.426,16508.771
7.0,24.0,16.0,3.0,17762.082,17012.99
7.0,24.0,17.0,3.0,17858.256,17185.398
7.0,24.0,18.0,2.0,17731.037,17476.055
7.0,24.0,19.0,2.0,19060.213,18068.84
7.0,24.0,20.0,3.0,19129.018,17937.098
7.0,24.0,21.0,3.0,19303.123,18024.068
7.0,24.0,22.0,3.0,20164.56,18434.625
7.0,24.0,23.0,2.0,20708.82,19068.041
7.0,24.0,24.0,2.0,19900.848,18961.234
7.0,25.0,1.0,1.0,18815.451,18647.992
7.0,25.0,2.0,1.0,19597.26,18621.838
7.0,25.0,3.0,1.0,18589.287,18147.367
7.0,25.0,4.0,1.0,18550.61,17916.738
7.0,25.0,5.0,1.0,18306.873,17709.312
7.0,25.0,6.0,1.0,17148.94,17192.678
7.0,25.0,7.0,1.0,16572.707,16825.223
7.0,25.0,8.0,1.0,15578.821,16373.033
7.0,25.0,9.0,2.0,13945.846,15457.666
7.0,25.0,10.0,2.0,13365.822,15241.3
7.0,25.0,11.0,2.0,13006.886,15223.047
7.0,25.0,12.0,2.0,12620.173,15192.32
7.0,25.0,13.0,2.0,12979.062,15380.645
7.0,25.0,14.0,2.0,12899.969,15429.534
7.0,25.0,15.0,3.0,13348.034,15425.829
7.0,25.0,16.0,3.0,13810.896,15669.193
7.0,25.0,17.0,3.0,14540.875,16006.0
7.0,25.0,18.0,2.0,14608.811,16317.125
7.0,25.0,19.0,2.0,15534.871,16677.379
7.0,25.0,20.0,3.0,15508.211,16419.781
7.0,25.0,21.0,3.0,15721.959,16516.072
7.0,25.0,22.0,3.0,15661.785,16558.809
7.0,25.0,23.0,2.0,15513.774,16812.312
7.0,25.0,24.0,2.0,15743.315,16942.404
7.0,26.0,1.0,1.0,15855.191,17039.416
7.0,26.0,2.0,1.0,16233.839,16906.867
7.0,26.0,3.0,1.0,17986.838,17343.361
7.0,26.0,4.0,1.0,17787.78,17305.58
7.0,26.0,5.0,1.0,17410.945,17125.217
7.0,26.0,6.0,1.0,17448.857,17084.045
7.0,26.0,7.0,1.0,18109.389,17325.309
7.0,26.0,8.0,1.0,17361.377,17137.043
7.0,26.0,9.0,2.0,16430.568,16472.682
7.0,26.0,10.0,2.0,15564.293,16085.3955
7.0,26.0,11.0,2.0,15132.563,15950.007
7.0,26.0,12.0,2.0,15013.135,15974.571
7.0,26.0,13.0,2.0,15811.375,16351.064
7.0,26.0,14.0,2.0,15748.676,16434.814
7.0,26.0,15.0,3.0,16268.686,16424.676
7.0,26.0,16.0,3.0,16102.928,16428.656
7.0,26.0,17.0,3.0,17473.137,17041.049
7.0,26.0,18.0,2.0,17895.193,17608.072
7.0,26.0,19.0,2.0,18186.816,17810.992
7.0,26.0,20.0,3.0,17892.443,17402.43
7.0,26.0,21.0,3.0,17527.674,17224.709
7.0,26.0,22.0,3.0,16998.297,17042.588
7.0,26.0,23.0,2.0,16242.449,17063.21
7.0,26.0,24.0,2.0,16357.925,17150.475
7.0,27.0,1.0,1.0,16024.311,17111.121
7.0,27.0,2.0,1.0,16469.898,16996.193
7.0,27.0,3.0,1.0,16685.822,16900.945
7.0,27.0,4.0,1.0,16484.47,16730.164
7.0,27.0,5.0,1.0,16842.287,16785.691
7.0,27.0,6.0,1.0,16783.123,16769.014
7.0,27.0,7.0,1.0,16225.476,16570.104
7.0,27.0,8.0,1.0,15714.889,16364.089
7.0,27.0,9.0,2.0,14548.552,15680.6045
7.0,27.0,10.0,2.0,13772.589,15417.21
7.0,27.0,11.0,2.0,13622.798,15452.885
7.0,27.0,12.0,2.0,13082.658,15368.99
7.0,27.0,13.0,2.0,11821.432,15030.749
7.0,27.0,14.0,2.0,12177.602,15201.213
7.0,27.0,15.0,3.0,12101.655,15086.132
7.0,27.0,16.0,3.0,12832.109,15414.276
7.0,27.0,17.0,3.0,12403.338,15342.893
7.0,27.0,18.0,2.0,13211.011,15846.918
7.0,27.0,19.0,2.0,13528.797,15999.644
7.0,27.0,20.0,3.0,13647.975,15796.4795
7.0,27.0,21.0,3.0,13995.635,15961.795
7.0,27.0,22.0,3.0,13677.072,15906.416
7.0,27.0,23.0,2.0,13691.475,16177.697
7.0,27.0,24.0,2.0,13683.089,16200.096
7.0,28.0,1.0,1.0,13363.522,16125.567
7.0,28.0,2.0,1.0,14416.287,16186.026
7.0,28.0,3.0,1.0,14698.427,16123.3
7.0,28.0,4.0,1.0,14714.777,16020.985
7.0,28.0,5.0,1.0,14694.737,15949.309
7.0,28.0,6.0,1.0,15263.891,16119.647
7.0,28.0,7.0,1.0,16271.07,16512.375
7.0,28.0,8.0,1.0,16466.244,16673.543
7.0,28.0,9.0,2.0,15852.411,16225.284
7.0,28.0,10.0,2.0,14719.887,15800.336
7.0,28.0,11.0,2.0,14600.782,15793.29
7.0,28.0,12.0,2.0,14665.187,15909.213
7.0,28.0,13.0,2.0,14750.885,16023.347
7.0,28.0,14.0,2.0,14848.208,16124.296
7.0,28.0,15.0,3.0,14827.313,15925.853
7.0,28.0,16.0,3.0,15712.323,16336.246
7.0,28.0,17.0,3.0,15241.953,16249.928
7.0,28.0,18.0,2.0,16722.68,17095.578
7.0,28.0,19.0,2.0,17534.09,17544.94
7.0,28.0,20.0,3.0,17913.926,17443.855
7.0,28.0,21.0,3.0,17635.592,17327.627
7.0,28.0,22.0,3.0,17572.887,17324.312
7.0,28.0,23.0,2.0,18293.793,17953.08
7.0,28.0,24.0,2.0,17951.924,17948.262
7.0,29.0,1.0,1.0,17575.768,17870.504
7.0,29.0,2.0,1.0,17906.418,17726.168
7.0,29.0,3.0,1.0,17891.742,17557.81
7.0,29.0,4.0,1.0,17217.754,17201.377
7.0,29.0,5.0,1.0,17018.918,17008.06
7.0,29.0,6.0,1.0,17605.31,17171.482
7.0,29.0,7.0,1.0,16513.951,16814.777
7.0,29.0,8.0,1.0,14519.849,16024.43
7.0,29.0,9.0,2.0,13336.825,15282.025
7.0,29.0,10.0,2.0,12419.286,15041.262
7.0,29.0,11.0,2.0,12022.837,15034.893
7.0,29.0,12.0,2.0,12653.561,15334.116
7.0,29.0,13.0,2.0,12876.192,15491.262
7.0,29.0,14.0,2.0,12018.621,15246.71
7.0,29.0,15.0,3.0,13166.912,15460.132
7.0,29.0,16.0,3.0,13509.537,15676.067
7.0,29.0,17.0,3.0,13906.192,15866.634
7.0,29.0,18.0,2.0,13575.623,16005.662
7.0,29.0,19.0,2.0,13750.839,16060.166
7.0,29.0,20.0,3.0,13531.567,15741.969
7.0,29.0,21.0,3.0,14504.348,16158.426
7.0,29.0,22.0,3.0,16222.797,16927.81
7.0,29.0,23.0,2.0,17478.908,17780.068
7.0,29.0,24.0,2.0,18395.533,18212.26
7.0,30.0,1.0,1.0,18088.072,18198.514
7.0,30.0,2.0,1.0,18070.162,17918.504
7.0,30.0,3.0,1.0,18381.076,17822.008
7.0,30.0,4.0,1.0,18101.6,17627.85
7.0,30.0,5.0,1.0,17950.385,17491.162
7.0,30.0,6.0,1.0,18392.873,17613.064
7.0,30.0,7.0,1.0,18322.307,17630.373
7.0,30.0,8.0,1.0,16884.65,17112.691
7.0,30.0,9.0,2.0,14613.372,15842.708
7.0,30.0,10.0,2.0,13059.538,15220.974
7.0,30.0,11.0,2.0,12770.955,15222.302
7.0,30.0,12.0,2.0,13053.98,15446.602
7.0,30.0,13.0,2.0,12919.935,15495.49
7.0,30.0,14.0,2.0,12955.14,15554.625
7.0,30.0,15.0,3.0,13182.795,15467.777
7.0,30.0,16.0,3.0,14206.168,15909.164
7.0,30.0,17.0,3.0,15535.35,16492.35
7.0,30.0,18.0,2.0,16157.435,17041.96
7.0,30.0,19.0,2.0,16490.535,17182.393
7.0,30.0,20.0,3.0,16641.53,16919.26
7.0,30.0,21.0,3.0,16755.922,16966.545
7.0,30.0,22.0,3.0,17414.523,17297.709
7.0,30.0,23.0,2.0,18860.61,18233.701
7.0,30.0,24.0,2.0,19433.885,18621.98
7.0,31.0,1.0,1.0,19780.37,18877.348
7.0,31.0,2.0,1.0,20116.838,18864.887
7.0,31.0,3.0,1.0,20106.605,18777.053
7.0,31.0,4.0,1.0,20215.545,18755.494
7.0,31.0,5.0,1.0,20089.375,18694.805
7.0,31.0,6.0,1.0,19805.97,18578.002
7.0,31.0,7.0,1.0,19300.576,18366.408
7.0,31.0,8.0,1.0,18500.543,18013.56
7.0,31.0,9.0,2.0,17782.86,17312.795
7.0,31.0,10.0,2.0,15557.954,16303.182
7.0,31.0,11.0,2.0,15913.55,16353.041
7.0,31.0,12.0,2.0,16487.566,16681.14
7.0,31.0,13.0,2.0,16257.091,16696.408
7.0,31.0,14.0,2.0,17144.244,17082.06
7.0,31.0,15.0,3.0,17915.193,17205.523
7.0,31.0,16.0,3.0,18182.49,17374.68
7.0,31.0,17.0,3.0,19379.854,17919.26
7.0,31.0,18.0,2.0,19998.537,18565.7
7.0,31.0,19.0,2.0,20369.043,18846.188
7.0,31.0,20.0,3.0,20804.436,18764.465
7.0,31.0,21.0,3.0,20773.312,18760.717
7.0,31.0,22.0,3.0,20952.574,18860.416
7.0,31.0,23.0,2.0,20557.514,19085.21
7.0,31.0,24.0,2.0,20689.795,19217.297
8.0,1.0,1.0,1.0,20820.982,20104.932
8.0,1.0,2.0,1.0,21016.262,20353.879
8.0,1.0,3.0,1.0,20189.703,20245.537
8.0,1.0,4.0,1.0,20760.385,20391.6
8.0,1.0,5.0,1.0,20792.768,20482.719
8.0,1.0,6.0,1.0,19970.646,20326.527
8.0,1.0,7.0,1.0,19387.686,20104.281
8.0,1.0,8.0,1.0,19365.143,19980.965
8.0,1.0,9.0,2.0,17008.451,18724.246
8.0,1.0,10.0,2.0,15157.643,17367.26
8.0,1.0,11.0,2.0,14542.435,16422.715
