real,pred
18752.346,17004.27882079224
18628.002,16929.443538116626
19064.896,17148.33340697052
18964.342,17091.00981843502
19076.764,17149.63877735575
18510.824,16814.796597844554
18526.934,16811.648579122702
18575.795,16829.525176680967
17764.463,16241.543200222837
16249.237,15250.87069826014
16217.751,15251.561072112881
16700.715,15628.938905519475
16909.807,15810.448299563608
16186.462,15281.457322110158
16747.426,15085.363543099242
17762.082,15896.514903307469
17858.256,16068.825015575487
17731.037,16583.755579615263
19060.213,17645.77676827015
19129.018,17260.633496403043
19303.123,17485.395174166963
20164.56,18176.614823048658
20708.82,19090.108848926076
19900.848,18534.14049181137
18815.451,16954.97185588651
19597.26,17330.399989789315
18589.287,16815.591325155987
18550.61,16781.52711634068
18306.873,16627.837499291523
17148.94,15891.617272195954
16572.707,15466.633824436498
15578.822,14706.344041157092
13945.846,13508.267310132564
13365.822,13040.523941277175
13006.886,12722.63105456758
12620.173,12363.069285591848
12979.062,12627.178515186723
12899.969,12518.647350459625
13348.034,12525.057254170388
13810.896,12950.858290436629
14540.874,13588.09309431638
14608.81,13904.98307660235
15534.871,14712.23409609181
15508.212,14545.234977403597
15721.959,14779.422246500906
15661.785,14792.43104903822
15513.774,14653.155343106866
15743.316,14858.489408127167
15855.192,15298.55920404391
16233.839,15454.175004958493
17986.838,16409.742974462493
17787.78,16270.9209362821
17410.945,16016.2659654291
17448.857,16005.432861408253
18109.389,16390.172421566953
17361.377,15880.140520319153
16430.568,15257.523627735067
15564.294,14670.22007377278
15132.5625,14359.2437018816
15013.136,14268.959667097164
15811.375,14887.337092569098
15748.676,14846.99686136184
16268.685,14703.336485336504
16102.928,14673.851950953556
17473.137,15740.528111305439
17895.193,16595.226248148796
18186.816,16853.425233047852
17892.443,16316.732579425756
17527.674,16138.197064156144
16998.297,15818.728492133432
16242.448,15286.75119905207
16357.926,15391.383105150742
16024.311,15328.112572921838
16469.898,15521.874648601848
16685.822,15594.128589058992
16484.47,15420.888772973061
16842.287,15592.572701487461
16783.123,15509.070483828842
16225.475,15088.625957317996
15714.89,14671.134316110261
14548.552,13888.01960238236
13772.589,13296.142352382412
13622.798,13159.30208424511
13082.658,12696.300151363566
11821.432,11585.434609358615
12177.602,11841.036645052325
12101.655,11533.940973093617
12832.109,12164.993586807499
12403.338,11861.433574932478
13211.011,12579.594440843626
13528.797,12833.020630708961
13647.975,13006.974053157974
13995.634,13337.234478622006
13677.071,13107.759439383444
13691.475,12832.579536804964
13683.088,12783.630821478384
13363.522,13648.797770790345
14416.286,14214.345056262804
14698.427,14301.905434395208
14714.776,14224.211597808708
14694.736,14123.564027003571
15263.89,14432.473996054785
16271.071,15051.931968666315
16466.244,15131.219902222496
15852.411,14775.45832422928
14719.886,13976.47817846368
14600.782,13883.494328201099
14665.186,13926.212337435847
14750.885,13985.696376982818
14848.208,14055.169803278843
14827.313,13631.468233808531
15712.324,14356.01214964855
15241.953,14084.218635191102
16722.68,15569.581036900385
17534.09,16231.663500817904
17913.926,16266.33853775254
17635.592,16152.22978252222
17572.887,16186.16628526543
18293.793,16946.42881820997
17951.924,16691.583407582984
17575.768,16030.01615016796
17906.418,16167.675675034316
17891.742,16131.087351378705
17217.754,15719.090706999466
17018.918,15559.938535172856
17605.31,15878.475092769857
16513.951,15147.386381321581
14519.849,13682.385094356092
13336.825,12928.390641529271
12419.286,12189.6380568366
12022.837,11826.815128730961
12653.561,12297.970716249525
12876.192,12442.462192859997
12018.621,11669.150673480346
13166.912,12376.294444619929
13509.537,12695.380914613354
13906.192,13057.131130628946
13575.623,12865.151304316385
13750.838,12989.602583339898
13531.567,12900.32135921422
14504.347,13732.926900840386
16222.797,15142.405273063285
17478.908,16221.431245013617
18395.533,16999.455409537808
18088.072,16215.76984837894
18070.162,16179.412444939268
18381.076,16316.651161020223
18101.6,16145.962979898646
17950.385,16036.947369537816
18392.873,16268.769760259353
18322.307,16210.290083215254
