real,pred
18752.346,18433.21623177944
18628.002,18359.17507044836
19064.896,18718.10383892699
18964.342,18656.32454331494
19076.764,18756.61135641578
18510.824,18308.9720542214
18526.934,18322.252980966325
18575.795,18358.981132531517
17764.463,17672.575166067654
16249.237,16327.63818977557
16217.751,16258.012369962384
16700.715,16654.635912860937
16909.807,16801.098219617874
16186.462,16091.597065618036
16747.426,16292.438872731133
17762.082,17157.522413615072
17858.256,17214.467432122987
17731.037,17313.94906679333
19060.213,18435.66548064445
19129.018,18225.21754598036
19303.123,18345.892369499616
20164.56,19039.701611204568
20708.82,19647.108417850628
19900.848,18923.480592794473
18815.451,18458.54734714199
19597.26,19072.27606715052
18589.287,18322.100418056692
18550.61,18303.7606503857
18306.873,18113.420736771146
17148.94,17124.51204727124
16572.707,16591.701883947462
15578.822,15629.412315557709
13945.846,14164.711378131598
13365.822,13531.275639467407
13006.886,13112.790757516716
12620.173,12665.139795341796
12979.062,12978.748294609855
12899.969,12849.023900604883
13348.034,13024.811806492155
13810.896,13435.03467516221
14540.874,14101.049407235667
14608.81,14345.422680060206
15534.871,15185.839967565034
15508.212,14899.476222580153
15721.959,15060.5528494611
15661.785,14964.087965029015
15513.774,14981.955830929563
15743.316,15153.567184065889
15855.192,15961.111069947647
16233.839,16303.870106796783
17986.838,17811.315707557864
17787.78,17653.342045009005
17410.945,17333.657332790375
17448.857,17361.082791595807
18109.389,17919.60751615984
17361.377,17261.25756461519
16430.568,16470.999540633613
15564.294,15641.694103595002
15132.5625,15185.98590415741
15013.136,15019.720676276334
15811.375,15726.435620753102
15748.676,15616.07229256241
16268.685,15769.430087923596
16102.928,15577.936750653944
17473.137,16779.260013961004
17895.193,17385.80705619623
18186.816,17596.465312695833
17892.443,17045.598740456633
17527.674,16679.644745189602
16998.297,16155.399656496944
16242.448,15619.664096447485
16357.926,15679.93242205502
16024.311,16091.10939488389
16469.898,16489.66712415874
16685.822,16680.06832431824
16484.47,16496.88368961375
16842.287,16808.621139275685
16783.123,16745.1400397804
16225.475,16217.901218167743
15714.89,15710.528837855345
14548.552,14700.751678484346
13772.589,13887.886611632623
13622.798,13682.752910205418
13082.658,13085.128212582254
11821.432,11755.64245670525
12177.602,12071.247971072544
12101.655,11712.197989034314
12832.109,12390.73266910307
12403.338,11930.795617239488
13211.011,12928.298697431674
13528.797,13197.374027957747
13647.975,13028.414899355523
13995.634,13325.896793584707
13677.071,12997.123808726936
13691.475,13237.53718630984
13683.088,13214.039055758913
13363.522,13506.373442716165
14416.286,14548.484114385523
