real,gru
19900.848,20035.91432
18815.452,19302.21157
19597.26,19185.17697
18589.287,18779.31318
18550.61,18468.47276
18306.873,18224.46781
17148.939,17552.58607
16572.708,16842.83476
15578.821,16012.32756
13945.846,14803.73744
13365.822,13844.59134
13006.886,13236.36005
12620.173,12814.7865
12979.062,12775.63431
12899.969,12807.73601
13348.034,13034.98243
13810.896,13406.85969
14540.875,13964.58504
14608.811,14357.12499
15534.871,14947.15775
15508.211,15311.81574
15721.959,15557.26947
15661.785,15639.27141
15513.774,15579.14533
15743.315,15616.80303
15855.191,15706.06117
16233.839,15933.05176
17986.837,16883.21156
17787.779,17466.72746
17410.945,17509.18424
17448.858,17436.37959
18109.388,17685.9757
17361.377,17529.23594
16430.568,16908.97486
15564.293,16087.76516
15132.563,15420.49701
15013.135,15044.78681
15811.375,15261.27903
15748.676,15477.64202
16268.686,15830.62274
16102.928,15982.43068
17473.137,16648.16653
17895.193,17320.7164
18186.816,17810.8221
17892.443,17891.45438
17527.673,17670.35913
16998.296,17241.26741
16242.449,16616.42175
16357.925,16301.56729
16024.311,16047.29694
16469.898,16125.81846
16685.823,16341.24168
16484.47,16391.51202
16842.287,16549.82891
16783.123,16634.39962
16225.476,16402.90269
15714.889,15978.1995
14548.552,15182.54036
13772.589,14337.7968
13622.798,13813.89973
13082.658,13361.65524
11821.432,12598.86747
12177.602,12266.65052
12101.655,12137.56107
12832.109,12402.89419
12403.338,12474.40919
13211.011,12808.70875
13528.797,13193.98327
13647.975,13480.81071
13995.635,13772.2535
13677.072,13805.39871
13691.475,13774.20689
13683.089,13738.11401
13363.522,13579.19009
14416.287,13906.77367
14698.427,14316.90907
14714.777,14572.74952
14694.737,14674.9948
15263.891,14948.02016
16271.07,15580.70575
16466.245,16095.3062
15852.411,16067.98687
14719.887,15421.37437
14600.782,14893.51953
14665.187,14660.74789
14750.885,14626.85983
14848.208,14691.20126
14827.313,14739.40744
15712.323,15155.14719
15241.953,15256.53094
16722.68,15905.3887
17534.089,16755.32518
17913.925,17431.52161
17635.591,17623.08217
17572.886,17587.32511
18293.792,17860.4463
17951.924,17906.23668
17575.767,17689.98797
17906.417,17679.02543
17891.743,17711.1535
17217.754,17409.9297
17018.918,17085.5606
17605.311,17191.96145
16513.952,16825.77029
14519.849,15594.99574
13336.825,14251.75622
12419.286,13132.3794
12022.837,12407.81679
12653.561,12346.16325
12876.192,12543.14179
12018.621,12371.69314
13166.912,12671.93322
13509.537,13091.5226
13906.192,13530.0226
13575.623,13652.13496
13750.839,13729.81869
13531.567,13671.92556
14504.348,14020.55204
16222.797,15045.06813
17478.908,16334.69756
18395.534,17530.99856
18088.072,18016.41244
18070.163,18102.93214
18381.077,18211.04726
18101.6,18134.17935
17950.385,17970.877
18392.874,18074.60447
18322.306,18149.18229
16884.651,17486.20158
14613.372,15910.5658
13059.538,14215.41367
12770.955,13193.16745
13053.98,12892.16255
12919.935,12815.0854
12955.14,12841.62935
13182.795,12983.25452
14206.168,13522.68552
15535.35,14489.88078
16157.435,15415.4342
16490.535,16077.3125
16641.529,16453.37259
16755.921,16646.4171
17414.523,17011.1753
18860.61,17912.55398
19433.884,18776.80419
19780.369,19375.62633
