month,date,hour,peak_flat_valley,real,pred
7.0,24.0,1.0,1.0,18752.346,14890.794
7.0,24.0,2.0,1.0,18628.002,14837.819
7.0,24.0,3.0,1.0,19064.896,14913.088
7.0,24.0,4.0,1.0,18964.342,14944.917
7.0,24.0,5.0,1.0,19076.764,15000.675
7.0,24.0,6.0,1.0,18510.824,14925.04
7.0,24.0,7.0,1.0,18526.934,14913.44
7.0,24.0,8.0,1.0,18575.795,14938.581
7.0,24.0,9.0,2.0,17764.463,14867.245
7.0,24.0,10.0,2.0,16249.237,14650.864
7.0,24.0,11.0,2.0,16217.751,14690.655
7.0,24.0,12.0,2.0,16700.715,14885.768
7.0,24.0,13.0,2.0,16909.807,15082.198
7.0,24.0,14.0,2.0,16186.461,15119.821
7.0,24.0,15.0,3.0,16747.426,15514.488
7.0,24.0,16.0,3.0,17762.082,15971.065
7.0,24.0,17.0,3.0,17858.256,16289.146
7.0,24.0,18.0,2.0,17731.037,16390.45
7.0,24.0,19.0,2.0,19060.213,16845.512
7.0,24.0,20.0,3.0,19129.018,17139.447
7.0,24.0,21.0,3.0,19303.123,17386.707
7.0,24.0,22.0,3.0,20164.56,17818.379
7.0,24.0,23.0,2.0,20708.82,18182.197
7.0,24.0,24.0,2.0,19900.848,18201.31
7.0,25.0,1.0,1.0,18815.451,17846.998
7.0,25.0,2.0,1.0,19597.26,17952.564
7.0,25.0,3.0,1.0,18589.287,17729.984
7.0,25.0,4.0,1.0,18550.61,17552.39
7.0,25.0,5.0,1.0,18306.873,17333.389
7.0,25.0,6.0,1.0,17148.94,16903.475
7.0,25.0,7.0,1.0,16572.707,16496.158
7.0,25.0,8.0,1.0,15578.821,16032.699
7.0,25.0,9.0,2.0,13945.846,15534.11
7.0,25.0,10.0,2.0,13365.822,15306.578
7.0,25.0,11.0,2.0,13006.886,15270.005
7.0,25.0,12.0,2.0,12620.173,15293.847
7.0,25.0,13.0,2.0,12979.062,15423.527
7.0,25.0,14.0,2.0,12899.969,15520.37
7.0,25.0,15.0,3.0,13348.034,15829.247
7.0,25.0,16.0,3.0,13810.896,16062.512
7.0,25.0,17.0,3.0,14540.875,16335.2
7.0,25.0,18.0,2.0,14608.811,16410.172
7.0,25.0,19.0,2.0,15534.871,16694.777
7.0,25.0,20.0,3.0,15508.211,16849.877
7.0,25.0,21.0,3.0,15721.959,16969.395
7.0,25.0,22.0,3.0,15661.785,17048.312
7.0,25.0,23.0,2.0,15513.774,17054.033
7.0,25.0,24.0,2.0,15743.315,17176.75
7.0,26.0,1.0,1.0,15855.191,17223.988
7.0,26.0,2.0,1.0,16233.839,17386.1
7.0,26.0,3.0,1.0,17986.838,17753.91
7.0,26.0,4.0,1.0,17787.78,17823.584
7.0,26.0,5.0,1.0,17410.945,17721.55
7.0,26.0,6.0,1.0,17448.857,17604.195
7.0,26.0,7.0,1.0,18109.389,17602.656
7.0,26.0,8.0,1.0,17361.377,17368.617
7.0,26.0,9.0,2.0,16430.568,16896.66
7.0,26.0,10.0,2.0,15564.293,16432.389
7.0,26.0,11.0,2.0,15132.563,16184.008
7.0,26.0,12.0,2.0,15013.135,16096.5205
7.0,26.0,13.0,2.0,15811.375,16241.998
7.0,26.0,14.0,2.0,15748.676,16305.3955
7.0,26.0,15.0,3.0,16268.686,16536.031
7.0,26.0,16.0,3.0,16102.928,16629.219
7.0,26.0,17.0,3.0,17473.137,17035.104
7.0,26.0,18.0,2.0,17895.193,17292.63
7.0,26.0,19.0,2.0,18186.816,17533.814
7.0,26.0,20.0,3.0,17892.443,17566.379
7.0,26.0,21.0,3.0,17527.674,17517.607
7.0,26.0,22.0,3.0,16998.297,17438.184
7.0,26.0,23.0,2.0,16242.449,17266.977
