hour,peak_flat_valley,real,pred
1,1,18752.346,15108.993
2,1,18628.002,16317.463
3,1,19064.896,17236.33
4,1,18964.342,17748.207
5,1,19076.764,18038.752
6,1,18510.824,18026.361
7,1,18526.934,17996.695
8,1,18575.795,17975.518
9,2,17764.463,17468.982
10,2,16249.237,16665.398
11,2,16217.751,16169.36
12,2,16700.715,16106.14
13,2,16909.807,16201.978
14,2,16186.461,16023.292
15,3,16747.426,16169.513
16,3,17762.082,16743.756
17,3,17858.256,17136.47
18,2,17731.037,17383.465
19,2,19060.213,18013.463
20,3,19129.018,18286.812
21,3,19303.123,18532.139
22,3,20164.56,18962.648
23,2,20708.82,19447.395
24,2,19900.848,19313.408
1,1,18815.451,18730.24
2,1,19597.26,18657.385
3,1,18589.287,18397.066
4,1,18550.61,18233.748
5,1,18306.873,18064.33
6,1,17148.94,17624.795
7,1,16572.707,17123.807
8,1,15578.821,16397.803
9,2,13945.846,15120.792
10,2,13365.822,14463.604
11,2,13006.886,14382.786
12,2,12620.173,14489.437
13,2,12979.062,14732.724
14,2,12899.969,14880.007
15,3,13348.034,15196.653
16,3,13810.896,15450.139
17,3,14540.875,15739.766
18,2,14608.811,15819.448
19,2,15534.871,16135.473
20,3,15508.211,16295.837
21,3,15721.959,16432.05
22,3,15661.785,16466.13
23,2,15513.774,16433.959
24,2,15743.315,16490.377
1,1,15855.191,16232.682
2,1,16233.839,16555.373
3,1,17986.838,17451.299
4,1,17787.78,17886.205
5,1,17410.945,17909.086
6,1,17448.857,17791.55
7,1,18109.389,17797.225
8,1,17361.377,17527.871
9,2,16430.568,16763.178
10,2,15564.293,15974.528
11,2,15132.563,15401.123
12,2,15013.135,15166.194
13,2,15811.375,15431.717
14,2,15748.676,15602.939
15,3,16268.686,15952.457
16,3,16102.928,16138.289
17,3,17473.137,16783.143
18,2,17895.193,17340.02
19,2,18186.816,17761.225
20,3,17892.443,17789.53
21,3,17527.674,17669.738
22,3,16998.297,17384.84
23,2,16242.449,16969.594
24,2,16357.925,16748.25
1,1,16024.311,16180.159
2,1,16469.898,16291.412
3,1,16685.822,16517.16
4,1,16484.47,16585.748
5,1,16842.287,16707.014
6,1,16783.123,16706.863
7,1,16225.476,16454.303
8,1,15714.889,16054.605
9,2,14548.552,15230.872
10,2,13772.589,14667.249
11,2,13622.798,14588.522
12,2,13082.658,14606.033
13,2,11821.432,14536.831
14,2,12177.602,14724.652
15,3,12101.655,14973.125
16,3,12832.109,15240.244
17,3,12403.338,15294.588
18,2,13211.011,15414.171
19,2,13528.797,15530.778
20,3,13647.975,15678.941
21,3,13995.635,15807.711
22,3,13677.072,15789.686
23,2,13691.475,15763.93
24,2,13683.089,15768.306
1,1,13363.522,15344.963
2,1,14416.287,15652.492
3,1,14698.427,15887.339
4,1,14714.777,16003.898
5,1,14694.737,16003.838
6,1,15263.891,16084.34
7,1,16271.07,16341.954
8,1,16466.244,16447.303
9,2,15852.411,16038.234
10,2,14719.887,15339.795
11,2,14600.782,15009.544
12,2,14665.187,15002.848
13,2,14750.885,15130.86
14,2,14848.208,15292.018
15,3,14827.313,15486.655
16,3,15712.323,15915.818
17,3,15241.953,15973.378
18,2,16722.68,16511.324
19,2,17534.09,17102.773
20,3,17913.926,17566.463
21,3,17635.592,17710.676
22,3,17572.887,17751.031
23,2,18293.793,18154.268
24,2,17951.924,18186.227
1,1,17575.768,17753.684
2,1,17906.418,17775.176
3,1,17891.742,17787.758
4,1,17217.754,17555.322
5,1,17018.918,17295.334
6,1,17605.31,17272.676
7,1,16513.951,16876.125
8,1,14519.849,15832.902
9,2,13336.825,14646.539
10,2,12419.286,14158.014
11,2,12022.837,14244.003
12,2,12653.561,14558.895
13,2,12876.192,14787.913
14,2,12018.621,14792.617
15,3,13166.912,15188.003
16,3,13509.537,15410.734
17,3,13906.192,15603.772
18,2,13575.623,15550.597
19,2,13750.839,15604.26
20,3,13531.567,15659.561
21,3,14504.348,15911.933
22,3,16222.797,16469.178
23,2,17478.908,17167.68
24,2,18395.533,17978.879
1,1,18088.072,18163.97
2,1,18070.162,18450.076
3,1,18381.076,18578.3
4,1,18101.6,18431.59
5,1,17950.385,18199.88
6,1,18392.873,18101.344
7,1,18322.307,17986.836
8,1,16884.65,17480.305
9,2,14613.372,16045.772
10,2,13059.538,14653.067
11,2,12770.955,14247.969
12,2,13053.98,14454.454
13,2,12919.935,14647.558
14,2,12955.14,14828.268
15,3,13182.795,15125.141
16,3,14206.168,15504.123
17,3,15535.35,16003.642
18,2,16157.435,16378.667
19,2,16490.535,16693.338
20,3,16641.53,16908.041
21,3,16755.922,17050.613
22,3,17414.523,17380.744
23,2,18860.61,18243.896
24,2,19433.885,18993.01
1,1,19780.37,19235.537
2,1,20116.838,19328.418
3,1,20106.605,19187.914
4,1,20215.545,19053.824
5,1,20089.375,18934.105
6,1,19805.97,18808.57
7,1,19300.576,18632.639
8,1,18500.543,18345.447
9,2,17782.86,17698.412
10,2,15557.954,16561.264
11,2,15913.55,15986.048
12,2,16487.566,15924.378
13,2,16257.091,15866.328
14,2,17144.244,16224.779
15,3,17915.193,16722.973
16,3,18182.49,17182.662
17,3,19379.854,17932.422
18,2,19998.537,18678.238
19,2,20369.043,19085.223
20,3,20804.436,19171.578
21,3,20773.312,19198.094
22,3,20952.574,19242.236
23,2,20557.514,19284.338
24,2,20689.795,19243.871
1,1,20820.982,19128.781
2,1,21016.262,19124.713
3,1,20189.703,18976.744
4,1,20760.385,19003.602
5,1,20792.768,19016.885
6,1,19970.646,18877.432
7,1,19387.686,18689.223
8,1,19365.143,18572.414
9,2,17008.451,17623.73
10,2,15157.643,16364.303
11,2,14542.435,15355.279
12,2,15002.655,15101.604
13,2,15884.855,15398.023
14,2,15992.698,15649.551
15,3,15222.04,15598.888
16,3,16063.563,15983.129
17,3,16736.734,16441.7
18,2,17589.15,17030.826
19,2,17464.088,17298.47
20,3,16938.229,17176.168
21,3,16433.994,16927.19
22,3,16640.83,16906.111
23,2,17122.455,17137.83
24,2,17587.156,17430.037
1,1,16715.691,16935.016
2,1,16566.85,16840.3
3,1,16105.477,16663.014
4,1,15412.829,16267.772
5,1,15763.972,16072.004
6,1,16903.867,16306.372
7,1,16705.314,16363.324
8,1,16183.652,16186.594
9,2,16358.959,15990.606
10,2,16148.472,15828.439
11,2,16316.246,15839.368
12,2,15774.998,15690.217
13,2,15955.824,15732.988
14,2,14650.193,15348.08
15,3,15515.132,15601.557
16,3,16230.717,16050.992
17,3,16503.158,16393.268
18,2,16853.771,16718.361
19,2,16689.117,16812.043
20,3,17015.316,16977.457
21,3,17301.07,17210.38
22,3,17345.064,17362.562
23,2,17143.984,17418.281
24,2,17137.287,17401.148
1,1,17125.693,17083.686
2,1,17240.453,17186.707
3,1,17591.488,17410.988
4,1,17399.303,17448.834
5,1,17272.127,17366.338
6,1,17507.62,17327.174
7,1,17193.785,17162.684
8,1,16370.651,16743.127
9,2,15268.682,15842.524
10,2,13736.807,14833.589
11,2,13442.047,14497.9795
12,2,14917.596,14954.595
13,2,15158.363,15281.891
14,2,13838.933,15101.694
15,3,13477.887,15149.301
16,3,14103.351,15430.251
17,3,13761.57,15496.947
18,2,14221.828,15612.715
19,2,15424.201,15993.817
20,3,15398.373,16190.641
21,3,14860.032,16114.643
