hour,peak_flat_valley,real,pred
1,1,17540.453,16983.56
2,1,17591.889,17264.04
3,1,17729.326,17346.396
4,1,17984.82,17402.725
5,1,18099.338,17416.346
6,1,18271.71,17434.28
7,1,18192.873,17391.139
8,1,17431.441,17157.668
9,2,17621.701,16331.379
10,2,16331.155,15857.672
11,2,16109.227,15797.048
12,2,15423.655,15706.865
13,2,15070.644,15685.816
14,2,15008.233,15751.866
15,3,15558.803,15977.747
16,3,16365.19,16366.822
17,3,17100.275,16681.82
18,2,15799.605,16436.807
19,2,16109.557,16467.055
20,3,15587.245,16449.19
21,3,15420.756,16545.725
22,3,16311.046,16862.885
23,2,16112.324,16878.27
24,2,15983.958,16835.863
