real,lstm
19900.848,19976.413292392608
18815.452,18915.304986010015
19597.26,19686.06763854128
18589.287,18662.5669232766
18550.61,18634.34738390249
18306.873,18381.98206524056
17148.939,17219.383636036036
16572.708,16648.743231562792
15578.821,15643.779500947414
13945.845999999998,13994.978627934574
13365.822,13426.481941429047
13006.886,13072.06210915771
12620.173,12684.358165352314
12979.062,13051.547119412093
12899.969,12965.226097895473
13348.034,13414.99192960289
13810.895999999999,13877.752375679729
14540.875,14608.72020301324
14608.811,14672.933281346677
15534.871,15603.262923667846
15508.211000000001,15575.076790602026
15721.959000000003,15790.859564342616
15661.785,15732.278086296736
15513.774000000001,15584.746158626198
15743.315,15817.007033489166
15855.191,15928.729156895994
16233.839,16308.223060881613
17986.837,18053.94970006746
17787.779,17857.56280474466
17410.945,17492.039770532665
17448.858,17533.04689307612
18109.388,18186.361756781756
17361.377,17441.156688321647
16430.568,16514.290752702473
15564.293000000001,15642.151382974802
15132.563,15205.75510749173
15013.135,15085.575034293053
15811.375,15889.675424274325
15748.676,15819.744592542467
16268.686,16341.591567299782
16102.928000000002,16172.173233016847
17473.137,17545.889860388157
17895.193,17962.259054049373
18186.816,18256.870166001736
17892.443,17969.513497629283
17527.673,17609.76535918516
16998.296,17080.496909306465
16242.449,16320.858557436883
16357.925,16439.19776722592
16024.311,16098.266171484707
16469.898,16547.917718453227
16685.823,16759.71371303302
16484.47,16555.355896728754
16842.287,16917.06006243479
16783.123,16855.240809824583
16225.476,16296.807773692428
15714.889000000001,15787.213881171761
14548.552,14611.147435044764
13772.589,13834.251208488166
13622.798,13690.921442755578
13082.658,13145.885654919117
11821.432,11872.356304346293
12177.602,12243.937748389959
12101.655,12166.607419371127
12832.109,12900.457419908314
12403.338,12463.636532664566
13211.011,13274.059506047039
13528.797,13592.578545820235
13647.974999999999,13709.163924423872
13995.634999999998,14058.871708999095
13677.071999999998,13738.688947161554
13691.474999999999,13753.162669786332
13683.089,13746.20185007405
13363.522,13424.985690462856
14416.287,14482.685234729468
14698.427,14766.65907483053
14714.777,14781.3174112643
14694.736999999997,14761.983949896216
15263.891,15331.83403144431
16271.070000000002,16338.834667752204
16466.245,16537.489675585446
15852.411,15928.827617594121
14719.886999999999,14793.787634504853
14600.781999999997,14672.15350778204
14665.187,14735.768789019703
14750.885,14820.863447376607
14848.208,14918.014266573904
14827.313,14895.779731064556
15712.323000000002,15783.454792375383
15241.953,15310.749376230953
16722.68,16794.005288496137
17534.089,17602.046743742645
17913.925,17982.92700952244
17635.591,17714.76929817152
17572.886,17656.393532655657
