real,pred
18752.346,17514.328459348515
18628.002,17442.879220687915
19064.896,17686.862557538792
18964.342,17632.468808279416
19076.764,17693.211076901407
18510.824,17374.111991817164
18526.934,17383.64739727091
18575.795,17412.410563917045
17764.463,16904.72344856572
16249.237,15804.86505917882
16217.751,15780.235060161984
16700.715,16150.788723691598
16909.807,16306.10915594835
16186.462,15755.695670236648
16747.426,16185.765621570561
17762.082,16903.138668845073
17858.256,16966.582170665362
17731.037,16882.47904920855
19060.213,17684.34419021136
19129.018,17720.979645954078
19303.123,17811.42539664345
20164.56,18209.97180922028
20708.82,18418.540499487663
19900.848,18096.75667196065
18815.451,17549.982201204977
19597.26,17956.774013508002
18589.287,17420.311313030415
18550.61,17397.614745848
18306.873,17251.15762554157
17148.94,16479.661352609597
16572.707,16054.1311322547
15578.822,15267.836099651478
13945.846,13879.805076332794
13365.822,13373.574065967567
13006.886,13060.25309256312
12620.173,12724.165162639789
12979.062,13036.004140615842
12899.969,12967.123004184798
13348.034,13358.031160867757
13810.896,13762.223063038165
14540.874,14394.763389226775
14608.81,14453.055168823434
15534.871,15231.774733505768
15508.212,15209.856556104754
15721.959,15384.58094410971
15661.785,15335.627052246722
15513.774,15214.431281431636
15743.316,15401.907289563878
15855.192,15492.291331274668
16233.839,15792.82923512225
17986.838,17050.087146568763
17787.78,16920.176990225886
17410.945,16664.534073423234
17448.857,16690.81076372067
18109.389,17128.234571582336
17361.377,16629.993804686364
16430.568,15945.460094178701
15564.294,15255.926458547874
15132.5625,14897.587623825844
15013.136,14797.070326019524
15811.375,15456.973314336688
15748.676,15406.258522770326
16268.685,15820.042679442236
16102.928,15689.888428401644
17473.137,16707.56866935213
17895.193,16990.722844864704
18186.816,17176.86813532073
17892.443,16988.92795316385
17527.674,16745.036559386434
16998.297,16370.842750667738
16242.448,15799.55127265997
16357.926,15889.384912631516
16024.311,15627.574764517682
16469.898,15975.668911065743
16685.822,16139.604746860741
16484.47,15986.833955577113
16842.287,16256.310213559656
16783.123,16212.39162090259
16225.475,15786.283056846538
15714.89,15378.844651333913
14548.552,14401.359299782845
13772.589,13728.814924221264
13622.798,13598.07115106293
13082.658,13126.324378984822
11821.432,12040.601758451832
12177.602,12343.135948221658
12101.655,12278.276333242338
12832.109,12908.086406827575
12403.338,12536.884369709758
13211.011,13238.3456739366
13528.797,13515.9617764291
13647.975,13620.05239977525
13995.634,13923.125939032483
13677.071,13645.455951139767
13691.475,13658.028054089507
13683.088,13650.707515378577
13363.522,13371.567226729629
14416.286,14287.553855259597
14698.427,14529.756516340247
14714.776,14543.724036558784
14694.736,14526.602952067846
15263.89,15007.460741530633
16271.071,15821.905092539137
16466.244,15972.864126168772
15852.411,15490.04988327034
14719.886,14548.084918337396
14600.782,14446.17480830947
14665.186,14501.332267368387
14750.885,14574.537100598533
14848.208,14657.393019138357
14827.313,14639.629893789508
15712.324,15376.75595862304
15241.953,14989.152228124021
16722.68,16167.249981648856
17534.09,16749.42808597248
17913.926,17002.91521650616
17635.592,16818.42224991173
17572.887,16775.90375793348
18293.793,17243.11823470158
17951.924,17027.550877631267
17575.768,16777.8748953873
17906.418,16998.039482820128
17891.742,16988.477127178223
17217.754,16528.760501101122
17018.918,16385.850164461965
17605.31,16797.94111584106
16513.951,16009.375615504241
14519.849,14376.698760287956
13336.825,13348.239496572938
12419.286,12550.624577167242
12022.837,12211.156321700795
12653.561,12753.0874160254
12876.192,12946.430784004813
12018.621,12207.570998524596
13166.912,13199.845613544981
13509.537,13499.136221200379
13906.192,13845.2717978231
13575.623,13556.866329983077
13750.838,13709.836057932083
13531.567,13518.381032398705
14504.347,14363.366411228631
16222.797,15784.17614075339
17478.908,16711.538738230174
18395.533,17305.095295590727
18088.072,17114.740802188873
18070.162,17103.371929211324
18381.076,17296.362389457918
18101.6,17123.306897560502
17950.385,17026.566042967068
18392.873,17303.49924089829
18322.307,17260.599814169393
16884.65,16287.592779311391
14613.371,14456.966215816099
13059.538,13106.158549899681
12770.955,12854.94107021416
13053.98,13101.31108309016
12919.935,12984.503176506041
12955.14,13015.161793495772
13182.795,13213.710617041817
14206.167,14105.92677456487
15535.35,15232.165860361663
16157.435,15732.871925686313
16490.535,15991.466707567983
16641.53,16106.232815180234
16755.922,16192.10196214834
17414.523,16667.00565155566
18860.61,17575.22625017739
19433.885,17877.194574720088
19780.37,18042.435776591647
20116.838,18190.072278979664
20106.605,18185.770810599366
20215.545,18230.954376764552
20089.375,18178.50050042302
19805.97,18054.115542272026
19300.576,17810.128366530404
18500.543,17368.00519770521
17782.86,16916.913979034638
15557.953,15250.724345916
15913.55,15539.152104235682
16487.566,15989.197813234148
16257.091,15810.992140149629
17144.244,16476.288451157227
17915.193,17003.740246672263
18182.49,17174.162953598454
19379.854,17850.24568475829
19998.537,18139.610411809947
20369.043,18292.314090965723
20804.436,18451.65392434288
20773.312,18440.989003183597
20952.574,18500.8705223981
20557.514,18363.966359161772
20689.795,18411.815553735883
20820.982,18457.301610566235
21016.262,18521.27420723757
20189.703,18220.372248995198
20760.385,18436.551261595498
20792.768,18447.69267097923
19970.646,18127.505783497352
19387.686,17854.192113251655
19365.143,17842.870962447192
17008.451,16378.249724486755
15157.643,14918.632644863383
14542.434,14396.113057525075
15002.654,14788.232270749268
15884.855,15516.142089394358
15992.698,15602.41624570156
15222.041,14972.530217927882
16063.563,15658.739061294358
16736.734,16177.779038127708
17589.15,16786.977850002484
17464.088,16701.33348583295
16938.229,16326.970742887514
16433.994,15948.096357469256
16640.83,16105.71466089479
17122.455,16460.659072681963
17587.156,16785.617597386987
16715.691,16162.03153013078
16566.85,16049.68933132582
16105.476,15691.916326749644
15412.829,15131.179642775885
15763.972,15418.661932963589
16903.867,16301.752144243092
16705.314,16154.249110070323
16183.651,15753.49979726029
16358.959,15890.20297653629
16148.472,15725.830954586243
16316.247,15857.076938364144
15774.998,15427.584093282807
15955.824,15572.992528251565
14650.193,14488.510006885137
15515.132,15215.559782134242
