month,date,hour,peak_flat_valley,power_num,price
4,1,1,0,9742,0
4,1,2,0,9617,0
4,1,3,0,8202,0
4,1,4,0,7766,0
4,1,5,0,8764,0
4,1,6,0,8751,0
4,1,7,0,8606,0
4,1,8,1,8354,0
4,1,9,1,7937,0
4,1,10,1,7045,0
4,1,11,1,6380,0
4,1,12,1,7020,0
4,1,13,1,6797,0
4,1,14,2,6900,0
4,1,15,2,6634,0
4,1,16,2,9058,0
4,1,17,1,9307,0
4,1,18,1,9415,0
4,1,19,2,9747,0
4,1,20,2,9764,0
4,1,21,2,9686,0
4,1,22,1,9695,0
4,1,23,1,7406,0
4,2,0,0,7977,0
4,2,1,0,9669,0
4,2,2,0,9947,0
4,2,3,0,9804,0
4,2,4,0,9782,0
4,2,5,0,7645,0
4,2,6,0,10059,0
4,2,7,0,9835,0
4,2,8,1,9330,0
4,2,9,1,9380,0
4,2,10,1,10327,0
4,2,11,1,10301,0
4,2,12,1,11661,0
4,2,13,1,11632,0
4,2,14,2,11535,0
4,2,15,2,13004,0
5,1,1,1,9568.365,2358.602
5,1,2,1,9742.259,2401.467
5,1,3,1,9617.787,2370.785
