month,date,hour,peak_flat_valley,power_num,id
5,1,1,0,9742,39092
5,1,2,0,9617,39093
5,1,3,0,8202,39094
5,1,4,0,7766,39095
5,1,5,0,8764,39096
5,1,6,0,8751,39097
5,1,7,0,8606,39098
5,1,8,1,8354,39099
5,1,9,1,7937,39100
5,1,10,1,7045,39101
5,1,11,1,6380,39102
5,1,12,1,7020,39103
5,1,13,1,6797,39104
5,1,14,2,6900,39105
5,1,15,2,6634,39106
5,1,16,2,9058,39107
5,1,17,1,9307,39108
5,1,18,1,9415,39109
5,1,19,2,9747,39110
5,1,20,2,9764,39111
5,1,21,2,9686,39112
5,1,22,1,9695,39113
5,1,23,1,7406,39114
5,2,0,0,7977,39115
5,2,1,0,9669,39116
5,2,2,0,9947,39117
5,2,3,0,9804,39118
5,2,4,0,9782,39119
5,2,5,0,7645,39120
5,2,6,0,10059,39121
5,2,7,0,9835,39122
5,2,8,1,9330,39123
5,2,9,1,9380,39124
5,2,10,1,10327,39125
5,2,11,1,10301,39126
5,2,12,1,11661,39127
5,2,13,1,11632,39128
5,2,14,2,11535,39129
5,2,15,2,13004,39130
5,2,16,2,13343,39131
5,2,17,1,14035,39132
5,2,18,1,14731,39133
5,2,19,2,14811,39134
5,2,20,2,14419,39135
5,2,21,2,14898,39136
5,2,22,1,14983,39137
5,2,23,1,14784,39138
5,3,0,0,14463,39139
5,3,1,0,14752,39140
5,3,2,0,14567,39141
5,3,3,0,14454,39142
5,3,4,0,13948,39143
5,3,5,0,14229,39144
5,3,6,0,14278,39145
5,3,7,0,13863,39146
5,3,8,1,11268,39147
5,3,9,1,10545,39148
5,3,10,1,10459,39149
5,3,11,1,9863,39150
5,3,12,1,10620,39151
5,3,13,1,11020,39152
5,3,14,2,10938,39153
5,3,15,2,9930,39154
5,3,16,2,11573,39155
5,3,17,1,11451,39156
5,3,18,1,7867,39157
5,3,19,2,8131,39158
5,3,20,2,10546,39159
5,3,21,2,11509,39160
5,3,22,1,11774,39161
5,3,23,1,12370,39162
5,4,0,0,12752,39163
5,4,1,0,12857,39164
5,4,2,0,11729,39165
5,4,3,0,11936,39166
5,4,4,0,12185,39167
5,4,5,0,12344,39168
5,4,6,0,12737,39169
5,4,7,0,13961,39170
5,4,8,1,13956,39171
5,4,9,1,13825,39172
5,4,10,1,14007,39173
5,4,11,1,14268,39174
5,4,12,1,13269,39175
5,4,13,1,14541,39176
5,4,14,2,13758,39177
5,4,15,2,13680,39178
5,4,16,2,14534,39179
5,4,17,1,15044,39180
5,4,18,1,15885,39181
5,4,19,2,14583,39182
5,4,20,2,14425,39183
5,4,21,2,14598,39184
5,4,22,1,14888,39185
5,4,23,1,16289,39186
5,5,0,0,16127,39187
5,5,1,0,16246,39188
5,5,2,0,15656,39189
5,5,3,0,15577,39190
