小时,峰平谷,电量（kWh）,电费（元）,#VALUE!
0:00-1:00,低谷,9568.365,2358.602,0.246500003
1:00-2:00,低谷,9742.259,2401.467,0.246500016
2:00-3:00,低谷,9617.787,2370.785,0.246500052
3:00-4:00,低谷,8202.095,2021.816,0.246499949
4:00-5:00,低谷,7766.272,1914.386,0.246499994
5:00-6:00,低谷,8764.012,2160.329,0.246500005
6:00-7:00,低谷,8751.051,2157.134,0.246499992
7:00-8:00,低谷,8606.889,2121.598,0.246499984
8:00-9:00,平段,8354.244,4526.329,0.541799952
9:00-10:00,平段,7937.718,4300.656,0.541800049
10:00-11:00,平段,7045.883,3817.459,0.541799942
11:00-12:00,平段,6380.23,3456.808,0.541799904
12:00-13:00,平段,7020.118,3803.5,0.54180001
13:00-14:00,平段,6797.055,3682.644,0.541799941
14:00-15:00,高峰,6900.719,5950.49,0.862300001
15:00-16:00,高峰,6634.136,5720.615,0.862299929
16:00-17:00,高峰,9058.84,7811.438,0.86230003
17:00-18:00,平段,9307.913,5043.027,0.541799972
18:00-19:00,平段,9415.297,5101.208,0.541800009
19:00-20:00,高峰,9747.712,8405.452,0.862299994
20:00-21:00,高峰,9764.457,8419.891,0.862299972
21:00-22:00,高峰,9686.329,8352.521,0.862299949
22:00-23:00,平段,9695.076,5252.792,0.541799982
23:00-24:00,平段,7406.501,4012.842,0.541799967
,,,,
合计,,202170.958,105163.789,
