数据日期,用户名称,地址码,运行容量,电能表号,综合倍率,总(正向有功),尖(正向有功),峰(正向有功),平(正向有功),谷(正向有功),总(正向无功)
2015/5/28,武汉光谷激光技术股份有限公司,01247(04DF),800,1975,1000,3215.09,0,879.07,1983.61,352.41,1677.59
2015/5/29,武汉光谷激光技术股份有限公司,01247(04DF),800,1975,1000,3216.46,0,879.42,1984.47,352.56,1678.21
2015/5/30,武汉光谷激光技术股份有限公司,01247(04DF),800,1975,1000,3216.85,0,879.53,1984.66,352.66,1678.34
2015/5/31,武汉光谷激光技术股份有限公司,01247(04DF),800,1975,1000,3217.33,0,879.68,1984.88,352.77,1678.48
2015/6/1,武汉光谷激光技术股份有限公司,01247(04DF),800,1975,1000,3218.95,0,880.11,1985.93,352.9,1679.02
2015/6/2,武汉光谷激光技术股份有限公司,01247(04DF),800,1975,1000,3220.6,0,880.5,1987.02,353.07,1679.73
2015/6/3,武汉光谷激光技术股份有限公司,01247(04DF),800,1975,1000,3221.76,0,880.79,1987.76,353.21,1680.26
2015/6/4,武汉光谷激光技术股份有限公司,01247(04DF),800,1975,1000,3223.09,0,881.1,1988.66,353.32,1680.88
2015/6/5,武汉光谷激光技术股份有限公司,01247(04DF),800,1975,1000,3224.16,0,881.37,1989.33,353.45,1681.3
2015/6/6,武汉光谷激光技术股份有限公司,01247(04DF),800,1975,1000,3224.57,0,881.49,1989.52,353.55,1681.44
2015/6/7,武汉光谷激光技术股份有限公司,01247(04DF),800,1975,1000,3224.93,0,881.59,1989.66,353.67,1681.57
2015/6/8,武汉光谷激光技术股份有限公司,01247(04DF),800,1975,1000,3226.37,0,881.91,1990.65,353.8,1682.29
2015/6/9,武汉光谷激光技术股份有限公司,01247(04DF),800,1975,1000,3227.75,0,882.24,1991.55,353.95,1682.94
2015/6/10,武汉光谷激光技术股份有限公司,01247(04DF),800,1975,1000,3229.61,0,882.64,1992.84,354.12,1683.75
2015/6/11,武汉光谷激光技术股份有限公司,01247(04DF),800,1975,1000,3231.34,0,883.1,1993.95,354.28,1684.42
2015/6/12,武汉光谷激光技术股份有限公司,01247(04DF),800,1975,1000,3233.22,0,883.66,1995.12,354.43,1685.15
2015/6/13,武汉光谷激光技术股份有限公司,01247(04DF),800,1975,1000,3234.42,0,883.95,1995.9,354.56,1685.65
2015/6/14,武汉光谷激光技术股份有限公司,01247(04DF),800,1975,1000,3234.85,0,884.07,1996.08,354.7,1685.79
2015/6/15,武汉光谷激光技术股份有限公司,01247(04DF),800,1975,1000,3236.84,0,884.57,1997.43,354.84,1686.59
2015/6/16,武汉光谷激光技术股份有限公司,01247(04DF),800,1975,1000,3238.92,0,885,1998.9,355.01,1687.39
2015/6/17,武汉光谷激光技术股份有限公司,01247(04DF),800,1975,1000,3240.54,0,885.43,1999.9,355.2,1688.21
2015/6/18,武汉光谷激光技术股份有限公司,01247(04DF),800,1975,1000,3242.36,0,885.91,2001.1,355.34,1689.02
2015/6/19,武汉光谷激光技术股份有限公司,01247(04DF),800,1975,1000,3244.03,0,886.35,2002.16,355.52,1689.71
2015/6/20,武汉光谷激光技术股份有限公司,01247(04DF),800,1975,1000,3244.51,0,886.48,2002.38,355.64,1689.86
2015/6/21,武汉光谷激光技术股份有限公司,01247(04DF),800,1975,1000,3244.9,0,886.58,2002.55,355.76,1690.02
2015/6/22,武汉光谷激光技术股份有限公司,01247(04DF),800,1975,1000,3245.9,0,886.78,2003.21,355.91,1690.52
2015/6/23,武汉光谷激光技术股份有限公司,01247(04DF),800,1975,1000,3248.56,0,887.6,2004.9,356.04,1691.66
2015/6/24,武汉光谷激光技术股份有限公司,01247(04DF),800,1975,1000,3252.12,0,888.43,2007.43,356.25,1693.12
2015/6/25,武汉光谷激光技术股份有限公司,01247(04DF),800,1975,1000,3255.56,0,889.25,2009.82,356.48,1694.48
