数据日期,测量点名称,相序类型,0时,1时,2时,3时,4时,5时,6时,7时,8时,9时,10时,11时,12时,13时,14时,15时,16时,17时,18时,19时,20时,21时,22时,23时,运行容量,综合倍率
2015/5/28,主供主表,A相,,,,,,,,,,,,1.27,0.7,0.81,1.05,1.14,0.98,0.43,0.36,0.13,0.15,0.13,0.15,0.11,800,1000
2015/5/28,主供主表,B相,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,800,1000
2015/5/28,主供主表,C相,,,,,,,,,,,,1.19,0.7,0.79,1.03,1.13,0.93,0.36,0.39,0.13,0.15,0.12,0.11,0.09,800,1000
2015/5/29,主供主表,A相,0.1,0.09,0.06,0.06,0.08,0.06,0.09,0.13,0.74,0.73,0.96,0.98,0.85,1,0.95,0.67,0.64,0.44,0.09,0.08,0.1,0.1,0.12,0.1,800,1000
2015/5/29,主供主表,B相,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800,1000
2015/5/29,主供主表,C相,0.08,0.09,0.08,0.07,0.08,0.07,0.08,0.14,0.7,0.66,0.83,0.83,0.77,0.88,0.85,0.56,0.52,0.41,0.1,0.11,0.1,0.08,0.09,0.1,800,1000
2015/5/30,主供主表,A相,0.06,0.06,0.07,0.06,0.06,0.06,0.1,0.08,0.06,0.06,0.1,0.06,0.11,0.07,0.07,0.13,0.12,0.11,0.1,0.07,0.13,0.15,0.11,0.13,800,1000
2015/5/30,主供主表,B相,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800,1000
2015/5/30,主供主表,C相,0.06,0.06,0.06,0.06,0.06,0.08,0.06,0.07,0.07,0.09,0.07,0.06,0.11,0.07,0.08,0.12,0.15,0.12,0.1,0.09,0.13,0.14,0.08,0.1,800,1000
2015/5/31,主供主表,A相,0.08,0.08,0.07,0.07,0.07,0.09,0.08,0.08,0.06,0.1,0.09,0.17,0.13,0.17,0.11,0.1,0.1,0.09,0.13,0.07,0.14,0.2,0.12,0.1,800,1000
2015/5/31,主供主表,B相,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800,1000
2015/5/31,主供主表,C相,0.06,0.08,0.06,0.07,0.07,0.06,0.05,0.06,0.06,0.12,0.17,0.22,0.18,0.15,0.18,0.16,0.13,0.15,0.19,0.13,0.15,0.18,0.11,0.08,800,1000
2015/6/1,主供主表,A相,0.08,0.06,0.08,0.07,0.08,0.08,0.08,0.11,0.17,0.85,0.81,0.86,0.76,0.78,0.83,0.96,0.83,0.43,0.13,0.13,0.19,0.16,0.17,0.08,800,1000
