数据日期,用户名称,运行容量,电能表号,综合倍率,表位数,总,尖,峰,平,谷
2015/5/28,武汉光谷激光技术股份有限公司,800,1975,1000,5.3,1100,0,280,820,0
2015/5/29,武汉光谷激光技术股份有限公司,800,1975,1000,5.3,1360,0,350,870,150
2015/5/30,武汉光谷激光技术股份有限公司,800,1975,1000,5.3,400,0,110,180,100
2015/5/31,武汉光谷激光技术股份有限公司,800,1975,1000,5.3,480,0,150,220,110
2015/6/1,武汉光谷激光技术股份有限公司,800,1975,1000,5.3,1620,0,430,1060,130
2015/6/2,武汉光谷激光技术股份有限公司,800,1975,1000,5.3,1650,0,390,1090,170
2015/6/3,武汉光谷激光技术股份有限公司,800,1975,1000,5.3,1160,0,290,740,140
2015/6/4,武汉光谷激光技术股份有限公司,800,1975,1000,5.3,1330,0,310,900,110
2015/6/5,武汉光谷激光技术股份有限公司,800,1975,1000,5.3,1070,0,270,670,130
2015/6/6,武汉光谷激光技术股份有限公司,800,1975,1000,5.3,410,0,120,190,100
2015/6/7,武汉光谷激光技术股份有限公司,800,1975,1000,5.3,360,0,100,140,120
2015/6/8,武汉光谷激光技术股份有限公司,800,1975,1000,5.3,1430,0,320,990,130
2015/6/9,武汉光谷激光技术股份有限公司,800,1975,1000,5.3,1390,0,330,900,150
2015/6/10,武汉光谷激光技术股份有限公司,800,1975,1000,5.3,1860,0,400,1290,170
2015/6/11,武汉光谷激光技术股份有限公司,800,1975,1000,5.3,1730,0,460,1110,160
2015/6/12,武汉光谷激光技术股份有限公司,800,1975,1000,5.3,1880,0,560,1170,150
2015/6/13,武汉光谷激光技术股份有限公司,800,1975,1000,5.3,1200,0,290,780,130
2015/6/14,武汉光谷激光技术股份有限公司,800,1975,1000,5.3,430,0,120,180,140
2015/6/15,武汉光谷激光技术股份有限公司,800,1975,1000,5.3,1990,0,500,1350,140
2015/6/16,武汉光谷激光技术股份有限公司,800,1975,1000,5.3,2080,0,430,1470,170
2015/6/17,武汉光谷激光技术股份有限公司,800,1975,1000,5.3,1620,0,430,1000,190
2015/6/18,武汉光谷激光技术股份有限公司,800,1975,1000,5.3,1820,0,480,1200,140
2015/6/19,武汉光谷激光技术股份有限公司,800,1975,1000,5.3,1670,0,440,1060,180
2015/6/20,武汉光谷激光技术股份有限公司,800,1975,1000,5.3,480,0,130,220,120
2015/6/21,武汉光谷激光技术股份有限公司,800,1975,1000,5.3,390,0,100,170,120
2015/6/22,武汉光谷激光技术股份有限公司,800,1975,1000,5.3,1000,0,200,660,150
2015/6/23,武汉光谷激光技术股份有限公司,800,1975,1000,5.3,2660,0,820,1690,130
2015/6/24,武汉光谷激光技术股份有限公司,800,1975,1000,5.3,3560,0,830,2530,210
2015/6/25,武汉光谷激光技术股份有限公司,800,1975,1000,5.3,3440,0,820,2390,230
2015/6/26,武汉光谷激光技术股份有限公司,800,1975,1000,5.3,3140,0,750,2170,210
2015/6/27,武汉光谷激光技术股份有限公司,800,1975,1000,5.3,1600,0,400,970,230
2015/6/28,武汉光谷激光技术股份有限公司,800,1975,1000,5.3,900,0,240,480,190
2015/6/29,武汉光谷激光技术股份有限公司,800,1975,1000,5.3,3480,0,960,2280,240
2015/6/30,武汉光谷激光技术股份有限公司,800,1975,1000,5.3,4180,0,1110,2800,270
2015/7/1,武汉光谷激光技术股份有限公司,800,1975,1000,5.3,2280,0,600,1510,170
2015/7/2,武汉光谷激光技术股份有限公司,800,1975,1000,5.3,3070,0,860,1980,230
2015/7/3,武汉光谷激光技术股份有限公司,800,1975,1000,5.3,2680,0,720,1710,260
2015/7/4,武汉光谷激光技术股份有限公司,800,1975,1000,5.3,1290,0,330,810,140
2015/7/5,武汉光谷激光技术股份有限公司,800,1975,1000,5.3,520,0,130,240,150
2015/7/6,武汉光谷激光技术股份有限公司,800,1975,1000,5.3,1440,0,470,850,130
2015/7/7,武汉光谷激光技术股份有限公司,800,1975,1000,5.3,1550,0,480,930,130
2015/7/8,武汉光谷激光技术股份有限公司,800,1975,1000,5.3,2260,0,660,1440,170
2015/7/9,武汉光谷激光技术股份有限公司,800,1975,1000,5.3,1670,0,410,1090,160
2015/7/10,武汉光谷激光技术股份有限公司,800,1975,1000,5.3,2210,0,700,1370,140
2015/7/11,武汉光谷激光技术股份有限公司,800,1975,1000,5.3,1320,0,330,840,150
2015/7/12,武汉光谷激光技术股份有限公司,800,1975,1000,5.3,560,0,150,260,150
2015/7/13,武汉光谷激光技术股份有限公司,800,1975,1000,5.3,3100,0,870,2010,220
2015/7/14,武汉光谷激光技术股份有限公司,800,1975,1000,5.3,3180,0,840,2060,280
