数据日期,用户名称,运行容量,电能表号,综合倍率,当日最大需量,发生时间,表位数,在线情况
2015/5/28,武汉光谷激光技术股份有限公司,800,1975,1000,0.2583,1:36,5.3,在线
2015/5/29,武汉光谷激光技术股份有限公司,800,1975,1000,0.2583,1:36,5.3,在线
2015/5/30,武汉光谷激光技术股份有限公司,800,1975,1000,0.2583,1:36,5.3,在线
2015/5/31,武汉光谷激光技术股份有限公司,800,1975,1000,0.2583,1:36,5.3,在线
2015/6/1,武汉光谷激光技术股份有限公司,800,1975,1000,0.2583,1:36,5.3,在线
2015/6/2,武汉光谷激光技术股份有限公司,800,1975,1000,0.2583,1:36,5.3,在线
2015/6/3,武汉光谷激光技术股份有限公司,800,1975,1000,0.2583,1:36,5.3,在线
2015/6/4,武汉光谷激光技术股份有限公司,800,1975,1000,0.2583,1:36,5.3,在线
2015/6/5,武汉光谷激光技术股份有限公司,800,1975,1000,0.2583,1:36,5.3,在线
2015/6/6,武汉光谷激光技术股份有限公司,800,1975,1000,0.2583,1:36,5.3,在线
2015/6/7,武汉光谷激光技术股份有限公司,800,1975,1000,0.2583,1:36,5.3,在线
2015/6/8,武汉光谷激光技术股份有限公司,800,1975,1000,0.2583,1:36,5.3,在线
2015/6/9,武汉光谷激光技术股份有限公司,800,1975,1000,0.2583,1:36,5.3,在线
2015/6/10,武汉光谷激光技术股份有限公司,800,1975,1000,0.2583,1:36,5.3,在线
2015/6/11,武汉光谷激光技术股份有限公司,800,1975,1000,0.2583,1:36,5.3,在线
2015/6/12,武汉光谷激光技术股份有限公司,800,1975,1000,0.2583,1:36,5.3,在线
2015/6/13,武汉光谷激光技术股份有限公司,800,1975,1000,0.2583,1:36,5.3,在线
2015/6/14,武汉光谷激光技术股份有限公司,800,1975,1000,0.2583,1:36,5.3,在线
2015/6/15,武汉光谷激光技术股份有限公司,800,1975,1000,0.2583,1:36,5.3,在线
2015/6/16,武汉光谷激光技术股份有限公司,800,1975,1000,0.2605,12:38,5.3,在线
2015/6/17,武汉光谷激光技术股份有限公司,800,1975,1000,0.2605,12:38,5.3,在线
2015/6/18,武汉光谷激光技术股份有限公司,800,1975,1000,0.2722,3:06,5.3,在线
2015/6/19,武汉光谷激光技术股份有限公司,800,1975,1000,0.2722,3:06,5.3,在线
2015/6/20,武汉光谷激光技术股份有限公司,800,1975,1000,0.2722,3:06,5.3,在线
2015/6/21,武汉光谷激光技术股份有限公司,800,1975,1000,0.2722,3:06,5.3,在线
2015/6/22,武汉光谷激光技术股份有限公司,800,1975,1000,0.2722,3:06,5.3,在线
2015/6/23,武汉光谷激光技术股份有限公司,800,1975,1000,0.2722,3:06,5.3,在线
2015/6/24,武汉光谷激光技术股份有限公司,800,1975,1000,0.4414,1:17,5.3,在线
2015/6/25,武汉光谷激光技术股份有限公司,800,1975,1000,0.0017,12:01,5.3,在线
2015/6/26,武汉光谷激光技术股份有限公司,800,1975,1000,0.3702,2:38,5.3,在线
2015/6/27,武汉光谷激光技术股份有限公司,800,1975,1000,0.3702,2:38,5.3,在线
2015/6/28,武汉光谷激光技术股份有限公司,800,1975,1000,0.3702,2:38,5.3,在线
2015/6/29,武汉光谷激光技术股份有限公司,800,1975,1000,0.3702,2:38,5.3,在线
2015/6/30,武汉光谷激光技术股份有限公司,800,1975,1000,0.5091,11:47,5.3,在线
2015/7/1,武汉光谷激光技术股份有限公司,800,1975,1000,0.5091,11:47,5.3,在线
2015/7/2,武汉光谷激光技术股份有限公司,800,1975,1000,0.5091,11:47,5.3,在线
2015/7/3,武汉光谷激光技术股份有限公司,800,1975,1000,0.5091,11:47,5.3,在线
2015/7/4,武汉光谷激光技术股份有限公司,800,1975,1000,0.5091,11:47,5.3,在线
2015/7/5,武汉光谷激光技术股份有限公司,800,1975,1000,0.5091,11:47,5.3,在线
