数据日期,用户编号,地址码,地区码,测量点名称,相序类型,0时,1时,2时,3时,4时,5时,6时,7时,8时,9时,10时,11时,12时,13时,14时,15时,16时,17时,18时,19时,20时,21时,22时,23时,运行容量,计量方式,综合倍率,供电单位
2014-10-24,="0147900426",58000(E290),="4201",计量:2774243,1,,,,,,,,,,,256.35,298.05,261.3,247.35,310.05,288.6,259.8,257.7,156.75,126.6,120.15,83.85,79.35,86.85,1250,高供高计,1500,东新营业班
2014-10-24,="0147900426",58000(E290),="4201",计量:2774243,5,,,,,,,,,,,90.75,115.35,104.85,104.4,122.85,92.4,84.75,110.7,52.05,22.8,15.6,-4.35,1.8,9.6,1250,高供高计,1500,东新营业班
2014-10-25,="0147900426",58000(E290),="4201",计量:2774243,1,80.4,80.1,78.75,74.85,74.25,62.55,69.6,66.6,97.65,204.9,210.9,294.75,265.95,214.5,300.9,304.2,284.85,197.55,138.9,98.7,82.8,97.2,94.35,87.9,1250,高供高计,1500,东新营业班
2014-10-25,="0147900426",58000(E290),="4201",计量:2774243,5,-0.3,0.45,-0.45,1.65,-10.5,0.45,-7.05,-7.5,9.15,46.2,57.6,115.5,114.6,85.2,121.5,120.75,108.6,61.35,37.05,11.1,2.85,11.1,5.55,8.1,1250,高供高计,1500,东新营业班
2014-10-26,="0147900426",58000(E290),="4201",计量:2774243,1,89.55,83.55,87,87,75.45,81.15,76.35,74.1,73.8,75.15,96.3,108.75,137.85,133.5,142.65,152.25,137.25,117.9,100.2,81.6,84.3,88.05,92.1,85.2,1250,高供高计,1500,东新营业班
2014-10-26,="0147900426",58000(E290),="4201",计量:2774243,5,7.05,-3.3,13.95,7.2,1.35,10.35,-1.95,-6.3,2.85,4.5,13.95,14.4,24.15,23.55,31.2,31.95,18.75,11.1,-8.85,-2.55,-8.85,0.15,4.5,-4.2,1250,高供高计,1500,东新营业班
2014-10-27,="0147900426",58000(E290),="4201",计量:2774243,1,83.7,74.1,69.6,79.65,75.75,72.45,72.45,70.5,109.95,191.85,246.3,269.4,254.1,237.9,289.35,333,313.5,302.85,189.3,167.4,119.55,94.65,92.25,86.1,1250,高供高计,1500,东新营业班
2014-10-27,="0147900426",58000(E290),="4201",计量:2774243,5,-9.6,-11.7,-13.2,-8.55,-9.3,-10.65,-6.9,-8.25,15.45,62.1,80.85,89.85,113.4,103.8,118.95,127.95,116.55,130.2,87.75,48.6,12.75,-3.75,-0.6,-1.65,1250,高供高计,1500,东新营业班
2014-10-28,="0147900426",58000(E290),="4201",计量:2774243,1,91.05,90.75,81.75,86.1,79.5,74.1,79.8,75.15,97.35,249,315.45,309.15,253.2,206.4,261,266.7,287.85,207.45,110.7,95.4,74.4,72,88.05,70.2,1250,高供高计,1500,东新营业班
2014-10-28,="0147900426",58000(E290),="4201",计量:2774243,5,-5.1,-1.05,-6.75,11.7,-3.6,-7.8,-12.75,-11.25,7.95,95.25,138.15,121.5,114,90.45,104.55,119.55,118.05,66.6,4.65,-2.85,-14.1,-7.5,1.95,-11.85,1250,高供高计,1500,东新营业班
2014-10-29,="0147900426",58000(E290),="4201",计量:2774243,1,66.3,68.85,68.1,69.3,75.75,65.25,81.15,78.6,81.45,219.75,259.35,297.6,253.2,204,258.75,256.2,246.75,242.1,154.2,148.35,121.8,107.55,111.15,78.6,1250,高供高计,1500,东新营业班
2014-10-29,="0147900426",58000(E290),="4201",计量:2774243,5,-0.6,-4.2,8.4,-7.5,12,1.35,-1.95,-1.95,8.1,73.8,111.6,129.15,117.6,84.75,96.9,95.1,82.35,93,62.55,52.65,20.55,13.8,14.4,12.6,1250,高供高计,1500,东新营业班
2014-10-30,="0147900426",58000(E290),="4201",计量:2774243,1,76.65,74.85,68.7,71.25,65.55,66.9,62.25,76.65,83.4,204.15,235.35,237.3,198.3,184.2,211.2,234.45,252.9,220.35,122.55,108.9,108,87.3,73.2,67.35,1250,高供高计,1500,东新营业班
