数据日期,用户名称,运行容量,综合倍率,当日最大需量,发生时间,表位数
2014-10-24,华工激光工程有限公司,1250,1500,0.234,3:36,6.2
2014-10-25,华工激光工程有限公司,1250,1500,0.234,3:36,6.2
2014-10-26,华工激光工程有限公司,1250,1500,0.234,3:36,6.2
2014-10-27,华工激光工程有限公司,1250,1500,0.234,3:36,6.2
2014-10-28,华工激光工程有限公司,1250,1500,0.234,3:36,6.2
2014-10-29,华工激光工程有限公司,1250,1500,0.234,3:36,6.2
2014-10-30,华工激光工程有限公司,1250,1500,0.234,3:36,6.2
2014-10-31,华工激光工程有限公司,1250,1500,0.234,3:36,6.2
2014-11-01,华工激光工程有限公司,1250,1500,0.234,3:36,6.2
2014-11-02,华工激光工程有限公司,1250,1500,0.234,3:36,6.2
2014-11-03,华工激光工程有限公司,1250,1500,0.234,3:36,6.2
2014-11-04,华工激光工程有限公司,1250,1500,0.234,3:36,6.2
2014-11-05,华工激光工程有限公司,1250,1500,0.234,3:36,6.2
2014-11-06,华工激光工程有限公司,1250,1500,0.234,3:36,6.2
2014-11-07,华工激光工程有限公司,1250,1500,0.234,3:36,6.2
2014-11-08,华工激光工程有限公司,1250,1500,0.234,3:36,6.2
2014-11-09,华工激光工程有限公司,1250,1500,0.234,3:36,6.2
2014-11-10,华工激光工程有限公司,1250,1500,0.234,3:36,6.2
2014-11-11,华工激光工程有限公司,1250,1500,0.234,3:36,6.2
2014-11-12,华工激光工程有限公司,1250,1500,0.234,3:36,6.2
2014-11-13,华工激光工程有限公司,1250,1500,0.234,3:36,6.2
2014-11-14,华工激光工程有限公司,1250,1500,0.234,3:36,6.2
2014-11-15,华工激光工程有限公司,1250,1500,0.234,3:36,6.2
2014-11-16,华工激光工程有限公司,1250,1500,0.234,3:36,6.2
2014-11-17,华工激光工程有限公司,1250,1500,0.234,3:36,6.2
2014-11-18,华工激光工程有限公司,1250,1500,0.234,3:36,6.2
2014-11-19,华工激光工程有限公司,1250,1500,0.234,3:36,6.2
2014-11-20,华工激光工程有限公司,1250,1500,0.234,3:36,6.2
2014-11-21,华工激光工程有限公司,1250,1500,0.234,3:36,6.2
2014-11-22,华工激光工程有限公司,1250,1500,0.234,3:36,6.2
2014-11-23,华工激光工程有限公司,1250,1500,0.234,3:36,6.2
2014-11-24,华工激光工程有限公司,1250,1500,0.1769,10:09,6.2
2014-11-25,华工激光工程有限公司,1250,1500,0.2036,10:45,6.2
