数据日期,用户名称,运行容量,电能表号,综合倍率,表位数,在线情况,总,尖,峰,平,谷,总
2013/3/3,武汉大族金石凯激光系统有限公司,500,6050139,600,5.2,在线,4404.91,0,1322.12,2480.29,602.5,1948.44
2013/3/4,武汉大族金石凯激光系统有限公司,500,6050139,600,5.2,在线,4405.03,0,1322.18,2480.34,602.51,1948.46
2013/3/5,武汉大族金石凯激光系统有限公司,500,6050139,600,5.2,在线,4407.22,0,1322.8,2481.77,602.65,1949.4
2013/3/6,武汉大族金石凯激光系统有限公司,500,6050139,600,5.2,在线,4409.42,0,1323.46,2483.18,602.78,1950.36
2013/3/7,武汉大族金石凯激光系统有限公司,500,6050139,600,5.2,在线,4411.75,0,1324.04,2484.82,602.89,1951.09
2013/3/8,武汉大族金石凯激光系统有限公司,500,6050139,600,5.2,在线,4412.63,0,1324.25,2485.37,603.01,1951.33
2013/3/9,武汉大族金石凯激光系统有限公司,500,6050139,600,5.2,在线,4413.46,0,1324.53,2485.82,603.11,1951.66
2013/3/10,武汉大族金石凯激光系统有限公司,500,6050139,600,5.2,在线,4413.9,0,1324.67,2486.02,603.21,1951.87
2013/3/11,武汉大族金石凯激光系统有限公司,500,6050139,600,5.2,在线,4414.92,0,1324.98,2486.61,603.33,1952.26
2013/3/12,武汉大族金石凯激光系统有限公司,500,6050139,600,5.2,在线,4415.9,0,1325.29,2487.18,603.43,1952.56
2013/3/13,武汉大族金石凯激光系统有限公司,500,6050139,600,5.2,在线,4417.38,0,1325.66,2488.18,603.54,1953.06
2013/3/14,武汉大族金石凯激光系统有限公司,500,6050139,600,5.2,在线,4418.76,0,1326,2489.1,603.66,1953.47
2013/3/15,武汉大族金石凯激光系统有限公司,500,6050139,600,5.2,在线,4420.46,0,1326.54,2490.15,603.77,1953.98
2013/3/16,武汉大族金石凯激光系统有限公司,500,6050139,600,5.2,在线,4421.9,0,1326.99,2491.04,603.87,1954.82
2013/3/17,武汉大族金石凯激光系统有限公司,500,6050139,600,5.2,在线,4422.35,0,1327.11,2491.24,604,1955
2013/3/18,武汉大族金石凯激光系统有限公司,500,6050139,600,5.2,在线,4423.24,0,1327.34,2491.78,604.12,1955.28
2013/3/19,武汉大族金石凯激光系统有限公司,500,6050139,600,5.2,在线,4424.26,0,1327.57,2492.43,604.26,1955.67
2013/3/20,武汉大族金石凯激光系统有限公司,500,6050139,600,5.2,在线,4425.39,0,1327.84,2493.17,604.38,1955.97
2013/3/21,武汉大族金石凯激光系统有限公司,500,6050139,600,5.2,在线,4426.69,0,1328.15,2494.01,604.53,1956.31
2013/3/22,武汉大族金石凯激光系统有限公司,500,6050139,600,5.2,在线,4427.81,0,1328.5,2494.63,604.68,1956.66
2013/3/23,武汉大族金石凯激光系统有限公司,500,6050139,600,5.2,在线,4428.65,0,1328.64,2495.24,604.77,1957.25
2013/3/24,武汉大族金石凯激光系统有限公司,500,6050139,600,5.2,在线,4429.28,0,1328.84,2495.56,604.88,1957.65
