数据日期,测量点名称,相序类型,0时,1时,2时,3时,4时,5时,6时,7时,8时,9时,10时,11时,12时,13时,14时,15时,16时,17时,18时,19时,20时,21时,22时,23时,运行容量,计量方式,综合倍率,供电单位
2013/3/4,主供主表,有功功率,12.84,12.24,10.8,11.58,8.4,9.24,9,9.9,19.62,77.58,163.92,179.46,56.4,60.72,165.84,176.28,154.86,33.3,8.52,9,15.18,16.08,17.1,12.54,500,高供高计,600,东新营业班
2013/3/4,主供主表,无功功率,0,0,0,0,0,0,0,0,0,18,114,54,18,12,60,66,42,12,0,0,0,0,0,0,500,高供高计,600,东新营业班
2013/3/5,主供主表,有功功率,9.66,8.04,13.38,9.96,8.46,8.28,9.66,29.64,49.02,146.1,159.78,184.44,46.92,46.5,142.32,157.02,138.42,25.62,8.4,10.38,10.2,10.56,8.22,9.6,500,高供高计,600,东新营业班
2013/3/5,主供主表,无功功率,0,0,0,0,0,0,0,6,6,54,54,66,12,12,78,78,84,12,0,0,0,0,0,0,500,高供高计,600,东新营业班
2013/3/6,主供主表,有功功率,9.3,7.74,8.34,8.88,8.94,10.2,9.72,21.84,72.12,54.42,190.38,161.64,66.84,142.56,166.38,150,155.16,26.04,10.68,11.16,12.66,10.08,8.88,10.38,500,高供高计,600,东新营业班
2013/3/6,主供主表,无功功率,0,0,0,0,0,0,0,0,6,12,66,48,18,84,90,84,78,6,0,0,0,0,0,0,500,高供高计,600,东新营业班
2013/3/7,主供主表,有功功率,11.28,6.12,5.7,8.34,7.38,6.54,6.84,20.4,53.28,143.52,147,160.38,146.82,137.46,145.08,152.64,147.84,28.2,9.48,9.42,12.54,9.78,12.84,10.74,500,高供高计,600,东新营业班
2013/3/7,主供主表,无功功率,0,0,0,0,0,0,0,0,6,72,42,54,36,36,36,42,36,6,0,0,0,0,0,0,500,高供高计,600,东新营业班
2013/3/8,主供主表,有功功率,7.02,10.26,9.42,7.32,15.12,7.68,7.86,18.66,26.4,32.58,43.74,41.46,45.54,42.96,42.06,62.16,52.92,28.38,9.06,11.58,10.26,11.16,9.24,9.48,500,高供高计,600,东新营业班
2013/3/8,主供主表,无功功率,0,0,0,0,6,0,0,0,6,6,6,12,12,12,6,18,12,6,0,0,0,0,0,0,500,高供高计,600,东新营业班
2013/3/9,主供主表,有功功率,6.24,6.72,8.52,6.6,6.42,6.48,6.48,4.92,9.42,9.48,108.72,108.78,112.2,114.84,6.6,8.22,7.32,14.58,7.98,6.12,8.16,7.86,8.22,9.66,500,高供高计,600,东新营业班
2013/3/9,主供主表,无功功率,0,0,0,0,0,0,0,0,0,0,36,36,36,36,0,0,0,12,0,0,0,0,0,0,500,高供高计,600,东新营业班
2013/3/10,主供主表,有功功率,9.72,7.26,5.52,6.18,6,6.72,6.36,7.38,11.76,10.44,18,16.92,8.28,11.76,12.06,11.88,8.52,17.64,13.98,9.66,15.12,11.28,11.58,10.2,500,高供高计,600,东新营业班
2013/3/10,主供主表,无功功率,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,6,12,6,6,6,0,0,0,500,高供高计,600,东新营业班
2013/3/11,主供主表,有功功率,9.9,12.72,7.92,7.68,7.14,9.12,9.6,19.08,21.06,52.98,57.06,88.8,34.86,40.5,46.44,44.34,40.26,32.82,10.86,11.64,7.26,11.04,10.8,9.66,500,高供高计,600,东新营业班
2013/3/11,主供主表,无功功率,0,0,0,0,0,0,0,0,0,18,24,36,6,6,12,12,6,12,6,6,0,0,0,0,500,高供高计,600,东新营业班
2013/3/12,主供主表,有功功率,7.92,8.76,5.94,17.1,5.46,5.52,6.06,9.3,23.4,41.16,73.98,60.06,51.42,41.46,36.66,42.24,45,29.88,7.8,14.58,9.24,10.14,10.38,8.4,500,高供高计,600,东新营业班
2013/3/12,主供主表,无功功率,0,0,0,6,0,0,0,0,0,6,18,12,18,6,6,6,6,6,0,6,0,0,0,0,500,高供高计,600,东新营业班
2013/3/13,主供主表,有功功率,7.98,6.42,6.9,6.84,6.24,6.78,6.3,19.8,37.26,45.9,56.94,154.44,40.8,37.38,122.82,129,34.08,29.7,12.42,8.64,7.98,19.14,12.48,10.98,500,高供高计,600,东新营业班
2013/3/13,主供主表,无功功率,0,0,0,0,0,0,0,0,12,0,12,48,12,6,42,48,18,12,0,0,0,6,0,0,500,高供高计,600,东新营业班
