数据日期,测量点名称,相序类型,0时,1时,2时,3时,4时,5时,6时,7时,8时,9时,10时,11时,12时,13时,14时,15时,16时,17时,18时,19时,20时,21时,22时,23时,运行容量,综合倍率
2013/3/4,主供主表,A相,101,101,101,102,102,102,101,101,101,101,101,101,103,102,102,102,102,103,103,103,102,103,103,103,500,600
2013/3/4,主供主表,B相,101,101,101,102,102,102,101,101,101,101,101,101,103,102,101,102,102,102,103,102,102,103,103,103,500,600
2013/3/4,主供主表,C相,101,101,101,102,102,102,101,101,101,101,101,101,103,102,101,102,102,102,103,102,102,103,103,103,500,600
2013/3/5,主供主表,A相,101,101,102,101,102,102,102,101,103,102,103,103,105,104,104,104,104,105,105,104,104,105,103,103,500,600
2013/3/5,主供主表,B相,101,101,101,101,102,102,102,101,102,102,103,103,105,104,104,103,104,104,105,104,104,105,102,103,500,600
2013/3/5,主供主表,C相,101,101,101,101,102,102,102,101,103,102,103,103,105,104,104,104,104,105,105,104,104,105,103,103,500,600
2013/3/6,主供主表,A相,104,103,104,104,104,104,104,103,103,103,103,104,105,104,104,104,104,104,105,105,105,105,105,103,500,600
2013/3/6,主供主表,B相,104,103,104,104,104,104,104,103,103,103,103,104,105,104,104,104,104,104,105,104,105,105,104,103,500,600
2013/3/6,主供主表,C相,104,103,104,103,104,104,104,104,103,103,104,103,105,104,103,104,104,104,105,104,104,105,104,103,500,600
2013/3/7,主供主表,A相,103,104,104,104,105,104,105,104,103,103,103,104,105,104,104,103,104,105,105,104,104,105,104,103,500,600
2013/3/7,主供主表,B相,103,104,104,104,104,104,104,104,102,103,103,104,104,104,104,103,104,104,105,104,104,105,104,103,500,600
2013/3/7,主供主表,C相,104,104,104,104,104,104,105,104,102,103,104,104,104,104,104,104,104,105,105,104,104,105,105,103,500,600
2013/3/8,主供主表,A相,103,104,104,104,105,104,104,103,103,102,102,102,103,102,102,103,103,103,104,103,103,104,103,103,500,600
2013/3/8,主供主表,B相,103,103,104,103,104,104,104,103,103,101,102,102,103,102,102,102,102,103,103,103,103,104,103,102,500,600
2013/3/8,主供主表,C相,103,104,104,104,105,104,104,103,103,102,102,102,103,102,102,103,102,103,103,103,103,104,103,102,500,600
2013/3/9,主供主表,A相,104,104,104,105,104,105,104,104,103,102,102,103,104,102,102,102,103,103,104,103,104,104,103,103,500,600
2013/3/9,主供主表,B相,104,104,104,104,104,105,104,104,103,102,102,103,103,102,102,102,102,103,103,103,103,104,103,103,500,600
2013/3/9,主供主表,C相,104,104,104,104,104,104,104,104,103,102,102,103,104,103,102,102,102,103,104,103,103,104,103,103,500,600
2013/3/10,主供主表,A相,104,104,104,104,104,105,105,104,104,103,103,103,104,103,103,104,103,103,104,104,104,104,104,105,500,600
2013/3/10,主供主表,B相,104,104,104,104,104,105,105,104,104,103,103,103,104,103,103,103,103,103,104,103,104,104,104,105,500,600
2013/3/10,主供主表,C相,104,104,104,104,104,105,105,104,104,103,103,103,104,103,103,104,103,103,104,104,104,104,104,105,500,600
2013/3/11,主供主表,A相,105,105,105,105,105,105,105,104,103,103,104,103,105,104,103,103,103,103,104,104,104,105,104,105,500,600
2013/3/11,主供主表,B相,105,105,105,105,105,105,105,104,102,103,104,103,104,103,103,103,103,103,104,104,104,104,104,105,500,600
2013/3/11,主供主表,C相,105,105,105,105,105,105,105,104,103,103,104,103,104,104,103,103,103,103,104,104,104,105,104,105,500,600
2013/3/12,主供主表,A相,104,104,104,104,104,104,105,103,102,103,103,103,105,103,104,103,103,104,105,105,104,105,105,103,500,600
2013/3/12,主供主表,B相,104,104,104,104,104,104,104,104,102,103,103,103,105,103,104,102,103,103,104,104,104,105,104,103,500,600
2013/3/12,主供主表,C相,104,104,104,104,104,104,105,104,102,103,103,103,105,103,104,103,103,104,104,104,104,105,105,103,500,600
2013/3/13,主供主表,A相,104,103,104,104,104,105,104,104,103,102,103,103,104,103,103,104,104,104,105,104,105,105,105,103,500,600
2013/3/13,主供主表,B相,104,103,104,104,104,104,104,104,103,102,103,102,104,103,103,103,103,104,105,104,104,105,104,103,500,600
2013/3/13,主供主表,C相,104,103,104,104,105,104,104,104,103,102,103,102,104,103,103,103,104,104,105,105,105,105,105,103,500,600
2013/3/14,主供主表,A相,104,104,104,104,104,105,105,103,102,101,102,101,103,102,102,102,102,103,103,103,103,103,103,102,500,600
2013/3/14,主供主表,B相,104,104,103,104,104,104,105,103,102,101,102,101,103,102,102,102,102,103,103,103,103,103,102,102,500,600
2013/3/14,主供主表,C相,104,104,104,104,104,104,105,104,103,101,102,101,103,102,102,102,103,103,103,103,103,103,103,103,500,600
2013/3/15,主供主表,A相,104,103,104,104,104,104,104,103,102,101,102,102,103,102,102,102,102,103,104,103,103,103,103,102,500,600
2013/3/15,主供主表,B相,103,103,103,103,103,103,104,103,102,101,102,102,103,102,102,101,102,102,103,103,103,103,102,102,500,600
2013/3/15,主供主表,C相,103,103,103,104,104,103,104,103,103,101,102,101,103,102,102,101,102,103,104,103,103,103,103,102,500,600
2013/3/16,主供主表,A相,103,104,104,104,104,104,104,104,103,103,104,104,105,104,104,104,104,104,105,105,105,106,101,102,500,600
2013/3/16,主供主表,B相,103,104,104,104,104,104,104,103,103,103,104,104,105,104,104,104,104,104,105,105,105,106,102,102,500,600
2013/3/16,主供主表,C相,103,104,104,104,104,104,104,104,103,104,104,104,105,104,104,104,104,104,105,105,105,106,102,102,500,600
2013/3/17,主供主表,A相,102,103,103,103,103,103,103,102,103,101,101,101,103,102,102,103,102,102,103,102,102,102,102,102,500,600
2013/3/17,主供主表,B相,102,102,102,103,103,103,103,102,103,101,101,101,102,102,101,102,102,102,102,102,102,102,102,102,500,600
2013/3/17,主供主表,C相,102,103,102,103,103,103,103,102,103,101,101,101,103,102,102,102,102,102,102,102,102,102,102,102,500,600
2013/3/18,主供主表,A相,103,102,103,103,103,103,103,102,102,102,103,103,105,104,104,104,104,104,105,105,105,105,105,103,500,600
2013/3/18,主供主表,B相,103,102,103,103,103,103,102,102,102,102,103,103,105,104,103,104,104,104,105,105,104,105,105,102,500,600
2013/3/18,主供主表,C相,103,102,103,103,103,103,103,102,102,103,103,103,105,104,104,104,104,104,105,105,104,105,105,103,500,600
2013/3/19,主供主表,A相,103,103,103,104,104,104,104,103,102,101,102,102,105,103,103,103,103,104,105,105,105,105,105,102,500,600
2013/3/19,主供主表,B相,103,103,103,103,104,104,104,103,102,101,102,102,105,103,103,103,103,103,104,104,104,104,104,102,500,600
2013/3/19,主供主表,C相,103,103,103,104,104,104,104,103,102,101,102,102,105,104,103,103,103,103,104,104,104,105,104,102,500,600
2013/3/20,主供主表,A相,104,103,104,104,104,104,104,103,101,99,100,100,103,102,101,102,101,101,103,102,102,103,102,102,500,600
2013/3/20,主供主表,B相,104,103,104,104,104,104,104,102,101,99,100,100,103,101,101,102,101,101,103,102,102,102,102,102,500,600
2013/3/20,主供主表,C相,104,103,104,104,104,104,104,103,101,99,100,100,103,102,101,101,101,101,103,102,102,102,102,102,500,600
2013/3/21,主供主表,A相,103,103,103,103,103,104,103,102,101,99,103,103,104,103,102,102,102,102,104,104,105,105,105,103,500,600
2013/3/21,主供主表,B相,103,103,103,103,103,104,103,102,101,99,103,102,103,103,102,102,102,102,104,103,104,105,105,103,500,600
2013/3/21,主供主表,C相,103,103,103,103,103,104,103,102,101,99,103,103,104,103,102,103,102,102,104,104,104,105,105,102,500,600
2013/3/22,主供主表,A相,103,104,103,104,104,105,104,104,102,103,103,103,103,102,102,102,102,102,103,103,104,104,103,102,500,600
2013/3/22,主供主表,B相,103,104,103,104,104,104,104,103,102,102,102,103,103,102,102,102,101,102,103,103,103,104,103,102,500,600
2013/3/22,主供主表,C相,103,104,103,104,104,104,104,103,102,103,103,103,103,102,102,102,102,102,103,103,104,104,103,102,500,600
2013/3/23,主供主表,A相,103,103,104,104,104,105,105,104,103,103,103,103,105,104,104,104,103,104,105,105,105,106,105,103,500,600
2013/3/23,主供主表,B相,103,103,104,103,104,104,104,104,103,103,104,103,104,104,104,103,103,104,105,105,105,105,104,103,500,600
2013/3/23,主供主表,C相,103,104,104,104,104,105,105,104,103,103,104,104,105,104,104,104,103,104,105,105,105,105,105,103,500,600
2013/3/24,主供主表,A相,104,104,105,104,104,105,105,104,103,102,103,103,104,104,103,103,103,103,104,104,104,104,104,103,500,600
2013/3/24,主供主表,B相,104,104,104,104,104,105,105,104,103,103,103,103,104,103,103,103,103,103,104,103,103,104,104,104,500,600
2013/3/24,主供主表,C相,104,104,104,104,104,105,105,104,103,103,103,103,104,104,103,103,103,103,104,104,103,104,104,104,500,600
2013/3/25,主供主表,A相,103,102,103,103,103,103,103,102,104,101,103,103,105,104,103,103,104,103,104,104,104,105,105,103,500,600
2013/3/25,主供主表,B相,103,102,103,103,103,103,103,102,104,102,103,103,105,103,103,103,103,103,104,104,104,105,105,103,500,600
2013/3/25,主供主表,C相,103,102,104,103,103,102,103,102,104,102,103,104,105,103,103,103,103,103,104,104,104,105,105,103,500,600
2013/3/26,主供主表,A相,104,104,104,104,103,104,104,103,103,101,103,103,105,104,104,104,104,105,105,105,105,106,102,102,500,600
2013/3/26,主供主表,B相,104,104,104,104,103,104,104,103,103,101,103,103,105,104,104,104,104,104,105,105,105,106,102,102,500,600
2013/3/26,主供主表,C相,104,104,104,104,104,104,104,103,103,101,103,103,105,104,104,104,104,104,105,105,105,106,102,102,500,600
2013/3/27,主供主表,A相,103,102,103,102,102,102,103,101,101,101,104,103,105,105,105,105,104,105,106,105,105,105,102,102,500,600
2013/3/27,主供主表,B相,103,102,103,101,102,102,102,101,100,101,104,103,105,104,104,104,104,104,106,105,105,105,102,102,500,600
2013/3/27,主供主表,C相,103,102,103,102,102,102,102,101,101,101,104,103,105,105,105,105,105,105,106,105,105,105,101,102,500,600
2013/3/28,主供主表,A相,102,101,101,102,102,103,102,101,102,101,102,102,104,103,102,103,103,103,104,104,104,104,103,103,500,600
2013/3/28,主供主表,B相,102,101,101,102,102,102,102,101,102,102,102,102,104,103,102,103,102,103,104,104,104,104,103,103,500,600
2013/3/28,主供主表,C相,102,101,101,102,102,102,102,101,102,102,102,102,104,103,102,103,103,104,104,104,104,104,104,103,500,600
2013/3/29,主供主表,A相,103,103,104,104,103,103,103,103,101,101,102,102,104,103,103,102,103,103,104,104,104,105,104,103,500,600
