数据日期,测量点名称,相序类型,0时,1时,2时,3时,4时,5时,6时,7时,8时,9时,10时,11时,12时,13时,14时,15时,16时,17时,18时,19时,20时,21时,22时,23时,运行容量,综合倍率
2013/3/4,主供主表,A相,0.13,0.12,0.14,0.13,0.11,0.11,0.11,0.11,0.21,0.74,1.88,1.82,0.62,0.58,1.75,1.93,1.62,0.35,0.08,0.09,0.16,0.18,0.16,0.13,500,600
2013/3/4,主供主表,B相,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,600
2013/3/4,主供主表,C相,0.1,0.1,0.06,0.09,0.06,0.06,0.07,0.08,0.2,0.87,1.93,2.01,0.7,0.51,1.72,1.9,1.64,0.35,0.09,0.08,0.11,0.11,0.14,0.1,500,600
2013/3/5,主供主表,A相,0.12,0.1,0.15,0.11,0.11,0.11,0.11,0.32,0.44,1.64,1.81,1.81,0.44,0.43,1.72,1.57,1.63,0.27,0.07,0.1,0.13,0.14,0.11,0.13,500,600
2013/3/5,主供主表,B相,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,600
2013/3/5,主供主表,C相,0.07,0.07,0.09,0.09,0.07,0.07,0.08,0.28,0.46,1.71,1.87,1.91,0.38,0.56,1.6,1.76,1.6,0.28,0.09,0.11,0.08,0.08,0.07,0.07,500,600
2013/3/6,主供主表,A相,0.14,0.11,0.11,0.12,0.12,0.13,0.13,0.3,0.6,0.39,1.95,1.71,0.53,1.8,1.78,1.63,1.82,0.25,0.1,0.12,0.14,0.09,0.08,0.1,500,600
2013/3/6,主供主表,B相,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,600
2013/3/6,主供主表,C相,0.07,0.07,0.07,0.07,0.08,0.07,0.08,0.25,0.65,0.58,1.92,1.73,0.81,1.83,1.93,1.71,1.67,0.26,0.09,0.08,0.09,0.1,0.08,0.08,500,600
2013/3/7,主供主表,A相,0.13,0.07,0.07,0.1,0.07,0.07,0.07,0.2,0.39,1.67,1.66,1.77,1.64,1.52,1.58,1.66,1.67,0.29,0.09,0.11,0.13,0.08,0.12,0.12,500,600
2013/3/7,主供主表,B相,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,600
2013/3/7,主供主表,C相,0.11,0.06,0.06,0.07,0.06,0.07,0.06,0.2,0.66,1.73,1.6,1.69,1.51,1.46,1.56,1.61,1.61,0.26,0.09,0.09,0.12,0.1,0.11,0.09,500,600
2013/3/8,主供主表,A相,0.06,0.12,0.08,0.07,0.16,0.08,0.08,0.19,0.27,0.3,0.4,0.42,0.45,0.45,0.47,0.65,0.58,0.28,0.07,0.13,0.11,0.1,0.08,0.09,500,600
2013/3/8,主供主表,B相,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,600
2013/3/8,主供主表,C相,0.07,0.08,0.09,0.09,0.15,0.08,0.08,0.17,0.28,0.36,0.45,0.44,0.47,0.4,0.39,0.61,0.47,0.27,0.1,0.1,0.08,0.1,0.08,0.08,500,600
2013/3/9,主供主表,A相,0.07,0.07,0.1,0.07,0.07,0.07,0.07,0.05,0.09,0.1,1.25,1.31,1.37,1.34,0.09,0.07,0.07,0.19,0.1,0.07,0.1,0.09,0.06,0.09,500,600
2013/3/9,主供主表,B相,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,600
2013/3/9,主供主表,C相,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.05,0.08,0.08,1.2,1.2,1.23,1.3,0.07,0.08,0.07,0.17,0.06,0.07,0.06,0.06,0.08,0.08,500,600
2013/3/10,主供主表,A相,0.1,0.06,0.06,0.07,0.07,0.07,0.08,0.09,0.11,0.07,0.16,0.16,0.12,0.15,0.15,0.17,0.13,0.23,0.21,0.14,0.2,0.13,0.13,0.11,500,600
2013/3/10,主供主表,B相,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,600
