数据日期,用户名称,运行容量,电能表号,综合倍率,表位数,在线情况,总,尖,峰,平,谷
2013/3/4,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,1313.94,0,354,870.06,90
2013/3/5,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,1314.24,0,371.94,857.94,84
2013/3/6,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,1319.82,0,395.94,845.94,78
2013/3/7,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,1398,0,348,984.06,65.94
2013/3/8,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,527.88,0,125.94,330,71.94
2013/3/9,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,498,0,168,269.94,59.94
2013/3/10,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,263.94,0,84,119.94,60
2013/3/11,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,612,0,185.94,354,71.94
2013/3/12,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,587.94,0,186,341.88,59.94
2013/3/13,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,887.94,0,221.94,600,65.94
2013/3/14,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,827.88,0,203.94,552.06,71.94
2013/3/15,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,1020.06,0,324,629.88,66
2013/3/16,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,863.94,0,269.94,534.06,59.94
2013/3/17,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,270.06,0,71.94,119.94,78
2013/3/18,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,534.06,0,137.94,324,71.94
2013/3/19,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,611.7,0,137.94,389.94,84
2013/3/20,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,678.18,0,162,443.94,71.94
2013/3/21,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,779.88,0,186,504,90
2013/3/22,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,672.06,0,209.94,371.88,89.94
2013/3/23,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,503.88,0,84,366.06,54
2013/3/24,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,377.88,0,119.94,192,65.94
2013/3/25,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,624,0,162,383.88,78
2013/3/26,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,756.12,0,209.94,468,78
2013/3/27,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,653.88,0,186,401.94,65.94
2013/3/28,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,977.88,0,287.94,624,65.94
2013/3/29,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,1056.12,0,246,731.94,78
2013/3/30,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,701.94,0,257.94,372.06,71.94
2013/3/31,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,234.06,0,59.94,113.94,60
2013/4/1,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,486,0,126,287.94,71.94
2013/4/2,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,683.76,0,179.94,431.94,71.94
2013/4/3,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,654.18,0,192,384.06,78
2013/4/4,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,203.88,0,59.94,83.88,59.94
2013/4/5,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,258.06,0,65.94,131.94,60
2013/4/6,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,203.88,0,53.94,90.06,59.94
2013/4/7,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,486,0,162,257.94,65.94
2013/4/8,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,534.06,0,162,306,65.94
2013/4/9,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,977.88,0,186,719.94,71.94
2013/4/10,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,1493.82,0,425.94,1001.94,66
2013/4/11,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,1637.94,0,509.94,1056,71.94
2013/4/12,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,2244.12,0,600,1590.06,53.94
2013/4/13,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,575.94,0,162,348,66
2013/4/14,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,203.88,0,65.94,83.88,53.94
2013/4/15,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,1151.94,0,300,798,54
2013/4/16,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,696.06,0,168,468,59.94
2013/4/17,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,1122.06,0,384,677.88,60
2013/4/18,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,1277.88,0,228,983.88,65.94
2013/4/19,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,1284.06,0,335.94,882.12,65.94
2013/4/20,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,401.94,0,96,245.94,59.94
2013/4/21,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,215.88,0,59.94,101.94,54
