数据日期,用户名称,运行容量,电能表号,综合倍率,当日最大需量,发生时间,表位数,在线情况
2013-03-04,武汉大族金石凯激光系统有限公司,500,06050139,600,0.3075,3:17,5.2,在线
2013-03-05,武汉大族金石凯激光系统有限公司,500,06050139,600,0.3075,3:17,5.2,在线
2013-03-06,武汉大族金石凯激光系统有限公司,500,06050139,600,0.3087,11:07,5.2,在线
2013-03-07,武汉大族金石凯激光系统有限公司,500,06050139,600,0.3087,11:07,5.2,在线
2013-03-08,武汉大族金石凯激光系统有限公司,500,06050139,600,0.3087,11:07,5.2,在线
2013-03-09,武汉大族金石凯激光系统有限公司,500,06050139,600,0.3087,11:07,5.2,在线
2013-03-10,武汉大族金石凯激光系统有限公司,500,06050139,600,0.3087,11:07,5.2,在线
2013-03-11,武汉大族金石凯激光系统有限公司,500,06050139,600,0.3087,11:07,5.2,在线
2013-03-12,武汉大族金石凯激光系统有限公司,500,06050139,600,0.3087,11:07,5.2,在线
2013-03-13,武汉大族金石凯激光系统有限公司,500,06050139,600,0.3087,11:07,5.2,在线
2013-03-14,武汉大族金石凯激光系统有限公司,500,06050139,600,0.3087,11:07,5.2,在线
2013-03-15,武汉大族金石凯激光系统有限公司,500,06050139,600,0.3087,11:07,5.2,在线
2013-03-16,武汉大族金石凯激光系统有限公司,500,06050139,600,0.3087,11:07,5.2,在线
2013-03-17,武汉大族金石凯激光系统有限公司,500,06050139,600,0.3087,11:07,5.2,在线
2013-03-18,武汉大族金石凯激光系统有限公司,500,06050139,600,0.3087,11:07,5.2,在线
2013-03-19,武汉大族金石凯激光系统有限公司,500,06050139,600,0.3087,11:07,5.2,在线
2013-03-20,武汉大族金石凯激光系统有限公司,500,06050139,600,0.3087,11:07,5.2,在线
2013-03-21,武汉大族金石凯激光系统有限公司,500,06050139,600,0.3087,11:07,5.2,在线
2013-03-22,武汉大族金石凯激光系统有限公司,500,06050139,600,0.3087,11:07,5.2,在线
2013-03-23,武汉大族金石凯激光系统有限公司,500,06050139,600,0.3087,11:07,5.2,在线
2013-03-24,武汉大族金石凯激光系统有限公司,500,06050139,600,0.3087,11:07,5.2,在线
2013-03-25,武汉大族金石凯激光系统有限公司,500,06050139,600,0.3087,11:07,5.2,在线
2013-03-26,武汉大族金石凯激光系统有限公司,500,06050139,600,0.3087,11:07,5.2,在线
2013-03-27,武汉大族金石凯激光系统有限公司,500,06050139,600,0.3087,11:07,5.2,在线
2013-03-28,武汉大族金石凯激光系统有限公司,500,06050139,600,0.3087,11:07,5.2,在线
2013-03-29,武汉大族金石凯激光系统有限公司,500,06050139,600,0.3087,11:07,5.2,在线
2013-03-30,武汉大族金石凯激光系统有限公司,500,06050139,600,0.3087,11:07,5.2,在线
2013-03-31,武汉大族金石凯激光系统有限公司,500,06050139,600,0.0168,12:12,5.2,在线
2013-04-01,武汉大族金石凯激光系统有限公司,500,06050139,600,0.0934,12:00,5.2,在线
2013-04-02,武汉大族金石凯激光系统有限公司,500,06050139,600,0.1596,12:24,5.2,在线
2013-04-03,武汉大族金石凯激光系统有限公司,500,06050139,600,0.17,10:47,5.2,在线
2013-04-04,武汉大族金石凯激光系统有限公司,500,06050139,600,0.17,10:47,5.2,在线
2013-04-05,武汉大族金石凯激光系统有限公司,500,06050139,600,0.17,10:47,5.2,在线
2013-04-06,武汉大族金石凯激光系统有限公司,500,06050139,600,0.17,10:47,5.2,在线
2013-04-07,武汉大族金石凯激光系统有限公司,500,06050139,600,0.17,10:47,5.2,在线
2013-04-08,武汉大族金石凯激光系统有限公司,500,06050139,600,0.17,10:47,5.2,在线
2013-04-09,武汉大族金石凯激光系统有限公司,500,06050139,600,0.3621,3:25,5.2,在线
2013-04-10,武汉大族金石凯激光系统有限公司,500,06050139,600,0.3946,12:09,5.2,在线
2013-04-11,武汉大族金石凯激光系统有限公司,500,06050139,600,0.4506,10:27,5.2,在线
2013-04-12,武汉大族金石凯激光系统有限公司,500,06050139,600,0.4893,11:48,5.2,在线
2013-04-13,武汉大族金石凯激光系统有限公司,500,06050139,600,0.4893,11:48,5.2,在线
2013-04-14,武汉大族金石凯激光系统有限公司,500,06050139,600,0.4893,11:48,5.2,在线
2013-04-15,武汉大族金石凯激光系统有限公司,500,06050139,600,0.4893,11:48,5.2,在线
2013-04-16,武汉大族金石凯激光系统有限公司,500,06050139,600,0.4893,11:48,5.2,在线
2013-04-17,武汉大族金石凯激光系统有限公司,500,06050139,600,0.4893,11:48,5.2,在线
2013-04-18,武汉大族金石凯激光系统有限公司,500,06050139,600,0.4893,11:48,5.2,在线
2013-04-19,武汉大族金石凯激光系统有限公司,500,06050139,600,0.4893,11:48,5.2,在线
2013-04-20,武汉大族金石凯激光系统有限公司,500,06050139,600,0.4893,11:48,5.2,在线
2013-04-21,武汉大族金石凯激光系统有限公司,500,06050139,600,0.4893,11:48,5.2,在线
2013-04-22,武汉大族金石凯激光系统有限公司,500,06050139,600,0.4893,11:48,5.2,在线
2013-04-23,武汉大族金石凯激光系统有限公司,500,06050139,600,0.4893,11:48,5.2,在线
2013-04-24,武汉大族金石凯激光系统有限公司,500,06050139,600,0.5175,4:20,5.2,在线
2013-04-25,武汉大族金石凯激光系统有限公司,500,06050139,600,0.5543,12:14,5.2,在线
2013-04-26,武汉大族金石凯激光系统有限公司,500,06050139,600,0.5543,12:14,5.2,在线
2013-04-27,武汉大族金石凯激光系统有限公司,500,06050139,600,0.5543,12:14,5.2,在线
2013-04-28,武汉大族金石凯激光系统有限公司,500,06050139,600,0.5543,12:14,5.2,在线
2013-04-29,武汉大族金石凯激光系统有限公司,500,06050139,600,0.5543,12:14,5.2,在线
2013-04-30,武汉大族金石凯激光系统有限公司,500,06050139,600,0.0137,12:01,5.2,在线
2013-05-01,武汉大族金石凯激光系统有限公司,500,06050139,600,0.0428,11:42,5.2,在线
2013-05-02,武汉大族金石凯激光系统有限公司,500,06050139,600,0.2762,12:11,5.2,在线
2013-05-03,武汉大族金石凯激光系统有限公司,500,06050139,600,0.4146,3:55,5.2,在线
2013-05-04,武汉大族金石凯激光系统有限公司,500,06050139,600,0.4146,3:55,5.2,在线
2013-05-05,武汉大族金石凯激光系统有限公司,500,06050139,600,0.4146,3:55,5.2,在线
2013-05-06,武汉大族金石凯激光系统有限公司,500,06050139,600,0.4146,3:55,5.2,在线
2013-05-07,武汉大族金石凯激光系统有限公司,500,06050139,600,0.4146,3:55,5.2,在线
2013-05-08,武汉大族金石凯激光系统有限公司,500,06050139,600,0.4146,3:55,5.2,在线
