数据日期,相序类型,0时,1时,2时,3时,4时,5时,6时,7时,8时,9时,10时,11时,12时,13时,14时,15时,16时,17时,18时,19时,20时,21时,22时,23时,运行容量,综合倍率
2015/3/30,有功功率,0,0,0,0,0,0,0,0,0,0,77.52,82.8,71.52,69.72,99.84,160.68,76.08,34.32,69.84,48,83.04,26.52,24.6,16.92,1000,1200
2015/3/30,无功功率,0,0,0,0,0,0,0,0,0,0,4.2,28.08,1.68,36.24,34.68,38.4,-5.52,22.44,13.08,5.04,20.04,5.64,6.48,7.44,1000,1200
2015/3/31,有功功率,36.36,19.2,19.8,38.16,15.84,13.08,27.72,24.12,26.4,72.12,80.04,75.36,67.56,72.72,85.44,86.88,69.6,46.08,37.2,22.44,35.52,27.6,37.68,22.68,1000,1200
2015/3/31,无功功率,21.72,7.2,8.04,22.2,7.44,7.44,7.08,7.92,8.76,41.52,15.24,15.24,-0.6,41.52,56.88,76.56,53.16,23.28,15.12,4.68,3.24,-15.36,9.36,5.52,1000,1200
2015/4/1,有功功率,,15.36,14.16,33.24,36,9.48,27.12,42.72,20.64,68.04,98.64,65.76,36,42.48,77.04,117.72,76.08,50.28,58.8,,35.16,34.8,24.96,,1000,1200
2015/4/1,无功功率,,4.8,3,17.16,17.76,2.16,2.52,17.4,2.4,17.4,18.6,11.76,15.12,51.72,29.4,4.68,13.08,15.36,41.52,,10.44,4.32,4.68,,1000,1200
2015/4/2,有功功率,14.64,39,39.96,17.28,21,40.68,73.08,32.76,19.08,84.96,112.08,90.96,46.44,92.76,92.04,125.64,93.96,28.2,84.36,36.96,32.52,43.68,29.64,24.6,1000,1200
2015/4/2,无功功率,4.56,19.44,19.8,5.4,5.28,20.52,20.16,5.16,4.8,13.2,3.48,19.44,-54.96,17.88,4.92,37.08,4.68,-46.2,13.32,-18,-38.16,-37.8,-40.44,-37.32,1000,1200
2015/4/3,有功功率,46.08,21.84,11.88,12.6,38.16,21,15.48,26.28,63.48,62.64,68.16,66.12,46.8,84.84,74.16,64.2,39.96,23.76,38.4,44.04,28.32,23.04,54.48,12.48,1000,1200
2015/4/3,无功功率,-22.2,-37.68,-43.8,-43.8,-28.2,-43.8,-43.56,-43.44,-27.84,33.48,22.32,14.28,-28.2,5.64,23.28,-2.28,50.04,23.16,12.36,2.88,9.24,3.36,28.44,2.16,1000,1200
2015/4/4,有功功率,16.32,9.12,9.12,9.72,12.72,36,12.72,12.24,36.24,32.4,44.76,63.6,14.52,10.8,32.88,36.48,10.44,31.44,33.48,33.84,16.8,16.08,11.4,33.84,1000,1200
2015/4/4,无功功率,2.52,2.64,2.52,2.4,2.28,18.48,2.4,3.36,19.32,38.04,51.6,63,3.6,4.56,19.68,19.44,3.96,18.24,18.96,18.12,3,3.48,3.12,18.36,1000,1200
2015/4/5,有功功率,10.44,,13.68,9.96,30.24,7.56,12,7.08,11.64,30.96,7.44,7.08,7.32,10.92,9.6,34.08,7.8,9.48,9.24,12,38.16,14.4,11.28,10.32,1000,1200
2015/4/5,无功功率,3.36,,3.96,3.48,17.88,3,2.52,2.52,3,18.12,2.4,2.52,3,2.88,2.4,18.12,2.64,2.88,2.64,1.8,16.68,2.16,1.92,1.92,1000,1200
2015/4/6,有功功率,11.52,36.24,16.08,8.76,8.76,31.92,12.72,19.8,10.44,34.92,86.28,72.12,31.44,40.44,69.48,95.88,62.4,21,23.76,38.52,57.48,32.76,28.68,15.36,1000,1200
2015/4/6,无功功率,2.16,17.28,2.4,2.4,2.4,17.88,2.28,2.64,2.52,39.12,27.84,38.28,9.96,22.2,21.36,19.32,27.6,2.64,12.6,11.64,20.04,4.92,5.4,6.12,1000,1200
2015/4/7,有功功率,36.36,13.56,16.44,36.36,11.28,18.72,34.2,38.64,11.52,65.16,151.56,116.28,65.28,93.48,113.64,94.56,114.6,53.04,63.36,52.08,28.92,29.52,48.24,18.72,1000,1200
2015/4/7,无功功率,21.24,6.36,6.48,21.72,6.72,6.36,21.6,21.12,3,30.24,35.28,16.2,19.32,54.48,104.52,48.96,74.16,20.88,22.2,23.04,13.2,7.56,27.12,6,1000,1200
