数据日期,用户名称,运行容量,电能表号,综合倍率,表位数,在线情况,总,尖,峰,平,谷
2015/3/29,武汉天琪激光设备制造有限公司,1000,0002845680,1200,6.2,在线,0,0,0,0,0
2015/3/30,武汉天琪激光设备制造有限公司,1000,0002845331,60,6.2,在线,337.8,0,0,337.8,0
2015/3/30,武汉天琪激光设备制造有限公司,1000,0002845680,1200,6.2,在线,972,0,372,588,0
2015/3/31,武汉天琪激光设备制造有限公司,1000,0002845331,60,6.2,在线,454.2,0,0,454.2,0
2015/3/31,武汉天琪激光设备制造有限公司,1000,0002845680,1200,6.2,在线,1116,0,300,588,240
2015/4/1,武汉天琪激光设备制造有限公司,1000,0002845331,60,6.2,在线,453,0,0,453,0
2015/4/1,武汉天琪激光设备制造有限公司,1000,0002845680,1200,6.2,在线,1104,0,336,564,216
2015/4/2,武汉天琪激光设备制造有限公司,1000,0002845331,60,6.2,在线,295.8,0,0,295.8,0
2015/4/2,武汉天琪激光设备制造有限公司,1000,0002845680,1200,6.2,在线,996,0,360,636,0
2015/4/3,武汉天琪激光设备制造有限公司,1000,0002845331,60,6.2,在线,391.8,0,0,391.8,0
2015/4/3,武汉天琪激光设备制造有限公司,1000,0002845680,1200,6.2,在线,984,0,276,504,216
2015/4/4,武汉天琪激光设备制造有限公司,1000,0002845331,60,6.2,在线,422.4,0,0,422.4,0
2015/4/4,武汉天琪激光设备制造有限公司,1000,0002845680,1200,6.2,在线,624,0,180,288,156
2015/4/5,武汉天琪激光设备制造有限公司,1000,0002845331,60,6.2,在线,243.6,0,0,243.6,0
2015/4/5,武汉天琪激光设备制造有限公司,1000,0002845680,1200,6.2,在线,384,0,108,156,108
2015/4/6,武汉天琪激光设备制造有限公司,1000,0002845331,60,6.2,在线,361.8,0,0,361.8,0
2015/4/6,武汉天琪激光设备制造有限公司,1000,0002845680,1200,6.2,在线,900,0,228,504,156
2015/4/7,武汉天琪激光设备制造有限公司,1000,0002845331,60,6.2,在线,513,0,0,513,0
2015/4/7,武汉天琪激光设备制造有限公司,1000,0002845680,1200,6.2,在线,1248,0,396,672,192
2015/4/8,武汉天琪激光设备制造有限公司,1000,0002845331,60,6.2,在线,672,0,0,672,0
2015/4/8,武汉天琪激光设备制造有限公司,1000,0002845680,1200,6.2,在线,1452,0,432,828,192
2015/4/9,武汉天琪激光设备制造有限公司,1000,0002845331,60,6.2,在线,579,0,0,579,0
2015/4/9,武汉天琪激光设备制造有限公司,1000,0002845680,1200,6.2,在线,1380,0,444,720,216
2015/4/10,武汉天琪激光设备制造有限公司,1000,0002845331,60,6.2,在线,505.8,0,0,505.8,0
2015/4/10,武汉天琪激光设备制造有限公司,1000,0002845680,1200,6.2,在线,1332,0,468,660,204
2015/4/11,武汉天琪激光设备制造有限公司,1000,0002845331,60,6.2,在线,490.2,0,0,490.2,0
2015/4/11,武汉天琪激光设备制造有限公司,1000,0002845680,1200,6.2,在线,1140,0,300,636,204
2015/4/12,武汉天琪激光设备制造有限公司,1000,0002845331,60,6.2,在线,394.2,0,0,394.2,0
2015/4/12,武汉天琪激光设备制造有限公司,1000,0002845680,1200,6.2,在线,552,0,132,264,144
2015/4/13,武汉天琪激光设备制造有限公司,1000,0002845331,60,6.2,在线,523.2,0,0,523.2,0
2015/4/13,武汉天琪激光设备制造有限公司,1000,0002845680,1200,6.2,在线,1224,0,360,696,180
2015/4/14,武汉天琪激光设备制造有限公司,1000,0002845331,60,6.2,在线,499.2,0,0,499.2,0
2015/4/14,武汉天琪激光设备制造有限公司,1000,0002845680,1200,6.2,在线,1308,0,396,732,180
2015/4/15,武汉天琪激光设备制造有限公司,1000,0002845331,60,6.2,在线,526.2,0,0,526.2,0
2015/4/15,武汉天琪激光设备制造有限公司,1000,0002845680,1200,6.2,在线,1140,0,336,636,180
2015/4/16,武汉天琪激光设备制造有限公司,1000,0002845331,60,6.2,在线,494.4,0,0,494.4,0
2015/4/16,武汉天琪激光设备制造有限公司,1000,0002845680,1200,6.2,在线,1200,0,348,660,180
2015/4/17,武汉天琪激光设备制造有限公司,1000,0002845331,60,6.2,在线,457.8,0,0,457.8,0
2015/4/17,武汉天琪激光设备制造有限公司,1000,0002845680,1200,6.2,在线,984,0,288,516,168
2015/4/18,武汉天琪激光设备制造有限公司,1000,0002845331,60,6.2,在线,391.8,0,0,391.8,0
