数据日期,用户名称,运行容量,电能表号,综合倍率,表位数,在线情况,总(正向有功),尖(正向有功),峰(正向有功),平(正向有功),谷(正向有功),总(正向无功)
2015-03-29,武汉天琪激光设备制造有限公司,1000,0002845680,1200,6.2,在线,0,0,0,0,0,0
2015-03-30,武汉天琪激光设备制造有限公司,1000,0002845680,1200,6.2,在线,1.46,0,0.48,0.8,0.16,0.36
2015-03-31,武汉天琪激光设备制造有限公司,1000,0002845680,1200,6.2,在线,2.39,0,0.73,1.29,0.36,0.77
2015-04-01,武汉天琪激光设备制造有限公司,1000,0002845680,1200,6.2,在线,3.31,0,1.01,1.76,0.54,1.06
2015-04-02,武汉天琪激光设备制造有限公司,1000,0002845680,1200,6.2,在线,4.43,0,1.31,2.36,0.75,1.45
2015-04-03,武汉天琪激光设备制造有限公司,1000,0002845680,1200,6.2,在线,5.25,0,1.54,2.78,0.93,1.91
2015-04-04,武汉天琪激光设备制造有限公司,1000,0002845680,1200,6.2,在线,5.77,0,1.69,3.02,1.06,2.21
2015-04-05,武汉天琪激光设备制造有限公司,1000,0002845680,1200,6.2,在线,6.09,0,1.78,3.15,1.15,2.31
2015-04-06,武汉天琪激光设备制造有限公司,1000,0002845680,1200,6.2,在线,6.84,0,1.97,3.57,1.28,2.63
2015-04-07,武汉天琪激光设备制造有限公司,1000,0002845680,1200,6.2,在线,7.88,0,2.3,4.13,1.44,3.1
2015-04-08,武汉天琪激光设备制造有限公司,1000,0002845680,1200,6.2,在线,9.09,0,2.66,4.82,1.6,3.63
2015-04-09,武汉天琪激光设备制造有限公司,1000,0002845680,1200,6.2,在线,10.24,0,3.03,5.42,1.78,4.01
2015-04-10,武汉天琪激光设备制造有限公司,1000,0002845680,1200,6.2,在线,11.35,0,3.42,5.97,1.95,4.56
2015-04-11,武汉天琪激光设备制造有限公司,1000,0002845680,1200,6.2,在线,12.3,0,3.67,6.5,2.12,4.97
2015-04-12,武汉天琪激光设备制造有限公司,1000,0002845680,1200,6.2,在线,12.76,0,3.78,6.72,2.24,5.5
2015-04-13,武汉天琪激光设备制造有限公司,1000,0002845680,1200,6.2,在线,13.78,0,4.08,7.3,2.39,5.89
2015-04-14,武汉天琪激光设备制造有限公司,1000,0002845680,1200,6.2,在线,14.87,0,4.41,7.91,2.54,6.5
2015-04-15,武汉天琪激光设备制造有限公司,1000,0002845680,1200,6.2,在线,15.82,0,4.69,8.44,2.69,7.17
2015-04-16,武汉天琪激光设备制造有限公司,1000,0002845680,1200,6.2,在线,16.82,0,4.98,8.99,2.84,7.58
2015-04-17,武汉天琪激光设备制造有限公司,1000,0002845680,1200,6.2,在线,17.64,0,5.22,9.42,2.98,8
2015-04-18,武汉天琪激光设备制造有限公司,1000,0002845680,1200,6.2,在线,18.37,0,5.42,9.81,3.14,8.49
2015-04-19,武汉天琪激光设备制造有限公司,1000,0002845680,1200,6.2,在线,18.81,0,5.55,10.01,3.25,8.68
2015-04-20,武汉天琪激光设备制造有限公司,1000,0002845680,1200,6.2,在线,19.74,0,5.81,10.54,3.38,9.02
2015-04-21,武汉天琪激光设备制造有限公司,1000,0002845680,1200,6.2,在线,20.8,0,6.16,11.11,3.52,9.36
2015-04-22,武汉天琪激光设备制造有限公司,1000,0002845680,1200,6.2,在线,21.78,0,6.45,11.65,3.67,9.69
2015-04-23,武汉天琪激光设备制造有限公司,1000,0002845680,1200,6.2,在线,22.86,0,6.8,12.22,3.83,10.21
2015-04-24,武汉天琪激光设备制造有限公司,1000,0002845680,1200,6.2,在线,23.84,0,7.1,12.75,3.98,10.49
2015-04-25,武汉天琪激光设备制造有限公司,1000,0002845680,1200,6.2,在线,24.77,0,7.34,13.25,4.18,10.8
2015-04-26,武汉天琪激光设备制造有限公司,1000,0002845680,1200,6.2,在线,25.43,0,7.51,13.61,4.31,11.11
2015-04-27,武汉天琪激光设备制造有限公司,1000,0002845680,1200,6.2,在线,26.35,0,7.79,14.09,4.46,11.54
2015-04-28,武汉天琪激光设备制造有限公司,1000,0002845680,1200,6.2,在线,27.38,0,8.14,14.65,4.59,12.14
2015-04-29,武汉天琪激光设备制造有限公司,1000,0002845680,1200,6.2,在线,28.32,0,8.41,15.15,4.75,12.43
2015-04-30,武汉天琪激光设备制造有限公司,1000,0002845680,1200,6.2,在线,29.14,0,8.62,15.6,4.91,12.87
2015-05-01,武汉天琪激光设备制造有限公司,1000,0002845680,1200,6.2,在线,29.49,0,8.73,15.72,5.02,13.02
2015-05-02,武汉天琪激光设备制造有限公司,1000,0002845680,1200,6.2,在线,29.8,0,8.85,15.83,5.12,13.17
2015-05-03,武汉天琪激光设备制造有限公司,1000,0002845680,1200,6.2,在线,30.3,0,8.97,16.07,5.26,13.42
2015-05-04,武汉天琪激光设备制造有限公司,1000,0002845680,1200,6.2,在线,31.18,0,9.23,16.53,5.41,13.7
2015-05-05,武汉天琪激光设备制造有限公司,1000,0002845680,1200,6.2,在线,32.11,0,9.49,17.07,5.55,14.04
2015-05-06,武汉天琪激光设备制造有限公司,1000,0002845680,1200,6.2,在线,32.93,0,9.75,17.51,5.66,14.32
2015-05-07,武汉天琪激光设备制造有限公司,1000,0002845680,1200,6.2,在线,33.9,0,10.05,18.03,5.81,14.75
2015-05-08,武汉天琪激光设备制造有限公司,1000,0002845680,1200,6.2,在线,34.82,0,10.33,18.52,5.96,15.06
2015-05-09,武汉天琪激光设备制造有限公司,1000,0002845680,1200,6.2,在线,35.67,0,10.58,18.98,6.1,15.29
2015-05-10,武汉天琪激光设备制造有限公司,1000,0002845680,1200,6.2,在线,36.1,0,10.68,19.18,6.23,15.42
2015-05-11,武汉天琪激光设备制造有限公司,1000,0002845680,1200,6.2,在线,37.02,0,10.94,19.69,6.38,15.7
2015-05-12,武汉天琪激光设备制造有限公司,1000,0002845680,1200,6.2,在线,38,0,11.22,20.24,6.54,16.02
2015-05-13,武汉天琪激光设备制造有限公司,1000,0002845680,1200,6.2,在线,38.89,0,11.48,20.75,6.64,16.46
2015-05-14,武汉天琪激光设备制造有限公司,1000,0002845680,1200,6.2,在线,39.8,0,11.79,21.23,6.77,16.99
2015-05-15,武汉天琪激光设备制造有限公司,1000,0002845680,1200,6.2,在线,40.63,0,12.04,21.69,6.9,17.25
2015-05-16,武汉天琪激光设备制造有限公司,1000,0002845680,1200,6.2,在线,41.26,0,12.21,22.01,7.04,17.46
2015-05-17,武汉天琪激光设备制造有限公司,1000,0002845680,1200,6.2,在线,41.66,0,12.33,22.16,7.17,17.58
2015-05-18,武汉天琪激光设备制造有限公司,1000,0002845680,1200,6.2,在线,42.56,0,12.57,22.65,7.32,17.92
2015-05-19,武汉天琪激光设备制造有限公司,1000,0002845680,1200,6.2,在线,43.57,0,12.9,23.22,7.44,18.26
2015-05-20,武汉天琪激光设备制造有限公司,1000,0002845680,1200,6.2,在线,44.55,0,13.16,23.77,7.6,18.9
2015-05-21,武汉天琪激光设备制造有限公司,1000,0002845680,1200,6.2,在线,45.5,0,13.43,24.29,7.77,19.26
2015-05-22,武汉天琪激光设备制造有限公司,1000,0002845680,1200,6.2,在线,46.37,0,13.7,24.78,7.87,19.6
2015-05-23,武汉天琪激光设备制造有限公司,1000,0002845680,1200,6.2,在线,47.23,0,13.94,25.27,8,20.25
2015-05-24,武汉天琪激光设备制造有限公司,1000,0002845680,1200,6.2,在线,47.63,0,14.08,25.42,8.11,20.36
2015-05-25,武汉天琪激光设备制造有限公司,1000,0002845680,1200,6.2,在线,48.65,0,14.39,25.99,8.26,20.68
2015-05-26,武汉天琪激光设备制造有限公司,1000,0002845680,1200,6.2,在线,49.67,0,14.69,26.57,8.4,21
2015-05-27,武汉天琪激光设备制造有限公司,1000,0002845680,1200,6.2,在线,50.68,0,14.99,27.09,8.6,21.48
2015-05-28,武汉天琪激光设备制造有限公司,1000,0002845680,1200,6.2,在线,51.63,0,15.24,27.63,8.75,21.74
2015-05-29,武汉天琪激光设备制造有限公司,1000,0002845680,1200,6.2,在线,52.53,0,15.5,28.11,8.91,22.02
2015-05-30,武汉天琪激光设备制造有限公司,1000,0002845680,1200,6.2,在线,53.34,0,15.71,28.57,9.05,22.44
2015-05-31,武汉天琪激光设备制造有限公司,1000,0002845680,1200,6.2,在线,53.68,0,15.81,28.69,9.17,23.29
2015-06-01,武汉天琪激光设备制造有限公司,1000,0002845680,1200,6.2,在线,54.57,0,16.1,29.16,9.3,23.99
2015-06-02,武汉天琪激光设备制造有限公司,1000,0002845680,1200,6.2,在线,55.56,0,16.35,29.71,9.49,24.61
2015-06-03,武汉天琪激光设备制造有限公司,1000,0002845680,1200,6.2,在线,56.55,0,16.64,30.27,9.63,25.1
2015-06-04,武汉天琪激光设备制造有限公司,1000,0002845680,1200,6.2,在线,57.48,0,16.93,30.74,9.8,25.75
2015-06-05,武汉天琪激光设备制造有限公司,1000,0002845680,1200,6.2,在线,58.29,0,17.12,31.22,9.95,26.48
2015-06-06,武汉天琪激光设备制造有限公司,1000,0002845680,1200,6.2,在线,58.68,0,17.23,31.38,10.06,26.59
2015-06-07,武汉天琪激光设备制造有限公司,1000,0002845680,1200,6.2,在线,59.03,0,17.33,31.52,10.16,26.68
2015-06-08,武汉天琪激光设备制造有限公司,1000,0002845680,1200,6.2,在线,59.85,0,17.58,31.98,10.28,27.19
2015-06-09,武汉天琪激光设备制造有限公司,1000,0002845680,1200,6.2,在线,60.78,0,17.81,32.52,10.44,27.48
2015-06-10,武汉天琪激光设备制造有限公司,1000,0002845680,1200,6.2,在线,61.68,0,18.08,33.05,10.54,27.78
2015-06-11,武汉天琪激光设备制造有限公司,1000,0002845680,1200,6.2,在线,62.56,0,18.32,33.54,10.69,28.2
2015-06-12,武汉天琪激光设备制造有限公司,1000,0002845680,1200,6.2,在线,63.43,0,18.57,34.04,10.81,28.66
2015-06-13,武汉天琪激光设备制造有限公司,1000,0002845680,1200,6.2,在线,64.32,0,18.81,34.59,10.92,29.01
2015-06-14,武汉天琪激光设备制造有限公司,1000,0002845680,1200,6.2,在线,64.73,0,18.92,34.77,11.03,29.13
2015-06-15,武汉天琪激光设备制造有限公司,1000,0002845680,1200,6.2,在线,65.79,0,19.22,35.38,11.18,29.42
2015-06-16,武汉天琪激光设备制造有限公司,1000,0002845680,1200,6.2,在线,66.93,0,19.59,36.02,11.31,29.72
2015-06-17,武汉天琪激光设备制造有限公司,1000,0002845680,1200,6.2,在线,68.1,0,19.91,36.58,11.59,30.4
2015-06-18,武汉天琪激光设备制造有限公司,1000,0002845680,1200,6.2,在线,69.04,0,20.18,37.08,11.77,30.76
2015-06-19,武汉天琪激光设备制造有限公司,1000,0002845680,1200,6.2,在线,69.78,0,20.36,37.5,11.92,31.19
2015-06-20,武汉天琪激光设备制造有限公司,1000,0002845680,1200,6.2,在线,70.02,0,20.43,37.59,11.98,31.25
2015-06-21,武汉天琪激光设备制造有限公司,1000,0002845680,1200,6.2,在线,70.25,0,20.49,37.69,12.06,31.31
2015-06-22,武汉天琪激光设备制造有限公司,1000,0002845680,1200,6.2,在线,70.51,0,20.55,37.8,12.14,31.37
2015-06-23,武汉天琪激光设备制造有限公司,1000,0002845680,1200,6.2,在线,71.36,0,20.8,38.29,12.26,31.64
2015-06-24,武汉天琪激光设备制造有限公司,1000,0002845680,1200,6.2,在线,72.4,0,21.1,38.92,12.37,31.86
2015-06-25,武汉天琪激光设备制造有限公司,1000,0002845680,1200,6.2,在线,73.46,0,21.38,39.56,12.5,32.07
2015-06-26,武汉天琪激光设备制造有限公司,1000,0002845680,1200,6.2,在线,74.48,0,21.63,40.18,12.66,32.3
2015-06-27,武汉天琪激光设备制造有限公司,1000,0002845680,1200,6.2,在线,75.36,0,21.85,40.67,12.83,32.55
2015-06-28,武汉天琪激光设备制造有限公司,1000,0002845680,1200,6.2,在线,75.79,0,21.95,40.87,12.96,32.65
2015-06-29,武汉天琪激光设备制造有限公司,1000,0002845680,1200,6.2,在线,76.82,0,22.24,41.48,13.09,32.88
2015-06-30,武汉天琪激光设备制造有限公司,1000,0002845680,1200,6.2,在线,77.82,0,22.53,42.03,13.25,33.17
2015-07-01,武汉天琪激光设备制造有限公司,1000,0002845680,1200,6.2,在线,78.86,0,22.83,42.6,13.43,33.41
2015-07-02,武汉天琪激光设备制造有限公司,1000,0002845680,1200,6.2,在线,79.95,0,23.1,43.22,13.61,33.76
2015-07-03,武汉天琪激光设备制造有限公司,1000,0002845680,1200,6.2,在线,80.89,0,23.37,43.79,13.72,34.09
2015-07-04,武汉天琪激光设备制造有限公司,1000,0002845680,1200,6.2,在线,81.26,0,23.44,43.95,13.87,34.18
2015-07-05,武汉天琪激光设备制造有限公司,1000,0002845680,1200,6.2,在线,81.59,0,23.52,44.08,13.98,34.24
2015-07-06,武汉天琪激光设备制造有限公司,1000,0002845680,1200,6.2,在线,82.44,0,23.74,44.59,14.1,34.49
2015-07-07,武汉天琪激光设备制造有限公司,1000,0002845680,1200,6.2,在线,83.31,0,23.99,45.12,14.19,34.91
2015-07-08,武汉天琪激光设备制造有限公司,1000,0002845680,1200,6.2,在线,84.27,0,24.23,45.67,14.36,35.4
2015-07-09,武汉天琪激光设备制造有限公司,1000,0002845680,1200,6.2,在线,85.1,0,24.46,46.14,14.49,35.64
2015-07-10,武汉天琪激光设备制造有限公司,1000,0002845680,1200,6.2,在线,86.13,0,24.76,46.71,14.64,35.92
2015-07-11,武汉天琪激光设备制造有限公司,1000,0002845680,1200,6.2,在线,86.91,0,24.93,47.18,14.78,36.13
2015-07-12,武汉天琪激光设备制造有限公司,1000,0002845680,1200,6.2,在线,87.32,0,25.05,47.36,14.89,36.22
2015-07-13,武汉天琪激光设备制造有限公司,1000,0002845680,1200,6.2,在线,88.29,0,25.34,47.91,15.02,36.48
2015-07-14,武汉天琪激光设备制造有限公司,1000,0002845680,1200,6.2,在线,89.57,0,25.7,48.62,15.24,36.8
2015-07-15,武汉天琪激光设备制造有限公司,1000,0002845680,1200,6.2,在线,90.69,0,25.98,49.26,15.43,37.03
2015-07-16,武汉天琪激光设备制造有限公司,1000,0002845680,1200,6.2,在线,91.53,0,26.22,49.72,15.58,37.3
2015-07-17,武汉天琪激光设备制造有限公司,1000,0002845680,1200,6.2,在线,92.35,0,26.43,50.19,15.72,37.75
2015-07-18,武汉天琪激光设备制造有限公司,1000,0002845680,1200,6.2,在线,92.76,0,26.52,50.37,15.87,38
2015-07-19,武汉天琪激光设备制造有限公司,1000,0002845680,1200,6.2,在线,93.08,0,26.62,50.49,15.96,38.07
2015-07-20,武汉天琪激光设备制造有限公司,1000,0002845680,1200,6.2,在线,94.03,0,26.92,51.01,16.1,38.31
2015-07-21,武汉天琪激光设备制造有限公司,1000,0002845680,1200,6.2,在线,95.15,0,27.23,51.65,16.25,38.61
2015-07-22,武汉天琪激光设备制造有限公司,1000,0002845680,1200,6.2,在线,96.22,0,27.53,52.28,16.4,38.85
2015-07-23,武汉天琪激光设备制造有限公司,1000,0002845680,1200,6.2,在线,97.19,0,27.77,52.83,16.58,39.14
2015-07-24,武汉天琪激光设备制造有限公司,1000,0002845680,1200,6.2,在线,98.16,0,28.06,53.4,16.7,39.58
2015-07-25,武汉天琪激光设备制造有限公司,1000,0002845680,1200,6.2,在线,99.09,0,28.29,53.93,16.86,39.81
2015-07-26,武汉天琪激光设备制造有限公司,1000,0002845680,1200,6.2,在线,99.49,0,28.4,54.1,16.98,39.89
2015-07-27,武汉天琪激光设备制造有限公司,1000,0002845680,1200,6.2,在线,100.63,0,28.73,54.73,17.15,40.18
2015-07-28,武汉天琪激光设备制造有限公司,1000,0002845680,1200,6.2,在线,101.88,0,29.06,55.47,17.34,40.66
2015-07-29,武汉天琪激光设备制造有限公司,1000,0002845680,1200,6.2,在线,103.16,0,29.4,56.21,17.54,41.18
2015-07-30,武汉天琪激光设备制造有限公司,1000,0002845680,1200,6.2,在线,104.41,0,29.75,56.96,17.69,41.44
2015-07-31,武汉天琪激光设备制造有限公司,1000,0002845680,1200,6.2,在线,105.66,0,30.07,57.68,17.9,41.72
2015-08-01,武汉天琪激光设备制造有限公司,1000,0002845680,1200,6.2,在线,106.38,0,30.27,58.02,18.09,41.9
2015-08-02,武汉天琪激光设备制造有限公司,1000,0002845680,1200,6.2,在线,107.06,0,30.46,58.31,18.28,42.03
2015-08-03,武汉天琪激光设备制造有限公司,1000,0002845680,1200,6.2,在线,108.52,0,30.92,59.06,18.53,42.35
2015-08-04,武汉天琪激光设备制造有限公司,1000,0002845680,1200,6.2,在线,109.99,0,31.34,59.86,18.78,42.65
2015-08-05,武汉天琪激光设备制造有限公司,1000,0002845680,1200,6.2,在线,111.57,0,31.78,60.67,19.11,43.02
2015-08-06,武汉天琪激光设备制造有限公司,1000,0002845680,1200,6.2,在线,112.99,0,32.17,61.41,19.4,43.41
2015-08-07,武汉天琪激光设备制造有限公司,1000,0002845680,1200,6.2,在线,114.48,0,32.53,62.27,19.67,43.89
2015-08-08,武汉天琪激光设备制造有限公司,1000,0002845680,1200,6.2,在线,115.23,0,32.71,62.61,19.9,44.1
2015-08-09,武汉天琪激光设备制造有限公司,1000,0002845680,1200,6.2,在线,115.73,0,32.83,62.82,20.08,44.22
2015-08-10,武汉天琪激光设备制造有限公司,1000,0002845680,1200,6.2,在线,116.65,0,33.11,63.32,20.21,44.56
2015-08-11,武汉天琪激光设备制造有限公司,1000,0002845680,1200,6.2,在线,117.44,0,33.39,63.66,20.38,45.01
2015-08-12,武汉天琪激光设备制造有限公司,1000,0002845680,1200,6.2,在线,118.57,0,33.71,64.34,20.51,45.46
2015-08-13,武汉天琪激光设备制造有限公司,1000,0002845680,1200,6.2,在线,119.72,0,34.03,65.01,20.67,45.7
