数据日期,用户名称,运行容量,计量方式,电能表号,综合倍率,当日最大需量,发生时间,表位数,在线情况
2015-03-29,武汉天琪激光设备制造有限公司,1000,高供高计,0002845680,1200,0,12:00,6.2,在线
2015-03-30,武汉天琪激光设备制造有限公司,1000,高供高计,0002845680,1200,0.1163,3:14,6.2,在线
2015-03-31,武汉天琪激光设备制造有限公司,1000,高供高计,0002845680,1200,0.1163,3:14,6.2,在线
2015-04-01,武汉天琪激光设备制造有限公司,1000,高供高计,0002845680,1200,0.1163,3:14,6.2,在线
2015-04-02,武汉天琪激光设备制造有限公司,1000,高供高计,0002845680,1200,0.1192,11:41,6.2,在线
2015-04-03,武汉天琪激光设备制造有限公司,1000,高供高计,0002845680,1200,0.1192,11:41,6.2,在线
2015-04-04,武汉天琪激光设备制造有限公司,1000,高供高计,0002845680,1200,0.1192,11:41,6.2,在线
2015-04-05,武汉天琪激光设备制造有限公司,1000,高供高计,0002845680,1200,0.1192,11:41,6.2,在线
2015-04-06,武汉天琪激光设备制造有限公司,1000,高供高计,0002845680,1200,0.1192,11:41,6.2,在线
2015-04-07,武汉天琪激光设备制造有限公司,1000,高供高计,0002845680,1200,0.1192,11:41,6.2,在线
2015-04-08,武汉天琪激光设备制造有限公司,1000,高供高计,0002845680,1200,0.1194,3:53,6.2,在线
2015-04-09,武汉天琪激光设备制造有限公司,1000,高供高计,0002845680,1200,0.1194,3:53,6.2,在线
2015-04-10,武汉天琪激光设备制造有限公司,1000,高供高计,0002845680,1200,0.1194,3:53,6.2,在线
2015-04-11,武汉天琪激光设备制造有限公司,1000,高供高计,0002845680,1200,0.1194,3:53,6.2,在线
2015-04-12,武汉天琪激光设备制造有限公司,1000,高供高计,0002845680,1200,0.1194,3:53,6.2,在线
2015-04-13,武汉天琪激光设备制造有限公司,1000,高供高计,0002845680,1200,0.1194,3:53,6.2,在线
2015-04-14,武汉天琪激光设备制造有限公司,1000,高供高计,0002845680,1200,0.1194,3:53,6.2,在线
2015-04-15,武汉天琪激光设备制造有限公司,1000,高供高计,0002845680,1200,0.1194,3:53,6.2,在线
2015-04-16,武汉天琪激光设备制造有限公司,1000,高供高计,0002845680,1200,0.1194,3:53,6.2,在线
2015-04-17,武汉天琪激光设备制造有限公司,1000,高供高计,0002845680,1200,0.1194,3:53,6.2,在线
2015-04-18,武汉天琪激光设备制造有限公司,1000,高供高计,0002845680,1200,0.1194,3:53,6.2,在线
2015-04-19,武汉天琪激光设备制造有限公司,1000,高供高计,0002845680,1200,0.1194,3:53,6.2,在线
2015-04-20,武汉天琪激光设备制造有限公司,1000,高供高计,0002845680,1200,0.1194,3:53,6.2,在线
2015-04-21,武汉天琪激光设备制造有限公司,1000,高供高计,0002845680,1200,0.1243,10:32,6.2,在线
2015-04-22,武汉天琪激光设备制造有限公司,1000,高供高计,0002845680,1200,0.1243,10:32,6.2,在线
2015-04-23,武汉天琪激光设备制造有限公司,1000,高供高计,0002845680,1200,0.1243,10:32,6.2,在线
2015-04-24,武汉天琪激光设备制造有限公司,1000,高供高计,0002845680,1200,0.1133,9:26,6.2,在线
2015-04-25,武汉天琪激光设备制造有限公司,1000,高供高计,0002845680,1200,0.1133,9:26,6.2,在线
2015-04-26,武汉天琪激光设备制造有限公司,1000,高供高计,0002845680,1200,0.1133,9:26,6.2,在线
2015-04-27,武汉天琪激光设备制造有限公司,1000,高供高计,0002845680,1200,0.1133,9:26,6.2,在线
2015-04-28,武汉天琪激光设备制造有限公司,1000,高供高计,0002845680,1200,0.1133,9:26,6.2,在线
2015-04-29,武汉天琪激光设备制造有限公司,1000,高供高计,0002845680,1200,0.1133,9:26,6.2,在线
2015-04-30,武汉天琪激光设备制造有限公司,1000,高供高计,0002845680,1200,0.1133,9:26,6.2,在线
2015-05-01,武汉天琪激光设备制造有限公司,1000,高供高计,0002845680,1200,0.1133,9:26,6.2,在线
2015-05-02,武汉天琪激光设备制造有限公司,1000,高供高计,0002845680,1200,0.1133,9:26,6.2,在线
2015-05-03,武汉天琪激光设备制造有限公司,1000,高供高计,0002845680,1200,0.1133,9:26,6.2,在线
2015-05-04,武汉天琪激光设备制造有限公司,1000,高供高计,0002845680,1200,0.1133,9:26,6.2,在线
2015-05-05,武汉天琪激光设备制造有限公司,1000,高供高计,0002845680,1200,0.1133,9:26,6.2,在线
2015-05-06,武汉天琪激光设备制造有限公司,1000,高供高计,0002845680,1200,0.1133,9:26,6.2,在线
2015-05-07,武汉天琪激光设备制造有限公司,1000,高供高计,0002845680,1200,0.1133,9:26,6.2,在线
2015-05-08,武汉天琪激光设备制造有限公司,1000,高供高计,0002845680,1200,0.1133,9:26,6.2,在线
2015-05-09,武汉天琪激光设备制造有限公司,1000,高供高计,0002845680,1200,0.1133,9:26,6.2,在线
2015-05-10,武汉天琪激光设备制造有限公司,1000,高供高计,0002845680,1200,0.1133,9:26,6.2,在线
2015-05-11,武汉天琪激光设备制造有限公司,1000,高供高计,0002845680,1200,0.1133,9:26,6.2,在线
