测量点,数据日期,正向有功-总,示数,正向无功-总,示数
主供主表,2015/5/1,,,,
主供主表,2015/5/2,,,,
主供主表,2015/5/3,,,,
主供主表,2015/5/4,,,,
主供主表,2015/5/5,,,,
主供主表,2015/5/6,,,,
主供主表,2015/5/7,,,,
主供主表,2015/5/8,,,,
主供主表,2015/5/9,,,,
主供主表,2015/5/10,,,,
主供主表,2015/5/11,,,,
主供主表,2015/5/12,,,,
主供主表,2015/5/13,570,213.45,280,125.42
主供主表,2015/5/14,940,214.39,500,125.92
主供主表,2015/5/15,"1,020.00",215.41,520,126.44
主供主表,2015/5/16,"1,270.00",216.68,560,127
主供主表,2015/5/17,"1,430.00",218.11,620,127.62
主供主表,2015/5/18,"1,410.00",219.52,450,128.07
主供主表,2015/5/19,940,220.43,400,128.45
主供主表,2015/5/20,960,221.39,360,128.82
主供主表,2015/5/21,910,222.3,390,129.2
主供主表,2015/5/22,900,223.2,340,129.54
主供主表,2015/5/23,540,223.74,250,129.79
主供主表,2015/5/24,490,224.23,250,130.05
主供主表,2015/5/25,"1,370.00",225.59,650,130.68
主供主表,2015/5/26,"1,830.00",227.43,810,131.5
主供主表,2015/5/27,"1,910.00",229.34,850,132.36
主供主表,2015/5/28,"1,940.00",231.27,700,133.05
主供主表,2015/5/29,"1,940.00",233.21,"1,010.00",134.06
主供主表,2015/5/30,600,233.82,290,134.36
主供主表,2015/5/31,"1,000.00",234.82,450,134.81
主供主表,2015/6/1,"2,590.00",237.35,"1,320.00",136.08
主供主表,2015/6/2,"2,560.00",239.96,"1,050.00",137.16
主供主表,2015/6/3,"1,880.00",241.85,750,137.93
主供主表,2015/6/4,"1,770.00",243.62,710,138.63
主供主表,2015/6/5,"1,700.00",245.32,670,139.31
主供主表,2015/6/6,620,245.93,310,139.6
主供主表,2015/6/7,960,246.9,580,140.2
主供主表,2015/6/8,"1,660.00",248.56,840,141.04
主供主表,2015/6/9,"1,810.00",250.37,610,141.64
主供主表,2015/6/10,"2,000.00",252.37,690,142.33
主供主表,2015/6/11,"2,310.00",254.68,750,143.09
主供主表,2015/6/12,"2,610.00",257.29,880,143.96
主供主表,2015/6/13,"1,560.00",258.85,640,144.6
主供主表,2015/6/14,490,259.34,220,144.82
主供主表,2015/6/15,"2,570.00",261.91,"1,190.00",146.01
主供主表,2015/6/16,"2,540.00",264.45,"1,040.00",147.05
主供主表,2015/6/17,"2,080.00",266.54,930,147.98
主供主表,2015/6/18,"2,110.00",268.64,710,148.69
主供主表,2015/6/19,"2,430.00",271.08,780,149.47
主供主表,2015/6/20,470,271.54,240,149.71
主供主表,2015/6/21,500,272.05,230,149.95
主供主表,2015/6/22,490,272.53,230,150.17
主供主表,2015/6/23,"2,570.00",275.1,"1,030.00",151.2
主供主表,2015/6/24,"2,890.00",277.98,"1,440.00",152.64
主供主表,2015/6/25,"3,180.00",281.16,"1,540.00",154.18
主供主表,2015/6/26,"2,980.00",284.14,"1,720.00",155.9
主供主表,2015/6/27,"2,540.00",286.68,"1,390.00",157.29
主供主表,2015/6/28,"2,170.00",288.85,800,158.08
主供主表,2015/6/29,"3,200.00",292.05,"1,720.00",159.81
主供主表,2015/6/30,"2,710.00",294.76,"1,260.00",161.08
主供主表,2015/7/1,"2,940.00",297.71,"1,620.00",162.69
主供主表,2015/7/2,"3,860.00",301.41,"1,750.00",164.4
主供主表,2015/7/3,"3,630.00",305.22,"2,060.00",166.52
主供主表,2015/7/4,"1,670.00",306.88,590,167.1
主供主表,2015/7/5,570,307.45,290,167.39
主供主表,2015/7/6,"2,450.00",309.91,930,168.32
主供主表,2015/7/7,"2,180.00",312.09,"1,100.00",169.43
主供主表,2015/7/8,"2,470.00",314.56,910,170.33
主供主表,2015/7/9,"2,360.00",316.92,940,171.27
主供主表,2015/7/10,"2,900.00",319.81,"1,150.00",172.43
主供主表,2015/7/11,"2,220.00",322.04,"1,090.00",173.52
主供主表,2015/7/12,"1,670.00",323.71,720,174.22
主供主表,2015/7/13,"3,670.00",327.37,"2,100.00",176.33
主供主表,2015/7/14,"3,950.00",331.32,"2,220.00",178.55
主供主表,2015/7/15,"3,820.00",335.15,"2,030.00",180.58
主供主表,2015/7/16,"2,780.00",337.92,"1,470.00",182.05
主供主表,2015/7/17,"2,720.00",340.65,"1,130.00",183.19
主供主表,2015/7/18,"2,070.00",342.72,"1,120.00",184.3
主供主表,2015/7/19,730,343.45,410,184.71
主供主表,2015/7/20,"3,270.00",346.72,"1,730.00",186.44
主供主表,2015/7/21,"3,590.00",350.31,"2,010.00",188.45
主供主表,2015/7/22,"3,870.00",354.17,"2,030.00",190.48
主供主表,2015/7/23,"3,260.00",357.43,"1,620.00",192.1
主供主表,2015/7/24,"3,000.00",360.44,"1,400.00",193.5
主供主表,2015/7/25,"2,550.00",362.98,"1,060.00",194.56
主供主表,2015/7/26,"2,440.00",365.43,"1,190.00",195.75
主供主表,2015/7/27,"3,440.00",368.86,"1,930.00",197.68
主供主表,2015/7/28,"3,810.00",372.68,"2,200.00",199.88
主供主表,2015/7/29,"3,510.00",376.18,"1,780.00",201.66
主供主表,2015/7/30,"3,810.00",380,"1,940.00",203.6
主供主表,2015/7/31,"3,950.00",383.94,"1,930.00",205.53
主供主表,2015/8/1,"1,980.00",385.91,850,206.37
主供主表,2015/8/2,930,386.85,510,206.89
主供主表,2015/8/3,"3,970.00",390.82,"2,080.00",208.97
主供主表,2015/8/4,"4,310.00",395.13,"1,910.00",210.88
主供主表,2015/8/5,"4,290.00",399.41,"2,190.00",213.06
主供主表,2015/8/6,"4,270.00",403.69,"2,150.00",215.22
主供主表,2015/8/7,"4,270.00",407.96,"1,760.00",216.98
主供主表,2015/8/8,"1,050.00",409.01,590,217.57
主供主表,2015/8/9,930,409.94,600,218.17
主供主表,2015/8/10,"3,950.00",413.89,"1,710.00",219.88
主供主表,2015/8/11,"3,730.00",417.62,"1,700.00",221.59
主供主表,2015/8/12,"3,880.00",421.51,"1,680.00",223.26
主供主表,2015/8/13,"3,810.00",425.31,"1,750.00",225
主供主表,2015/8/14,"5,430.00",430.75,"2,650.00",227.66
主供主表,2015/8/15,"3,920.00",434.66,"2,240.00",229.9
主供主表,2015/8/16,"2,810.00",437.47,"1,120.00",231.03
主供主表,2015/8/17,"3,960.00",441.42,"1,830.00",232.84
主供主表,2015/8/18,"4,100.00",445.53,"1,900.00",234.75
主供主表,2015/8/19,"3,340.00",448.88,"1,600.00",236.35
主供主表,2015/8/20,"2,320.00",451.2,830,237.18
主供主表,2015/8/21,"3,490.00",454.68,"2,090.00",239.26
主供主表,2015/8/22,"2,180.00",456.86,"1,270.00",240.54
主供主表,2015/8/23,920,457.78,510,241.05
主供主表,2015/8/24,"3,830.00",461.61,"1,320.00",242.37
主供主表,2015/8/25,"3,540.00",465.15,"2,050.00",244.42
主供主表,2015/8/26,"3,520.00",468.67,"1,790.00",246.21
主供主表,2015/8/27,"3,510.00",472.2,"1,680.00",247.9
主供主表,2015/8/28,"3,660.00",475.87,"2,030.00",249.93
主供主表,2015/8/29,"2,280.00",478.14,"1,340.00",251.27
主供主表,2015/8/30,730,478.87,480,251.75
主供主表,2015/8/31,"3,600.00",482.47,"2,070.00",253.82
主供主表,2015/9/1,"3,590.00",486.06,"1,920.00",255.74
主供主表,2015/9/2,"3,630.00",489.69,"1,980.00",257.72
主供主表,2015/9/3,640,490.33,380,258.1
主供主表,2015/9/4,570,490.9,300,258.4
主供主表,2015/9/5,750,491.65,430,258.83
主供主表,2015/9/6,"3,640.00",495.29,"1,850.00",260.68
主供主表,2015/9/7,"3,650.00",498.94,"2,050.00",262.73
主供主表,2015/9/8,"2,720.00",501.66,"1,090.00",263.82
主供主表,2015/9/9,"2,990.00",504.65,"1,120.00",264.94
主供主表,2015/9/10,"2,930.00",507.58,"1,430.00",266.37
主供主表,2015/9/11,"2,560.00",510.14,900,267.27
主供主表,2015/9/12,580,510.72,250,267.53
主供主表,2015/9/13,470,511.19,220,267.74
主供主表,2015/9/14,"2,000.00",513.19,730,268.47
主供主表,2015/9/15,"1,990.00",515.18,900,269.37
主供主表,2015/9/16,"2,000.00",517.18,800,270.17
主供主表,2015/9/17,"1,820.00",519,710,270.88
主供主表,2015/9/18,"1,800.00",520.8,940,271.82
主供主表,2015/9/19,"1,220.00",522.02,670,272.49
主供主表,2015/9/20,980,523,530,273.02
主供主表,2015/9/21,"1,930.00",524.93,"1,070.00",274.09
主供主表,2015/9/22,"2,150.00",527.08,850,274.94
主供主表,2015/9/23,"1,980.00",529.06,820,275.76
主供主表,2015/9/24,"1,800.00",530.86,740,276.5
主供主表,2015/9/25,"1,310.00",532.17,670,277.17
主供主表,2015/9/26,400,532.57,220,277.39
主供主表,2015/9/27,370,532.94,230,277.62
主供主表,2015/9/28,"1,830.00",534.77,"1,040.00",278.66
主供主表,2015/9/29,"1,970.00",536.74,720,279.38
主供主表,2015/9/30,850,537.59,500,279.88
主供主表,2015/10/1,370,537.96,210,280.09
主供主表,2015/10/2,390,538.35,240,280.33
