测量点,数据日期,正向有功-总,示数,正向无功-总,示数
分表０１,2015/5/1,,,,
分表０１,2015/5/2,,,,
分表０１,2015/5/3,,,,
分表０１,2015/5/4,,,,
分表０１,2015/5/5,,,,
分表０１,2015/5/6,,,,
分表０１,2015/5/7,,,,
分表０１,2015/5/8,,,,
分表０１,2015/5/9,,,,
分表０１,2015/5/10,,,,
分表０１,2015/5/11,,,,
分表０１,2015/5/12,,,,
分表０１,2015/5/13,118.2,7595.54,34.2,3128.37
分表０１,2015/5/14,178.2,7598.51,55.2,3129.29
分表０１,2015/5/15,185.4,7601.59,56.4,3130.22
分表０１,2015/5/16,91.8,7603.12,29.4,3130.71
分表０１,2015/5/17,105.6,7604.88,24,3131.11
分表０１,2015/5/18,145.8,7607.31,35.4,3131.7
分表０１,2015/5/19,132,7609.51,28.8,3132.18
分表０１,2015/5/20,137.4,7611.8,37.8,3132.81
分表０１,2015/5/21,127.8,7613.93,29.4,3133.3
分表０１,2015/5/22,131.4,7616.12,27.6,3133.76
分表０１,2015/5/23,89.4,7617.61,32.4,3134.3
分表０１,2015/5/24,102.6,7619.32,70.8,3135.48
分表０１,2015/5/25,177.6,7622.29,55.2,3136.4
分表０１,2015/5/26,211.2,7625.8,76.2,3137.67
分表０１,2015/5/27,213.6,7629.37,77.4,3138.97
分表０１,2015/5/28,211.2,7632.88,75,3140.21
分表０１,2015/5/29,216,7636.48,77.4,3141.5
分表０１,2015/5/30,160.2,7639.15,72.6,3142.71
分表０１,2015/5/31,159.6,7641.82,71.4,3143.9
分表０１,2015/6/1,219,7645.46,75,3145.15
分表０１,2015/6/2,205.8,7648.9,73.8,3146.38
分表０１,2015/6/3,206.4,7652.33,72,3147.58
分表０１,2015/6/4,160.2,7655,43.2,3148.3
分表０１,2015/6/5,148.2,7657.47,34.8,3148.88
分表０１,2015/6/6,103.2,7659.19,36.6,3149.49
分表０１,2015/6/7,92.4,7660.73,34.8,3150.07
分表０１,2015/6/8,147.6,7663.19,39,3150.72
分表０１,2015/6/9,151.2,7665.71,37.2,3151.34
分表０１,2015/6/10,160.8,7668.39,37.8,3151.98
分表０１,2015/6/11,174.6,7671.3,43.2,3152.69
分表０１,2015/6/12,184.2,7674.37,45.6,3153.45
分表０１,2015/6/13,150,7676.88,53.4,3154.34
分表０１,2015/6/14,105.6,7678.63,43.8,3155.07
分表０１,2015/6/15,160.2,7681.31,41.4,3155.77
分表０１,2015/6/16,160.8,7683.98,43.2,3156.48
分表０１,2015/6/17,147.6,7686.44,36.6,3157.09
分表０１,2015/6/18,141,7688.8,34.2,3157.66
分表０１,2015/6/19,165.6,7691.55,40.8,3158.34
分表０１,2015/6/20,99,7693.2,37.8,3158.97
分表０１,2015/6/21,91.8,7694.73,34.8,3159.55
分表０１,2015/6/22,81.6,7696.09,27,3160
分表０１,2015/6/23,167.4,7698.88,37.2,3160.62
分表０１,2015/6/24,191.4,7702.07,48,3161.42
分表０１,2015/6/25,186.6,7705.18,48,3162.22
分表０１,2015/6/26,180.6,7708.19,47.4,3163.02
分表０１,2015/6/27,169.2,7711.01,51.6,3163.87
分表０１,2015/6/28,135,7713.27,48,3164.67
分表０１,2015/6/29,210.6,7716.77,54.6,3165.58
分表０１,2015/6/30,181.2,7719.79,46.8,3166.36
分表０１,2015/7/1,165,7722.54,40.8,3167.04
分表０１,2015/7/2,178.8,7725.52,43.2,3167.76
分表０１,2015/7/3,181.8,7728.56,46.8,3168.54
分表０１,2015/7/4,126.6,7730.66,42.6,3169.25
分表０１,2015/7/5,98.4,7732.3,36.6,3169.86
分表０１,2015/7/6,157.8,7734.93,35.4,3170.45
分表０１,2015/7/7,146.4,7737.37,33.6,3171.01
分表０１,2015/7/8,148.2,7739.84,30.6,3171.52
分表０１,2015/7/9,150.6,7742.35,36,3172.12
分表０１,2015/7/10,157.8,7744.98,34.2,3172.69
分表０１,2015/7/11,144,7747.38,45.6,3173.45
分表０１,2015/7/12,142.2,7749.75,51,3174.31
分表０１,2015/7/13,213,7753.3,57,3175.25
分表０１,2015/7/14,217.8,7756.93,55.8,3176.18
分表０１,2015/7/15,223.2,7760.66,81,3177.53
分表０１,2015/7/16,163.8,7763.38,40.2,3178.2
分表０１,2015/7/17,150.6,7765.89,34.2,3178.77
分表０１,2015/7/18,105,7767.64,30,3179.27
分表０１,2015/7/19,91.8,7769.17,32.4,3179.81
分表０１,2015/7/20,172.2,7772.05,38.4,3180.45
分表０１,2015/7/21,177.6,7775.01,46.8,3181.23
分表０１,2015/7/22,181.8,7778.03,46.2,3182
分表０１,2015/7/23,167.4,7780.83,42.6,3182.71
分表０１,2015/7/24,148.8,7783.31,33.6,3183.27
分表０１,2015/7/25,132.6,7785.51,39,3183.92
分表０１,2015/7/26,111.6,7787.37,38.4,3184.56
分表０１,2015/7/27,186.6,7790.48,48,3185.36
分表０１,2015/7/28,192.6,7793.7,50.4,3186.2
分表０１,2015/7/29,201.6,7797.05,54,3187.11
分表０１,2015/7/30,195,7800.31,52.2,3187.97
分表０１,2015/7/31,209.4,7803.79,60,3188.97
分表０１,2015/8/1,200.4,"7,807.13",79.8,"3,190.31"
分表０１,2015/8/2,187.2,"7,810.25",76.2,"3,191.57"
分表０１,2015/8/3,262.2,"7,814.62",104.4,"3,193.31"
