数据日期,测量点名称,相序类型,0时,1时,2时,3时,4时,5时,6时,7时,8时,9时,10时,11时,12时,13时,14时,15时,16时,17时,18时,19时,20时,21时,22时,23时,运行容量,综合倍率
2015/5/12,分表０２,有功功率,,,,,,,,,,,,,,,,,,,,,,,,,800,100
2015/5/12,分表０１,有功功率,,,,,,,,,,,,,,,,,,,,,,,,,800,60
2015/5/12,分表０２,无功功率,,,,,,,,,,,,,,,,,,,,,,,,,800,100
2015/5/12,分表０１,无功功率,,,,,,,,,,,,,,,,,,,,,,,,,800,60
2015/5/13,主供主表,有功功率,,,,,,,,,,,,48.6,68.8,39.7,46.3,43.8,53.6,42.4,34.1,25.1,31.8,28.5,30.2,27.3,800,1000
2015/5/13,主供主表,无功功率,,,,,,,,,,,,30.6,33.1,23.2,22.5,22.1,28.8,24,15.8,13.6,15.1,13.5,15.7,14.2,800,1000
2015/5/13,分表０２,有功功率,,,,,,,,,,,,4.23,6.78,7.54,7.79,5.74,5.89,5.74,6.24,6.87,6.12,4.42,4.44,4.23,800,100
2015/5/13,分表０１,无功功率,,,,,,,,,,,,0.6,3.6,2.4,0.6,3.6,3,2.4,1.8,1.2,1.8,1.2,3.6,1.8,800,60
2015/5/13,分表０２,无功功率,,,,,,,,,,,,2,3,2,2,2,2,2,3,3,2,2,2,2,800,100
2015/5/13,分表０１,有功功率,,,,,,,,,,,,2.958,17.976,7.86,4.98,18.012,8.604,10.356,5.16,4.194,4.086,4.122,6.906,4.266,800,60
2015/5/14,主供主表,有功功率,20.8,15.3,14.7,14.8,15.1,17.7,13.3,16.9,60.2,68.6,68.9,56.4,67.4,45.8,60.8,61.2,64.9,48.2,42.6,41.2,40.3,34.8,26.3,25.3,800,1000
2015/5/14,主供主表,无功功率,12.1,12.3,12.5,12.5,12.8,14.5,9.8,8.9,30.6,29.6,33.4,33.7,35.9,22.4,36.1,34.9,36.2,20.8,15.7,16.8,14.7,13.3,11.2,9.2,800,1000
2015/5/14,分表０２,有功功率,0.46,0.46,0.46,0.45,0.45,0.45,0.45,0.45,4.27,6.02,8.03,5.35,6.15,6.3,7.78,7.42,8.78,6.83,8.56,6.29,7.15,6.59,4.5,4.7,800,100
2015/5/14,分表０２,无功功率,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,3,3,2,2,2,2,800,100
2015/5/14,分表０１,有功功率,16.008,1.932,1.944,1.974,1.974,4.8,1.968,18.6,32.07,9.618,25.698,16.632,15.864,5.514,8.256,12.714,9.954,8.748,7.266,10.542,8.256,17.352,6.066,4.212,800,60
2015/5/14,分表０１,无功功率,3,1.2,1.2,1.2,1.2,3,1.2,2.4,4.2,1.2,3.6,1.8,1.8,1.2,2.4,2.4,3,2.4,3.6,4.8,3.6,2.4,2.4,0.6,800,60
2015/5/15,主供主表,有功功率,17,15.9,16.1,15.9,14.7,18.6,14.8,44.6,60.3,66.3,70.8,74.9,78.7,58.4,64.1,55.8,72.7,52.8,38.5,35.5,30.5,28.1,25.4,22.5,800,1000
2015/5/15,主供主表,无功功率,10,10.1,10.3,10.7,10.5,12.8,10.4,13.4,41.1,47.5,42.1,45.9,46.2,30.8,30.4,27.2,29.4,18.6,11.1,11.1,15.5,13.7,15.6,11.6,800,1000
2015/5/15,分表０２,无功功率,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,800,100
2015/5/15,分表０２,有功功率,2.3,2.31,2.31,2.32,2.32,2.32,2.32,11.19,6.48,5.54,5.89,6.41,7.2,7.86,9.21,7.27,7.23,7.11,7.97,7.13,7.12,6.37,4.31,4.92,800,100
2015/5/15,分表０１,有功功率,1.908,1.044,1.884,3.864,1.044,4.698,1.038,7.014,3.594,8.262,16.758,4.374,21.708,7.818,10.344,6.276,8.484,11.616,5.334,5.802,7.818,7.914,7.026,5.052,800,60
2015/5/15,分表０１,无功功率,0.6,0.6,1.2,2.4,0.6,3,0.6,3,0.6,2.4,3,0.6,4.2,2.4,2.4,1.2,2.4,3,1.8,1.8,3.6,3.6,3.6,1.8,800,60
