数据日期,用户编号,地址码,地区码,测量点名称,相序类型,0时,1时,2时,3时,4时,5时,6时,7时,8时,9时,10时,11时,12时,13时,14时,15时,16时,17时,18时,19时,20时,21时,22时,23时,运行容量,计量方式,综合倍率,供电单位
2015/5/13,903474879,04435(1153),4221,主供主表,A相,,,,,,,,,,,,0.3,0.44,0.273,0.286,0.29,0.344,0.265,0.214,0.159,0.222,0.202,0.21,0.19,800,高供高计,1000,东新营业班
2015/5/13,903474879,04435(1153),4221,主供主表,B相,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,800,高供高计,1000,东新营业班
2015/5/13,903474879,04435(1153),4221,主供主表,C相,,,,,,,,,,,,0.329,0.411,0.248,0.298,0.286,0.334,0.284,0.237,0.165,0.201,0.181,0.19,0.16,800,高供高计,1000,东新营业班
2015/5/14,903474879,04435(1153),4221,主供主表,A相,0.16,0.12,0.11,0.11,0.12,0.13,0.1,0.11,0.42,0.42,0.5,0.35,0.38,0.29,0.42,0.42,0.44,0.32,0.26,0.26,0.26,0.22,0.18,0.2,800,高供高计,1000,东新营业班
2015/5/14,903474879,04435(1153),4221,主供主表,B相,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800,高供高计,1000,东新营业班
2015/5/14,903474879,04435(1153),4221,主供主表,C相,0.14,0.11,0.11,0.11,0.11,0.13,0.1,0.11,0.35,0.44,0.55,0.4,0.42,0.31,0.41,0.4,0.42,0.31,0.25,0.24,0.24,0.2,0.16,0.18,800,高供高计,1000,东新营业班
2015/5/15,903474879,04435(1153),4221,主供主表,A相,0.12,0.12,0.12,0.12,0.11,0.14,0.11,0.27,0.4,0.48,0.45,0.49,0.56,0.41,0.44,0.37,0.46,0.32,0.23,0.23,0.19,0.18,0.23,0.16,800,高供高计,1000,东新营业班
2015/5/15,903474879,04435(1153),4221,主供主表,B相,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800,高供高计,1000,东新营业班
2015/5/15,903474879,04435(1153),4221,主供主表,C相,0.11,0.1,0.11,0.11,0.1,0.12,0.1,0.29,0.37,0.46,0.46,0.49,0.58,0.36,0.44,0.36,0.46,0.35,0.23,0.21,0.19,0.17,0.22,0.13,800,高供高计,1000,东新营业班
2015/5/16,903474879,04435(1153),4221,主供主表,A相,0.1,0.1,0.1,0.11,0.09,0.08,0.08,,,0.18,0.12,0.28,0.52,1.01,0.76,0.69,0.58,0.81,0.48,0.48,0.76,0.19,0.19,0.18,800,高供高计,1000,东新营业班
2015/5/16,903474879,04435(1153),4221,主供主表,B相,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800,高供高计,1000,东新营业班
2015/5/16,903474879,04435(1153),4221,主供主表,C相,0.09,0.08,0.09,0.1,0.08,0.07,0.08,,,0.17,0.12,0.26,0.52,1,0.73,0.72,0.58,0.79,0.46,0.46,0.75,0.15,0.14,0.14,800,高供高计,1000,东新营业班
2015/5/17,903474879,04435(1153),4221,主供主表,A相,0.14,0.14,0.13,0.14,0.15,0.14,0.12,0.18,0.47,0.84,0.67,0.66,0.67,0.52,0.7,0.87,0.85,0.45,0.16,0.19,0.17,0.16,0.18,0.14,800,高供高计,1000,东新营业班
2015/5/17,903474879,04435(1153),4221,主供主表,B相,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800,高供高计,1000,东新营业班
