数据日期,用户名称,综合倍率,表位数,总,尖,峰,平,谷
2015/5/13,楚天激光集团股份有限公司,1000,6.2,570,0,220,350,0
2015/5/13,楚天激光集团股份有限公司,100,5.2,76,0,32,44,0
2015/5/13,楚天激光集团股份有限公司,60,5.2,118.2,0,44.4,73.8,0
2015/5/14,楚天激光集团股份有限公司,1000,6.2,940,0,280,520,140
2015/5/14,楚天激光集团股份有限公司,100,5.2,106,0,39,63,4
2015/5/14,楚天激光集团股份有限公司,60,5.2,178.2,0,54,95.4,28.8
2015/5/15,楚天激光集团股份有限公司,1000,6.2,1020,0,300,560,160
2015/5/15,楚天激光集团股份有限公司,100,5.2,128,0,42,62,24
2015/5/15,楚天激光集团股份有限公司,60,5.2,185.4,0,54,103.8,27.6
2015/5/16,楚天激光集团股份有限公司,1000,6.2,1270,0,420,770,90
2015/5/16,楚天激光集团股份有限公司,100,5.2,94,0,37,56,1
2015/5/16,楚天激光集团股份有限公司,60,5.2,91.8,0,29.4,46.2,16.2
2015/5/17,楚天激光集团股份有限公司,1000,6.2,1430,0,330,950,140
2015/5/17,楚天激光集团股份有限公司,100,5.2,92,0,32,55,5
2015/5/17,楚天激光集团股份有限公司,60,5.2,105.6,0,33,60,12.6
2015/5/18,楚天激光集团股份有限公司,1000,6.2,1410,0,390,780,240
2015/5/18,楚天激光集团股份有限公司,100,5.2,95,0,34,56,5
2015/5/18,楚天激光集团股份有限公司,60,5.2,145.8,0,39,85.2,21.6
2015/5/19,楚天激光集团股份有限公司,1000,6.2,940,0,250,530,160
2015/5/19,楚天激光集团股份有限公司,100,5.2,95,0,37,52,6
2015/5/19,楚天激光集团股份有限公司,60,5.2,132,0,36.6,79.2,16.2
2015/5/20,楚天激光集团股份有限公司,1000,6.2,960,0,260,560,130
2015/5/20,楚天激光集团股份有限公司,100,5.2,108,0,42,60,6
2015/5/20,楚天激光集团股份有限公司,60,5.2,137.4,0,39.6,82.8,15
2015/5/21,楚天激光集团股份有限公司,1000,6.2,910,0,240,540,140
2015/5/21,楚天激光集团股份有限公司,100,5.2,102,0,38,55,9
2015/5/21,楚天激光集团股份有限公司,60,5.2,127.8,0,39,73.2,15.6
2015/5/22,楚天激光集团股份有限公司,1000,6.2,900,0,240,510,150
2015/5/22,楚天激光集团股份有限公司,100,5.2,109,0,38,58,13
2015/5/22,楚天激光集团股份有限公司,60,5.2,131.4,0,39,77.4,15
2015/5/23,楚天激光集团股份有限公司,1000,6.2,540,0,160,270,110
2015/5/23,楚天激光集团股份有限公司,100,5.2,94,0,34,55,5
2015/5/23,楚天激光集团股份有限公司,60,5.2,89.4,0,27,51.6,10.8
2015/5/24,楚天激光集团股份有限公司,1000,6.2,490,0,150,230,110
2015/5/24,楚天激光集团股份有限公司,100,5.2,88,0,34,50,4
2015/5/24,楚天激光集团股份有限公司,60,5.2,102.6,0,37.8,54.6,10.2
2015/5/25,楚天激光集团股份有限公司,1000,6.2,1370,0,290,950,130
2015/5/25,楚天激光集团股份有限公司,100,5.2,93,0,36,53,4
2015/5/25,楚天激光集团股份有限公司,60,5.2,177.6,0,54,104.4,19.2
2015/5/26,楚天激光集团股份有限公司,1000,6.2,1830,0,430,1220,170
2015/5/26,楚天激光集团股份有限公司,100,5.2,102,0,40,56,6
2015/5/26,楚天激光集团股份有限公司,60,5.2,211.2,0,57.6,114,39.6
2015/5/27,楚天激光集团股份有限公司,1000,6.2,1910,0,480,1280,170
2015/5/27,楚天激光集团股份有限公司,100,5.2,106,0,41,57,8
2015/5/27,楚天激光集团股份有限公司,60,5.2,213.6,0,57,117.6,39
2015/5/28,楚天激光集团股份有限公司,1000,6.2,1940,0,490,1290,150
2015/5/28,楚天激光集团股份有限公司,100,5.2,98,0,39,53,6
2015/5/28,楚天激光集团股份有限公司,60,5.2,211.2,0,58.8,112.8,39.6
2015/5/29,楚天激光集团股份有限公司,1000,6.2,1940,0,540,1230,170
2015/5/29,楚天激光集团股份有限公司,100,5.2,93,0,36,53,4
