数据日期,用户名称,运行容量,电能表号,综合倍率,当日最大需量,发生时间,表位数
2015/5/13,楚天激光集团股份有限公司,800,1.00E+11,1000,0.2554,8:41,6.2
2015/5/14,楚天激光集团股份有限公司,800,1.00E+11,1000,0.2554,8:41,6.2
2015/5/15,楚天激光集团股份有限公司,800,1.00E+11,1000,0.2554,8:41,6.2
2015/5/16,楚天激光集团股份有限公司,800,1.00E+11,1000,0.2554,8:41,6.2
2015/5/17,楚天激光集团股份有限公司,800,1.00E+11,1000,0.2554,8:41,6.2
2015/5/18,楚天激光集团股份有限公司,800,1.00E+11,1000,0.2554,8:41,6.2
2015/5/19,楚天激光集团股份有限公司,800,1.00E+11,1000,0.2554,8:41,6.2
2015/5/20,楚天激光集团股份有限公司,800,1.00E+11,1000,0.2554,8:41,6.2
2015/5/21,楚天激光集团股份有限公司,800,1.00E+11,1000,0.2554,8:41,6.2
2015/5/22,楚天激光集团股份有限公司,800,1.00E+11,1000,0.2554,8:41,6.2
2015/5/23,楚天激光集团股份有限公司,800,1.00E+11,1000,0.2554,8:41,6.2
2015/5/24,楚天激光集团股份有限公司,800,1.00E+11,1000,0.0282,7:44,6.2
2015/5/25,楚天激光集团股份有限公司,800,1.00E+11,1000,0.2818,1:55,6.2
2015/5/26,楚天激光集团股份有限公司,800,1.00E+11,1000,0.2818,1:55,6.2
2015/5/27,楚天激光集团股份有限公司,800,1.00E+11,1000,0.2818,1:55,6.2
2015/5/28,楚天激光集团股份有限公司,800,1.00E+11,1000,0.2818,1:55,6.2
2015/5/29,楚天激光集团股份有限公司,800,1.00E+11,1000,0.2818,1:55,6.2
2015/5/30,楚天激光集团股份有限公司,800,1.00E+11,1000,0.2818,1:55,6.2
2015/5/31,楚天激光集团股份有限公司,800,1.00E+11,1000,0.2818,1:55,6.2
2015/6/1,楚天激光集团股份有限公司,800,1.00E+11,1000,0.2818,1:55,6.2
2015/6/2,楚天激光集团股份有限公司,800,1.00E+11,1000,0.2992,8:32,6.2
2015/6/3,楚天激光集团股份有限公司,800,1.00E+11,1000,0.2992,8:32,6.2
2015/6/4,楚天激光集团股份有限公司,800,1.00E+11,1000,0.2992,8:32,6.2
2015/6/5,楚天激光集团股份有限公司,800,1.00E+11,1000,0.2992,8:32,6.2
2015/6/6,楚天激光集团股份有限公司,800,1.00E+11,1000,0.2992,8:32,6.2
2015/6/7,楚天激光集团股份有限公司,800,1.00E+11,1000,0.2992,8:32,6.2
2015/6/8,楚天激光集团股份有限公司,800,1.00E+11,1000,0.2992,8:32,6.2
2015/6/9,楚天激光集团股份有限公司,800,1.00E+11,1000,0.2992,8:32,6.2
2015/6/10,楚天激光集团股份有限公司,800,1.00E+11,1000,0.2992,8:32,6.2
2015/6/11,楚天激光集团股份有限公司,800,1.00E+11,1000,0.2992,8:32,6.2
2015/6/12,楚天激光集团股份有限公司,800,1.00E+11,1000,0.2992,8:32,6.2
2015/6/13,楚天激光集团股份有限公司,800,1.00E+11,1000,0.2992,8:32,6.2
2015/6/14,楚天激光集团股份有限公司,800,1.00E+11,1000,0.2992,8:32,6.2
2015/6/15,楚天激光集团股份有限公司,800,1.00E+11,1000,0.2992,8:32,6.2
2015/6/16,楚天激光集团股份有限公司,800,1.00E+11,1000,0.2992,8:32,6.2
2015/6/17,楚天激光集团股份有限公司,800,1.00E+11,1000,0.2992,8:32,6.2
2015/6/18,楚天激光集团股份有限公司,800,1.00E+11,1000,0.2992,8:32,6.2
2015/6/19,楚天激光集团股份有限公司,800,1.00E+11,1000,0.2992,8:32,6.2
2015/6/20,楚天激光集团股份有限公司,800,1.00E+11,1000,0.2992,8:32,6.2
2015/6/21,楚天激光集团股份有限公司,800,1.00E+11,1000,0.2992,8:32,6.2
2015/6/22,楚天激光集团股份有限公司,800,1.00E+11,1000,0.2992,8:32,6.2
2015/6/23,楚天激光集团股份有限公司,800,1.00E+11,1000,0.2992,8:32,6.2
2015/6/24,楚天激光集团股份有限公司,800,1.00E+11,1000,0.282,8:00,6.2
2015/6/25,楚天激光集团股份有限公司,800,1.00E+11,1000,0.3133,11:57,6.2
2015/6/26,楚天激光集团股份有限公司,800,1.00E+11,1000,0.3133,11:57,6.2
2015/6/27,楚天激光集团股份有限公司,800,1.00E+11,1000,0.3133,11:57,6.2
2015/6/28,楚天激光集团股份有限公司,800,1.00E+11,1000,0.3133,11:57,6.2
2015/6/29,楚天激光集团股份有限公司,800,1.00E+11,1000,0.3134,4:31,6.2
2015/6/30,楚天激光集团股份有限公司,800,1.00E+11,1000,0.3134,4:31,6.2
2015/7/1,楚天激光集团股份有限公司,800,1.00E+11,1000,0.3134,4:31,6.2
2015/7/2,楚天激光集团股份有限公司,800,1.00E+11,1000,0.3171,9:45,6.2
2015/7/3,楚天激光集团股份有限公司,800,1.00E+11,1000,0.3326,8:52,6.2
2015/7/4,楚天激光集团股份有限公司,800,1.00E+11,1000,0.3326,8:52,6.2
2015/7/5,楚天激光集团股份有限公司,800,1.00E+11,1000,0.3326,8:52,6.2
2015/7/6,楚天激光集团股份有限公司,800,1.00E+11,1000,0.3326,8:52,6.2
2015/7/7,楚天激光集团股份有限公司,800,1.00E+11,1000,0.3326,8:52,6.2
2015/7/8,楚天激光集团股份有限公司,800,1.00E+11,1000,0.3326,8:52,6.2
2015/7/9,楚天激光集团股份有限公司,800,1.00E+11,1000,0.3326,8:52,6.2
2015/7/10,楚天激光集团股份有限公司,800,1.00E+11,1000,0.3326,8:52,6.2
2015/7/11,楚天激光集团股份有限公司,800,1.00E+11,1000,0.3326,8:52,6.2
2015/7/12,楚天激光集团股份有限公司,800,1.00E+11,1000,0.3326,8:52,6.2
2015/7/13,楚天激光集团股份有限公司,800,1.00E+11,1000,0.3794,3:38,6.2
2015/7/14,楚天激光集团股份有限公司,800,1.00E+11,1000,0.3796,11:35,6.2
2015/7/15,楚天激光集团股份有限公司,800,1.00E+11,1000,0.3929,10:03,6.2
2015/7/16,楚天激光集团股份有限公司,800,1.00E+11,1000,0.3929,10:03,6.2
2015/7/17,楚天激光集团股份有限公司,800,1.00E+11,1000,0.3929,10:03,6.2
