数据日期,用户名称,电能表号,综合倍率,表位数,在线情况,总(正向有功),尖(正向有功),峰(正向有功),平(正向有功),谷(正向有功),总(正向无功)
2015-07-21,武钢激光拼焊(武汉)有限公司,070044,4000,6.2,在线,7203.97,0,1847.28,3134.21,2222.48,791.83
2015-07-22,武钢激光拼焊(武汉)有限公司,070044,4000,6.2,在线,7207.54,0,1848.17,3135.76,2223.61,792.1
2015-07-23,武钢激光拼焊(武汉)有限公司,070044,4000,6.2,在线,7211.15,0,1849.08,3137.32,2224.75,792.36
2015-07-24,武钢激光拼焊(武汉)有限公司,070044,4000,6.2,在线,7214.6,0,1849.93,3138.8,2225.87,792.6
2015-07-25,武钢激光拼焊(武汉)有限公司,070044,4000,6.2,在线,7215.97,0,1850.1,3139.15,2226.72,792.71
2015-07-26,武钢激光拼焊(武汉)有限公司,070044,4000,6.2,在线,7216.53,0,1850.25,3139.39,2226.89,792.75
2015-07-27,武钢激光拼焊(武汉)有限公司,070044,4000,6.2,在线,7217.27,0,1850.46,3139.72,2227.09,792.81
2015-07-28,武钢激光拼焊(武汉)有限公司,070044,4000,6.2,在线,7217.95,0,1850.64,3140.03,2227.28,792.86
2015-07-29,武钢激光拼焊(武汉)有限公司,070044,4000,6.2,在线,7218.71,0,1850.84,3140.39,2227.48,792.91
2015-07-30,武钢激光拼焊(武汉)有限公司,070044,4000,6.2,在线,7219.39,0,1851,3140.73,2227.66,792.97
2015-07-31,武钢激光拼焊(武汉)有限公司,070044,4000,6.2,在线,7220.06,0,1851.18,3141.02,2227.86,793.03
2015-08-01,武钢激光拼焊(武汉)有限公司,070044,4000,6.2,在线,7220.73,0,1851.34,3141.35,2228.04,793.1
2015-08-02,武钢激光拼焊(武汉)有限公司,070044,4000,6.2,在线,7221.84,0,1851.7,3141.92,2228.22,793.19
2015-08-03,武钢激光拼焊(武汉)有限公司,070044,4000,6.2,在线,7224.88,0,1852.58,3143.48,2228.82,793.42
2015-08-04,武钢激光拼焊(武汉)有限公司,070044,4000,6.2,在线,7228.54,0,1853.5,3145.11,2229.93,793.67
2015-08-05,武钢激光拼焊(武汉)有限公司,070044,4000,6.2,在线,7232.26,0,1854.43,3146.73,2231.1,793.94
2015-08-06,武钢激光拼焊(武汉)有限公司,070044,4000,6.2,在线,7236.03,0,1855.37,3148.4,2232.26,794.2
2015-08-07,武钢激光拼焊(武汉)有限公司,070044,4000,6.2,在线,7239.66,0,1856.29,3149.94,2233.43,794.46
2015-08-08,武钢激光拼焊(武汉)有限公司,070044,4000,6.2,在线,7242.07,0,1856.79,3150.8,2234.48,794.65
2015-08-09,武钢激光拼焊(武汉)有限公司,070044,4000,6.2,在线,7243.99,0,1857.26,3151.62,2235.11,794.82
2015-08-10,武钢激光拼焊(武汉)有限公司,070044,4000,6.2,在线,7247.06,0,1858.14,3153.16,2235.76,795.03
2015-08-11,武钢激光拼焊(武汉)有限公司,070044,4000,6.2,在线,7250.58,0,1859,3154.64,2236.94,795.24
2015-08-12,武钢激光拼焊(武汉)有限公司,070044,4000,6.2,在线,7253.93,0,1859.79,3156.07,2238.07,795.43
2015-08-13,武钢激光拼焊(武汉)有限公司,070044,4000,6.2,在线,7257.26,0,1860.6,3157.54,2239.12,795.63
2015-08-14,武钢激光拼焊(武汉)有限公司,070044,4000,6.2,在线,7260.67,0,1861.43,3159.04,2240.2,795.82
2015-08-15,武钢激光拼焊(武汉)有限公司,070044,4000,6.2,在线,7263.03,0,1861.91,3159.84,2241.28,796.01
2015-08-16,武钢激光拼焊(武汉)有限公司,070044,4000,6.2,在线,7264.91,0,1862.38,3160.64,2241.89,796.19
2015-08-17,武钢激光拼焊(武汉)有限公司,070044,4000,6.2,在线,7268,0,1863.26,3162.21,2242.53,796.41
2015-08-18,武钢激光拼焊(武汉)有限公司,070044,4000,6.2,在线,7271.58,0,1864.15,3163.77,2243.66,796.64
2015-08-19,武钢激光拼焊(武汉)有限公司,070044,4000,6.2,在线,7274.89,0,1864.92,3165.15,2244.82,796.86
2015-08-20,武钢激光拼焊(武汉)有限公司,070044,4000,6.2,在线,7278.28,0,1865.76,3166.66,2245.86,797.06
2015-08-21,武钢激光拼焊(武汉)有限公司,070044,4000,6.2,在线,7280.62,0,1866.23,3167.53,2246.86,797.23
2015-08-22,武钢激光拼焊(武汉)有限公司,070044,4000,6.2,在线,7282.28,0,1866.65,3168.23,2247.4,797.42
2015-08-23,武钢激光拼焊(武汉)有限公司,070044,4000,6.2,在线,7283.95,0,1867.07,3168.92,2247.96,797.62
2015-08-24,武钢激光拼焊(武汉)有限公司,070044,4000,6.2,在线,7286.88,0,1867.94,3170.4,2248.54,797.83
2015-08-25,武钢激光拼焊(武汉)有限公司,070044,4000,6.2,在线,7290.42,0,1868.82,3171.95,2249.65,798.04
2015-08-26,武钢激光拼焊(武汉)有限公司,070044,4000,6.2,在线,7293.86,0,1869.67,3173.41,2250.78,798.24
2015-08-27,武钢激光拼焊(武汉)有限公司,070044,4000,6.2,在线,7297.27,0,1870.53,3174.89,2251.85,798.44
2015-08-28,武钢激光拼焊(武汉)有限公司,070044,4000,6.2,在线,7300.81,0,1871.42,3176.4,2252.99,798.63
2015-08-29,武钢激光拼焊(武汉)有限公司,070044,4000,6.2,在线,7303.16,0,1871.9,3177.19,2254.07,798.8
2015-08-30,武钢激光拼焊(武汉)有限公司,070044,4000,6.2,在线,7304.98,0,1872.36,3177.95,2254.67,798.94
2015-08-31,武钢激光拼焊(武汉)有限公司,070044,4000,6.2,在线,7307.84,0,1873.18,3179.37,2255.29,799.12
2015-09-01,武钢激光拼焊(武汉)有限公司,070044,4000,6.2,在线,7311.16,0,1874.02,3180.81,2256.33,799.33
2015-09-02,武钢激光拼焊(武汉)有限公司,070044,4000,6.2,在线,7314.44,0,1874.83,3182.22,2257.39,799.55
2015-09-03,武钢激光拼焊(武汉)有限公司,070044,4000,6.2,在线,7316.49,0,1875.22,3182.87,2258.4,799.75
2015-09-04,武钢激光拼焊(武汉)有限公司,070044,4000,6.2,在线,7318.14,0,1875.63,3183.59,2258.92,799.92
2015-09-05,武钢激光拼焊(武汉)有限公司,070044,4000,6.2,在线,7319.65,0,1876.01,3184.2,2259.44,800.09
2015-09-06,武钢激光拼焊(武汉)有限公司,070044,4000,6.2,在线,7322.48,0,1876.9,3185.64,2259.94,800.31
2015-09-07,武钢激光拼焊(武汉)有限公司,070044,4000,6.2,在线,7325.83,0,1877.73,3187.07,2261.03,800.52
2015-09-08,武钢激光拼焊(武汉)有限公司,070044,4000,6.2,在线,7329.29,0,1878.6,3188.59,2262.1,800.74
2015-09-09,武钢激光拼焊(武汉)有限公司,070044,4000,6.2,在线,7332.86,0,1879.5,3190.14,2263.22,800.96
2015-09-10,武钢激光拼焊(武汉)有限公司,070044,4000,6.2,在线,7336.4,0,1880.42,3191.61,2264.37,801.18
