数据日期,用户名称,运行容量,电能表号,综合倍率,表位数,总,尖,峰,平,谷
2013/1/1,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,211.25,0,0,0,0
2013/1/2,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,1772.73,0,0,0,0
2013/1/3,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,2323.2,0,0,0,0
2013/1/4,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,1867.18,0,0,0,0
2013/1/5,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,329.61,0,0,0,0
2013/1/6,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,192.81,0,0,0,0
2013/1/7,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,1138.35,0,0,0,0
2013/1/8,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,1336.79,0,0,0,0
2013/1/9,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,1292.02,0,0,0,0
2013/1/10,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,1248.82,0,0,0,0
2013/1/11,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,1217.58,0,0,0,0
2013/1/12,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,296.01,0,0,0,0
2013/1/13,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,271.25,0,0,0,0
2013/1/14,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,1263.12,0,0,0,0
2013/1/15,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,1304.76,0,0,0,0
2013/1/16,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,1327.26,0,0,0,0
2013/1/17,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,1336.01,0,0,0,0
2013/1/18,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,1191.95,0,0,0,0
2013/1/19,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,276.01,0,0,0,0
2013/1/20,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,279.22,0,0,0,0
2013/1/21,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,1300,0,0,0,0
2013/1/22,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,1314.37,0,0,0,0
2013/1/23,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,1300.78,0,0,0,0
2013/1/24,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,1207.18,0,0,0,0
2013/1/25,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,1132.81,0,0,0,0
2013/1/26,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,264.06,0,0,0,0
2013/1/27,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,264.76,0,0,0,0
2013/1/28,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,1187.18,0,0,0,0
2013/1/29,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,887.26,0,0,0,0
2013/1/30,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,1028.66,0,0,0,0
2013/1/31,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,978.43,0,0,0,0
2013/2/1,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,1014.45,0,0,0,0
2013/2/2,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,291.17,0,0,0,0
2013/2/3,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,264.84,0,0,0,0
2013/2/4,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,1281.56,0,0,0,0
2013/2/5,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,1313.59,0,0,0,0
2013/2/6,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,1316.79,0,0,0,0
2013/2/7,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,1394.37,0,0,0,0
2013/2/8,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,1559.22,0,0,0,0
2013/2/9,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,184.84,0,0,0,0
2013/2/10,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,163.2,0,0,0,0
2013/2/11,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,162.42,0,0,0,0
2013/2/12,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,153.59,0,0,0,0
2013/2/13,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,219.14,0,0,0,0
2013/2/14,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,233.59,0,0,0,0
2013/2/15,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,240,0,0,0,0
2013/2/16,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,1255.23,0,0,0,0
2013/2/17,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,1389.61,0,0,0,0
2013/2/18,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,1399.14,0,0,0,0
2013/2/19,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,1316.79,0,0,0,0
2013/2/20,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,1377.66,0,0,0,0
2013/2/21,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,1244.76,0,0,0,0
2013/2/22,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,1060,0,0,0,0
2013/2/23,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,281.56,0,0,0,0
2013/2/24,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,303.28,0,0,0,0
2013/2/25,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,909.53,0,0,0,0
2013/2/26,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,1057.66,0,0,0,0
2013/2/27,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,121.64,0,0,0,0
2013/2/28,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,923.12,0,0,0,0
2013/3/1,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,1102.42,0,0,0,0
2013/3/2,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,250.38,0,0,0,0
2013/3/3,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,264.84,0,0,0,0
