数据日期,测量点名称,相序类型,0时,1时,2时,3时,4时,5时,6时,7时,8时,9时,10时,11时,12时,13时,14时,15时,16时,17时,18时,19时,20时,21时,22时,23时,运行容量,计量方式,综合倍率,供电单位
2013/1/1,分表０１,有功功率,4.572,4.686,4.668,4.524,5.034,4.488,4.362,4.266,4.674,1.866,1.866,1.878,1.44,1.356,1.362,8.256,1.962,1.206,2.424,2.412,5.022,7.542,8.226,7.266,500,高供高计,60,常青营业一班
2013/1/1,分表０１,无功功率,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3.6,3,500,高供高计,60,常青营业一班
2013/1/2,分表０１,有功功率,8.58,6.246,5.916,5.046,5.268,5.316,5.718,1.32,6.876,71.292,87.39,99.672,99.744,98.07,83.838,109.596,107.496,102.144,63.774,62.154,60.198,60.75,59.538,63.078,500,高供高计,60,常青营业一班
2013/1/2,分表０１,无功功率,3.6,3,3,3,3,3,3.6,0,1.2,16.8,25.8,30,34.2,30,31.8,30,33,35.4,17.4,21,19.2,24,19.2,24.6,500,高供高计,60,常青营业一班
2013/1/3,分表０１,有功功率,48.84,43.038,43.056,43.458,48.204,47.046,47.796,41.106,69.06,108.492,104.424,93.828,87.09,81.768,77.334,96.708,100.506,80.862,40.35,31.344,31.356,44.964,30.804,30.228,500,高供高计,60,常青营业一班
2013/1/3,分表０１,无功功率,37.2,33,34.2,30.6,40.2,39.6,35.4,27,19.2,28.8,24,27,28.8,22.8,28.2,27.6,31.2,29.4,13.8,18,18,22.2,23.4,22.2,500,高供高计,60,常青营业一班
2013/1/4,分表０１,有功功率,30.414,30.624,33.498,30.75,32.178,30.888,31.482,36.474,27.954,90.69,98.748,93.414,81.78,69.138,99.102,103.788,118.62,79.548,32.106,26.094,30.696,35.466,42.882,33.408,500,高供高计,60,常青营业一班
2013/1/4,分表０１,无功功率,22.2,23.4,23.4,23.4,23.4,24,21,17.4,14.4,15.6,21,19.8,20.4,19.8,22.8,21.6,29.4,22.8,15.6,15.6,17.4,21,22.2,23.4,500,高供高计,60,常青营业一班
2013/1/5,分表０１,有功功率,31.74,30.54,33.642,30.972,30.846,33.756,29.118,29.778,34.938,82.884,99.33,81.636,99.156,100.692,91.134,82.716,29.16,28.986,38.136,29.022,28.212,31.302,27.906,29.49,500,高供高计,60,常青营业一班
2013/1/5,分表０１,无功功率,22.2,21.6,21,22.8,22.2,22.2,22.2,18.6,15,18,28.2,28.8,27.6,29.4,25.8,20.4,13.2,13.2,15.6,16.2,17.4,18,18.6,18.6,500,高供高计,60,常青营业一班
2013/1/6,分表０１,有功功率,31.296,30.306,30.312,31.29,29.934,29.454,29.13,26.538,2.328,2.412,2.298,2.31,2.49,2.466,2.382,2.382,2.382,2.418,2.466,2.472,2.49,2.508,2.562,5.442,500,高供高计,60,常青营业一班
2013/1/6,分表０１,无功功率,21,22.2,22.2,19.8,19.8,19.2,18,15.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,高供高计,60,常青营业一班
2013/1/7,分表０１,有功功率,6.636,5.424,5.49,5.532,5.424,5.622,5.064,1.446,5.118,61.128,92.88,83.088,99.888,93.144,85.992,84.774,77.262,75.624,36.852,26.934,29.118,32.094,33.318,30.78,500,高供高计,60,常青营业一班
2013/1/7,分表０１,无功功率,3,3,3,3,3,3,3,0,0,10.8,24,26.4,38.4,33.6,25.8,28.8,28.8,27.6,16.8,16.2,17.4,21.6,21.6,21,500,高供高计,60,常青营业一班
2013/1/8,分表０１,有功功率,31.212,30.87,28.17,30.552,29.184,27.894,28.26,28.152,40.32,92.352,95.712,111.39,88.554,73.848,70.212,88.374,77.88,71.064,34.434,28.278,25.758,25.74,26.148,29.61,500,高供高计,60,常青营业一班
2013/1/8,分表０１,无功功率,21.6,21,21,21.6,21.6,21.6,21,18,14.4,30,30.6,28.2,31.8,27,25.2,33,33.6,29.4,17.4,17.4,17.4,17.4,19.2,18,500,高供高计,60,常青营业一班
2013/1/9,分表０１,有功功率,29.52,28.536,29.37,28.728,29.166,29.298,29.736,25.392,24.018,80.688,86.256,88.638,94.464,88.476,91.098,72.468,79.086,77.718,30.78,24.996,25.644,28.524,28.068,27.72,500,高供高计,60,常青营业一班
2013/1/9,分表０１,无功功率,19.2,18.6,19.2,19.8,19.2,19.8,19.2,15.6,14.4,19.2,31.8,28.2,30.6,28.2,33,25.2,28.2,25.8,21.6,16.2,17.4,18,19.2,18,500,高供高计,60,常青营业一班
2013/1/10,分表０１,有功功率,27.732,27.756,27.78,26.91,26.712,27.21,26.88,27.24,39.42,74.88,89.136,75.906,64.962,72.33,53.952,60.786,58.578,50.952,18.192,19.182,20.016,22.482,24.696,26.106,500,高供高计,60,常青营业一班
2013/1/10,分表０１,无功功率,18,18,18.6,16.8,17.4,17.4,16.2,16.2,13.8,19.8,28.8,24,22.8,31.2,19.8,25.2,17.4,15,9.6,9,10.2,13.8,14.4,15,500,高供高计,60,常青营业一班
2013/1/11,分表０１,有功功率,25.146,23.364,21.948,26.424,21.642,33.072,21.618,21.09,21.726,80.562,76.158,80.682,76.572,69.66,75.126,59.208,65.16,51.726,18.288,20.634,28.368,20.586,22.158,33.312,500,高供高计,60,常青营业一班
2013/1/11,分表０１,无功功率,15,13.8,14.4,14.4,14.4,13.8,13.8,10.8,8.4,20.4,19.8,17.4,20.4,13.2,19.2,15,28.8,18,10.2,10.8,10.8,12,12,23.4,500,高供高计,60,常青营业一班
