数据日期,测量点名称,相序类型,0时,1时,2时,3时,4时,5时,6时,7时,8时,9时,10时,11时,12时,13时,14时,15时,16时,17时,18时,19时,20时,21时,22时,23时,运行容量,综合倍率
2015/6/4,主供主表,A相,,,,,,,,,,,,102,103,103,102,103,103,103,104,104,104,105,105,105,500,600
2015/6/4,主供主表,B相,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,500,600
2015/6/4,主供主表,C相,,,,,,,,,,,,102,103,103,103,103,103,103,104,104,104,105,105,105,500,600
2015/6/5,主供主表,A相,105,105,105,105,105,105,104,104,103,102,101,101,103,102,101,101,101,101,103,103,104,104,105,104,500,600
2015/6/5,主供主表,B相,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,600
2015/6/5,主供主表,C相,105,105,105,105,105,105,104,104,103,102,101,101,103,102,101,101,101,102,103,104,104,104,105,104,500,600
2015/6/6,主供主表,A相,104,105,105,105,105,105,104,104,103,102,101,101,102,101,101,101,101,101,103,104,104,104,105,104,500,600
2015/6/6,主供主表,B相,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,600
2015/6/6,主供主表,C相,104,105,105,105,105,105,104,104,104,102,101,101,102,102,101,101,101,102,103,104,104,104,105,104,500,600
2015/6/7,主供主表,A相,104,105,105,105,105,104,104,104,104,103,103,103,104,104,104,104,104,104,104,105,105,105,105,105,500,600
2015/6/7,主供主表,B相,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,600
2015/6/7,主供主表,C相,104,105,105,105,105,104,104,104,104,103,103,103,104,104,104,104,104,104,104,105,105,105,105,105,500,600
2015/6/8,主供主表,A相,105,105,105,105,105,105,105,104,103,102,102,101,103,102,102,101,101,102,103,104,104,105,105,105,500,600
2015/6/8,主供主表,B相,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,600
2015/6/8,主供主表,C相,105,105,105,105,105,105,105,104,104,102,102,101,103,102,102,101,102,102,103,104,104,105,105,105,500,600
2015/6/9,主供主表,A相,105,105,105,105,105,105,104,104,103,102,102,101,103,103,102,103,102,103,105,105,105,106,106,105,500,600
2015/6/9,主供主表,B相,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,600
2015/6/9,主供主表,C相,105,105,105,105,105,105,104,104,103,102,102,101,103,103,102,102,102,103,105,105,105,105,106,105,500,600
2015/6/10,主供主表,A相,105,105,105,105,105,105,104,104,104,102,101,101,102,102,101,101,102,102,104,105,105,105,106,104,500,600
2015/6/10,主供主表,B相,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,600
2015/6/10,主供主表,C相,105,105,105,105,105,105,104,104,104,102,101,101,103,102,102,101,102,102,104,105,105,105,106,104,500,600
2015/6/11,主供主表,A相,105,105,105,105,105,105,104,104,102,100,101,100,102,102,101,101,101,102,104,104,104,105,105,104,500,600
2015/6/11,主供主表,B相,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,600
2015/6/11,主供主表,C相,105,104,105,105,105,105,104,104,102,100,101,100,102,102,101,101,101,102,104,104,104,105,105,103,500,600
2015/6/12,主供主表,A相,104,104,104,104,104,104,103,103,102,99,99,99,100,99,99,99,99,100,102,103,103,103,104,103,500,600
2015/6/12,主供主表,B相,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,600
2015/6/12,主供主表,C相,104,104,104,104,104,104,104,103,102,99,99,99,100,99,99,99,99,100,102,103,103,103,104,103,500,600
2015/6/13,主供主表,A相,103,103,104,104,104,104,103,103,102,100,99,99,100,99,99,99,99,101,103,103,104,104,104,104,500,600
2015/6/13,主供主表,B相,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,600
2015/6/13,主供主表,C相,103,103,104,104,104,104,104,103,102,100,99,99,100,99,99,99,99,101,103,104,104,104,105,104,500,600
2015/6/14,主供主表,A相,105,104,105,105,105,105,104,104,104,103,102,101,102,102,101,101,102,102,104,104,104,104,105,104,500,600
2015/6/14,主供主表,B相,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,600
2015/6/14,主供主表,C相,104,104,105,105,105,105,105,104,104,103,102,101,102,102,101,102,102,102,104,104,104,104,105,104,500,600
2015/6/15,主供主表,A相,104,104,104,105,105,104,104,103,103,100,101,101,103,102,101,102,102,103,105,105,105,106,104,104,500,600
2015/6/15,主供主表,B相,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,600
2015/6/15,主供主表,C相,104,104,104,105,105,104,104,104,103,100,101,101,103,102,101,102,102,103,105,105,105,106,104,104,500,600
2015/6/16,主供主表,A相,104,104,104,104,104,104,104,103,103,103,102,101,102,102,101,101,101,102,104,105,105,105,106,104,500,600
2015/6/16,主供主表,B相,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,600
2015/6/16,主供主表,C相,104,104,104,104,104,104,104,103,103,103,102,101,103,102,101,101,101,102,104,105,105,105,106,104,500,600
2015/6/17,主供主表,A相,105,105,105,105,105,105,105,104,104,102,102,102,103,103,103,102,103,103,104,105,105,105,105,105,500,600
2015/6/17,主供主表,B相,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,600
2015/6/17,主供主表,C相,104,105,105,105,105,105,105,105,104,102,102,102,103,103,103,102,103,103,104,105,105,105,105,105,500,600
2015/6/18,主供主表,A相,105,105,105,106,105,105,105,104,103,102,101,101,102,101,101,100,101,101,103,104,104,104,105,105,500,600
