数据日期,用户名称,运行容量,电能表号,综合倍率,表位数,总,尖,峰,平,谷
2013/1/1,武汉金运激光股份有限公司,500,001086,60,5.2,98.44,0,25.79,33.6,39.01
2013/1/2,武汉金运激光股份有限公司,500,001086,60,5.2,1295.39,0,454.8,793.21,47.4
2013/1/3,武汉金运激光股份有限公司,500,001086,60,5.2,1500,0,331.8,801.59,366.59
2013/1/4,武汉金运激光股份有限公司,500,001086,60,5.2,1287.59,0,313.19,717.59,256.8
2013/1/5,武汉金运激光股份有限公司,500,001086,60,5.2,1141.23,0,289.2,597.59,254.39
2013/1/6,武汉金运激光股份有限公司,500,001086,60,5.2,279.55,0,16.8,32.99,229.8
2013/1/7,武汉金运激光股份有限公司,500,001086,60,5.2,1017.59,0,307.19,661.81,48.6
2013/1/8,武汉金运激光股份有限公司,500,001086,60,5.2,1227.65,0,305.4,685.19,236.99
2013/1/9,武汉金运激光股份有限公司,500,001086,60,5.2,1170.58,0,288.59,652.21,229.8
2013/1/10,武汉金运激光股份有限公司,500,001086,60,5.2,999.02,0,254.39,523.18,221.39
2013/1/11,武汉金运激光股份有限公司,500,001086,60,5.2,1022.4,0,271.8,560.42,190.19
2013/1/12,武汉金运激光股份有限公司,500,001086,60,5.2,765.58,0,199.8,349.8,216
2013/1/13,武汉金运激光股份有限公司,500,001086,60,5.2,104.35,0,20.4,33.57,50.39
2013/1/14,武汉金运激光股份有限公司,500,001086,60,5.2,1064.41,0,415.19,585,64.2
2013/1/15,武汉金运激光股份有限公司,500,001086,60,5.2,2012.4,0,528.6,806.42,677.4
2013/1/16,武汉金运激光股份有限公司,500,001086,60,5.2,2231.36,0,543,919.19,769.2
2013/1/17,武汉金运激光股份有限公司,500,001086,60,5.2,2216.42,0,514.19,930.58,771.59
2013/1/18,武汉金运激光股份有限公司,500,001086,60,5.2,2080.78,0,534.61,889.22,656.99
2013/1/19,武汉金运激光股份有限公司,500,001086,60,5.2,1942.79,0,441.59,820.78,680.4
2013/1/20,武汉金运激光股份有限公司,500,001086,60,5.2,240,0,37.21,85.81,116.99
2013/1/21,武汉金运激光股份有限公司,500,001086,60,5.2,1444.27,0,478.19,871.78,94.2
2013/1/22,武汉金运激光股份有限公司,500,001086,60,5.2,2038.12,0,514.2,1003.79,520.19
2013/1/23,武汉金运激光股份有限公司,500,001086,60,5.2,1964.41,0,487.79,895.81,580.81
2013/1/24,武汉金运激光股份有限公司,500,001086,60,5.2,2040.64,0,533.99,876.59,630
2013/1/25,武汉金运激光股份有限公司,500,001086,60,5.2,1966.17,0,497.4,844.8,623.99
2013/1/26,武汉金运激光股份有限公司,500,001086,60,5.2,2039.41,0,494.39,884.41,660.6
2013/1/27,武汉金运激光股份有限公司,500,001086,60,5.2,869.94,0,15.6,158.38,695.99
2013/1/28,武汉金运激光股份有限公司,500,001086,60,5.2,1279.22,0,532.21,697.21,49.8
2013/1/29,武汉金运激光股份有限公司,500,001086,60,5.2,1764.02,0,495.6,757.21,511.2
2013/1/30,武汉金运激光股份有限公司,500,001086,60,5.2,1752.59,0,443.99,712.79,595.79
2013/1/31,武汉金运激光股份有限公司,500,001086,60,5.2,1729.22,0,411.61,738.6,579.01
