数据日期,用户名称,运行容量,综合倍率,总(正向有功),尖(正向有功),峰(正向有功),平(正向有功),谷(正向有功),总(正向无功)
2013/1/1,武汉金运激光股份有限公司,500,60,11469.2,0,2909.94,4831.98,3727.28,4200.48
2013/1/2,武汉金运激光股份有限公司,500,60,11490.79,0,2917.52,4845.2,3728.07,4207.82
2013/1/3,武汉金运激光股份有限公司,500,60,11515.79,0,2923.05,4858.56,3734.18,4218.99
2013/1/4,武汉金运激光股份有限公司,500,60,11537.25,0,2928.27,4870.52,3738.46,4227.44
2013/1/5,武汉金运激光股份有限公司,500,60,11556.27,0,2933.09,4880.48,3742.7,4235.71
2013/1/6,武汉金运激光股份有限公司,500,60,11560.93,0,2933.37,4881.03,3746.53,4238.3
2013/1/7,武汉金运激光股份有限公司,500,60,11577.89,0,2938.49,4892.06,3747.34,4244.66
2013/1/8,武汉金运激光股份有限公司,500,60,11598.35,0,2943.58,4903.48,3751.29,4254.04
2013/1/9,武汉金运激光股份有限公司,500,60,11617.86,0,2948.39,4914.35,3755.12,4262.88
2013/1/10,武汉金运激光股份有限公司,500,60,11634.51,0,2952.63,4923.07,3758.81,4270.02
2013/1/11,武汉金运激光股份有限公司,500,60,11651.55,0,2957.16,4932.41,3761.98,4276.65
2013/1/12,武汉金运激光股份有限公司,500,60,11664.31,0,2960.49,4938.24,3765.58,4282.2
2013/1/13,武汉金运激光股份有限公司,500,60,11666.05,0,2960.83,4938.8,3766.42,4282.67
2013/1/14,武汉金运激光股份有限公司,500,60,11683.79,0,2967.75,4948.55,3767.49,4288.73
2013/1/15,武汉金运激光股份有限公司,500,60,11717.33,0,2976.56,4961.99,3778.78,4299.1
2013/1/16,武汉金运激光股份有限公司,500,60,11754.52,0,2985.61,4977.31,3791.6,4308.73
2013/1/17,武汉金运激光股份有限公司,500,60,11791.46,0,2994.18,4992.82,3804.46,4320.29
2013/1/18,武汉金运激光股份有限公司,500,60,11826.14,0,3003.09,5007.64,3815.41,4332.67
2013/1/19,武汉金运激光股份有限公司,500,60,11858.52,0,3010.45,5021.32,3826.75,4345.43
2013/1/20,武汉金运激光股份有限公司,500,60,11862.52,0,3011.07,5022.75,3828.7,4348.25
2013/1/21,武汉金运激光股份有限公司,500,60,11886.59,0,3019.04,5037.28,3830.27,4359.66
2013/1/22,武汉金运激光股份有限公司,500,60,11920.56,0,3027.61,5054.01,3838.94,4375.3
2013/1/23,武汉金运激光股份有限公司,500,60,11953.3,0,3035.74,5068.94,3848.62,4390.28
2013/1/24,武汉金运激光股份有限公司,500,60,11987.31,0,3044.64,5083.55,3859.12,4404.48
2013/1/25,武汉金运激光股份有限公司,500,60,12020.08,0,3052.93,5097.63,3869.52,4415.26
2013/1/26,武汉金运激光股份有限公司,500,60,12054.07,0,3061.17,5112.37,3880.53,4424.58
2013/1/27,武汉金运激光股份有限公司,500,60,12068.57,0,3061.43,5115.01,3892.13,4428.03
2013/1/28,武汉金运激光股份有限公司,500,60,12089.89,0,3070.3,5126.63,3892.96,4436
2013/1/29,武汉金运激光股份有限公司,500,60,12119.29,0,3078.56,5139.25,3901.48,4447.82
2013/1/30,武汉金运激光股份有限公司,500,60,12148.5,0,3085.96,5151.13,3911.41,4458.54
2013/1/31,武汉金运激光股份有限公司,500,60,12177.32,0,3092.82,5163.44,3921.06,4469.81
2013/2/1,武汉金运激光股份有限公司,500,60,12202.36,0,3099.3,5174.35,3928.71,4481.43
2013/2/2,武汉金运激光股份有限公司,500,60,12221.97,0,3104.12,5183.07,3934.78,4491.75
2013/2/3,武汉金运激光股份有限公司,500,60,12223.74,0,3104.54,5183.68,3935.52,4492.38
2013/2/4,武汉金运激光股份有限公司,500,60,12230.55,0,3106,5188.13,3936.42,4493.57
2013/2/5,武汉金运激光股份有限公司,500,60,12239.29,0,3108.04,5193.92,3937.33,4495.35
2013/2/6,武汉金运激光股份有限公司,500,60,12248,0,3110.14,5199.41,3938.45,4497.59
2013/2/7,武汉金运激光股份有限公司,500,60,12253.46,0,3112.04,5202.03,3939.39,4498.57
2013/2/8,武汉金运激光股份有限公司,500,60,12255.42,0,3112.47,5202.76,3940.19,4499.09
2013/2/9,武汉金运激光股份有限公司,500,60,12256.98,0,3112.81,5203.19,3940.98,4499.51
2013/2/10,武汉金运激光股份有限公司,500,60,12258.56,0,3113.11,5203.64,3941.81,4500.02
2013/2/11,武汉金运激光股份有限公司,500,60,12260.4,0,3113.55,5204.24,3942.61,4500.52
2013/2/12,武汉金运激光股份有限公司,500,60,12262.11,0,3113.87,5204.68,3943.56,4501.03
2013/2/13,武汉金运激光股份有限公司,500,60,12263.83,0,3114.22,5205.28,3944.33,4501.61
2013/2/14,武汉金运激光股份有限公司,500,60,12265.77,0,3114.71,5205.99,3945.07,4502.15
2013/2/15,武汉金运激光股份有限公司,500,60,12267.38,0,3115,5206.37,3946.01,4502.65
2013/2/16,武汉金运激光股份有限公司,500,60,12272.29,0,3116.11,5209.48,3946.7,4503.38
2013/2/17,武汉金运激光股份有限公司,500,60,12286.92,0,3120.87,5218.69,3947.36,4511.05
2013/2/18,武汉金运激光股份有限公司,500,60,12303.99,0,3125.76,5225.19,3953.04,4521.33
2013/2/19,武汉金运激光股份有限公司,500,60,12331.74,0,3133.22,5239.68,3958.84,4534.65
2013/2/20,武汉金运激光股份有限公司,500,60,12361.32,0,3140.53,5253.7,3967.09,4548.17
2013/2/21,武汉金运激光股份有限公司,500,60,12392.49,0,3148.13,5268.3,3976.06,4562.33
2013/2/22,武汉金运激光股份有限公司,500,60,12419.61,0,3155.01,5279.9,3984.7,4573.32
2013/2/23,武汉金运激光股份有限公司,500,60,12445.67,0,3160.93,5290.41,3994.33,4584.24
2013/2/24,武汉金运激光股份有限公司,500,60,12451.93,0,3161.43,5291.05,3999.45,4588.54
2013/2/25,武汉金运激光股份有限公司,500,60,12470.49,0,3168.49,5301.73,4000.27,4595.64
2013/2/26,武汉金运激光股份有限公司,500,60,12504.06,0,3177.19,5316.55,4010.32,4605.51
2013/2/27,武汉金运激光股份有限公司,500,60,12539.11,0,3185.61,5331.1,4022.4,4615.14
2013/2/28,武汉金运激光股份有限公司,500,60,12568.88,0,3193.63,5341.42,4033.83,4624.73
2013/3/1,武汉金运激光股份有限公司,500,60,12583.09,0,3199.49,5349.45,4034.15,4629.75
2013/3/2,武汉金运激光股份有限公司,500,60,12614.22,0,3206.78,5362,4045.44,4641.85
2013/3/3,武汉金运激光股份有限公司,500,60,12624.16,0,3207.06,5362.48,4054.62,4646.49
2013/3/4,武汉金运激光股份有限公司,500,60,12641.89,0,3213.4,5373.1,4055.39,4653.91
2013/3/5,武汉金运激光股份有限公司,500,60,12667.57,0,3219.39,5383.54,4064.64,4665.42
2013/3/6,武汉金运激光股份有限公司,500,60,12693.08,0,3225.37,5394.13,4073.58,4676.87
2013/3/7,武汉金运激光股份有限公司,500,60,12708.92,0,3229.86,5401.72,4077.34,4685.25
2013/3/8,武汉金运激光股份有限公司,500,60,12738.05,0,3237.7,5413.88,4086.47,4696.61
2013/3/9,武汉金运激光股份有限公司,500,60,12767.79,0,3244.77,5425.94,4097.08,4706.72
2013/3/10,武汉金运激光股份有限公司,500,60,12774.84,0,3245,5426.3,4103.54,4709.23
2013/3/11,武汉金运激光股份有限公司,500,60,12793.87,0,3252.74,5436.93,4104.2,4714.96
2013/3/12,武汉金运激光股份有限公司,500,60,12826.73,0,3260.63,5450.23,4115.87,4725.39
2013/3/13,武汉金运激光股份有限公司,500,60,12859.19,0,3268.19,5463.06,4127.94,4737.71
2013/3/14,武汉金运激光股份有限公司,500,60,12889.27,0,3275.5,5475.63,4138.14,4750.94
2013/3/15,武汉金运激光股份有限公司,500,60,12917.45,0,3282.19,5487.19,4148.07,4765.07
2013/3/16,武汉金运激光股份有限公司,500,60,12944.04,0,3288.9,5498.59,4156.55,4777.45
2013/3/17,武汉金运激光股份有限公司,500,60,12952.14,0,3289.16,5498.98,4164,4780.77
2013/3/18,武汉金运激光股份有限公司,500,60,12969.88,0,3295.8,5509.72,4164.36,4786.95
2013/3/19,武汉金运激光股份有限公司,500,60,13001.53,0,3303.7,5523.45,4174.38,4797.88
