month,date,hour,peak_flat_valley,power_num,price
4,28,1,1,5015.888,3413.312
4,28,2,1,5098.052,1859.26
4,28,3,1,5199.993,1896.438
4,28,4,1,5039.671,1837.968
4,28,5,1,4898.08,1786.33
4,28,6,1,4964.913,1810.704
4,28,7,1,4827.363,1760.539
4,28,8,1,5732.302,2090.57
4,28,9,2,7804.156,2846.176
4,28,10,3,8977.376,6109.104
4,28,11,3,8890.8,9700.751
4,28,12,3,8077.986,8813.89
4,28,13,2,6993.903,7631.047
4,28,14,2,8646.171,5883.719
4,28,15,2,9261.397,6302.381
4,28,16,2,8953.416,6092.8
4,28,17,2,9299.838,6328.54
4,28,18,2,8415.197,5726.541
4,28,19,2,8391.326,5710.297
4,28,20,3,8542.743,5813.336
4,28,21,3,8964.751,9781.44
4,28,22,3,8910.564,9722.316
4,28,23,2,7916.652,8637.86
4,28,24,2,6478.487,4408.611
4,29,1,1,4429.792,3014.473
4,29,2,1,4179.673,1524.327
4,29,3,1,4201.852,1532.415
4,29,4,1,4004.179,1460.324
4,29,5,1,3927.068,1432.202
4,29,6,1,4054.001,1478.494
4,29,7,1,4027.502,1468.83
4,29,8,1,4813.448,1755.464
4,29,9,2,5739.037,2093.027
4,29,10,3,6075.732,4134.536
4,29,11,3,6066.967,6619.667
4,29,12,3,5376.436,5866.229
4,29,13,2,4180.133,4560.943
4,29,14,2,6147.829,4183.598
4,29,15,2,6478.068,4408.325
4,29,16,2,5660.681,3852.094
4,29,17,2,5365.868,3651.473
4,29,18,2,4432.568,3016.363
4,29,19,2,4215.878,2868.905
4,29,20,3,4403.736,2996.742
4,29,21,3,4285.84,4676.28
4,29,22,3,4157.538,4536.29
4,29,23,2,3168.32,3456.954
4,29,24,2,2635.281,1793.309
4,30,1,1,2409.491,1639.659
4,30,2,1,2641.259,963.267
4,30,3,1,2646.557,965.199
4,30,4,1,2491.471,908.639
4,30,5,1,2441.976,890.589
4,30,6,1,2645.581,964.844
4,30,7,1,2619.195,955.221
4,30,8,1,3559.091,1298.001
4,30,9,2,6470.944,2359.953
4,30,10,3,8897.296,6054.61
4,30,11,3,8794.393,9595.563
4,30,12,3,8211.714,8959.802
4,30,13,2,7465.68,8145.804
4,30,14,2,9046.299,6156.006
4,30,15,2,9326.683,6346.808
4,30,16,2,9253.064,6296.71
4,30,17,2,9334.274,6351.974
4,30,18,2,8565.956,5829.133
4,30,19,2,8225.428,5597.404
4,30,20,3,8216.003,5590.99
4,30,21,3,8192.522,8938.861
4,30,22,3,7750.131,8456.168
4,30,23,2,6972.329,7607.509
4,30,24,2,4908.287,3340.089
5,1,1,1,3697.089,1348.328
5,1,2,1,3712.305,1353.877
5,1,3,1,3600.607,1313.141
5,1,4,1,3461.965,1262.579
5,1,5,1,3422.624,1248.231
5,1,6,1,3443.829,1255.965
5,1,7,1,3370.035,1229.052
5,1,8,1,3109.664,1134.094
5,1,9,2,4744.751,3228.803
5,1,10,3,6145.761,6705.64
5,1,11,3,6865.988,7491.48
5,1,12,3,6891.628,7519.455
5,1,13,2,6783.316,4616.047
5,1,14,2,6923.891,4711.708
5,1,15,2,7161.824,4873.621
5,1,16,2,7169.216,4878.651
5,1,17,2,6976.197,4747.302
5,1,18,2,6763.007,4602.226
5,1,19,2,6702.084,4560.768
5,1,20,3,6553.908,7150.969
5,1,21,3,6456.507,7044.694
5,1,22,3,6260.689,6831.038
5,1,23,2,5970.525,4062.942
5,1,24,2,4132.277,2812.015
5,2,1,1,2604.368,949.813
5,2,2,1,2793.409,1018.756
5,2,3,1,2799.537,1020.991
5,2,4,1,2778.736,1013.405
5,2,5,1,2790.665,1017.756
5,2,6,1,2446.052,892.075
5,2,7,1,2849.512,1039.217
5,2,8,1,4537.736,1654.912
5,2,9,2,8003.113,5446.119
5,2,10,3,9731.668,10618.223
5,2,11,3,10479.86,11434.575
5,2,12,3,10116.303,11037.898
5,2,13,2,8547.602,5816.643
5,2,14,2,10327.763,7028.043
5,2,15,2,11014.241,7495.191
5,2,16,2,11239.667,7648.593
5,2,17,2,11401.063,7758.423
5,2,18,2,10938.174,7443.427
5,2,19,2,10621.931,7228.224
5,2,20,3,9647.326,10526.198
5,2,21,3,9496.836,10361.998
5,2,22,3,9297.988,10145.035
5,2,23,2,8825.946,6006.056
5,2,24,2,7861.228,5349.566
5,3,1,1,5902.333,4016.538
5,3,2,1,5968.693,2176.782
5,3,3,1,6045.316,2204.727
5,3,4,1,5963.965,2175.058
5,3,5,1,6062.759,2211.088
5,3,6,1,6338.956,2311.817
5,3,7,1,6291.372,2294.463
5,3,8,1,7465.177,2722.55
5,3,9,2,10112.063,3687.869
5,3,10,3,11491.296,7819.827
5,3,11,3,11835.98,12914.238
5,3,12,3,11329.29,12361.388
5,3,13,2,9687.469,10569.997
5,3,14,2,11220.8,7635.754
5,3,15,2,11380.246,7744.258
5,3,16,2,11098.802,7552.735
5,3,17,2,10952.243,7453.001
5,3,18,2,10769.411,7328.584
5,3,19,2,10815.621,7360.03
5,3,20,3,10540.917,7173.094
5,3,21,3,10122.061,11044.181
5,3,22,3,9127.359,9958.862
5,3,23,2,8585.997,9368.181
