hour,peak_flat_valley,real,pred
1,1,5223.973,5278.266761
2,1,5345.756,5419.499344
3,1,5411.38,5478.582036
4,1,5156.188,5219.120876
5,1,5121.39,5184.647857
6,1,5310.235,5374.540188
7,1,5212.164,5274.507348
8,1,6605.701,6675.533865
9,2,9529.049,9593.097761
10,3,11442.111,11496.0106
11,3,12249.673,12295.66523
12,3,11319.431,11367.8996
13,2,9796.902,9845.738004
14,2,11346.96,11400.81107
15,2,10395.932,10455.01821
16,2,8700.079,8757.541301
17,2,6767.675,6826.008588
18,2,6517.645,6588.84597
19,2,6036.579,6100.9254
20,3,4610.751,4666.756106
21,3,4218.355,4281.871058
22,3,3925.705,3989.554075
23,2,3786.499,3851.384785
24,2,3592.397,3658.533093
