real,gru
3281.08,3311.8761059757467
3249.281,3348.837714029073
4780.648,4536.694853081463
8401.331,7807.783553376196
11605.523,11387.4784404335
12161.561,12397.542607881067
11489.484,11576.107299520014
10112.75,10103.617341406343
11811.316,11579.480001294134
11629.996,11787.174998668192
11668.462,11674.30276050615
12007.447,11969.069582612035
11574.163,11614.668019709585
11625.599,11585.473442580222
11262.184,11279.172822986124
11203.038,11181.963815665244
9809.002,9877.993687771319
9451.872,9379.832997044561
7852.998,7940.020012117861
5784.283,5848.201693648337
5790.951,5671.237390815495
5653.791,5694.148393227814
5449.755,5515.460777303694
5222.272,5272.016969362019
5540.044,5515.8868362598405
5465.179,5524.448952017545
6964.522999999999,6806.686893603562
10137.104,9876.361786582946
11936.42,12007.619969282148
12324.0,12415.176361394404
11629.981,11624.09457411432
10358.854,10316.300249134538
12374.289,12141.80946320152
12642.235,12775.286796354769
12584.548,12584.04117218685
12961.811,12872.958427392958
11805.976,11839.413324190615
11170.104,11086.28416922426
11027.666,10979.966561943529
11020.35,11024.93088465309
9750.829,9822.387429791448
8985.447,8938.743539402483
7691.923,7728.670923285959
5632.02,5719.109009480475
5884.387,5751.084893116473
5953.374,5988.566260330437
5632.835,5727.273682182073
5584.965,5607.931468509673
5796.395,5794.569932771205
5725.396,5781.453517033576
7323.860000000001,7159.581352437256
10173.04,9974.641505496977
12151.331,12191.458049770354
12452.621,12555.538145975112
11515.813,11515.32792272186
10505.808,10428.499218759534
12194.973,12005.345005228994
12359.912,12479.113820716379
12597.566,12577.02709713268
12792.792,12741.419083771703
12145.057,12143.449313251016
11556.064,11501.519956066606
11000.513,10967.863625998973
10736.719,10714.484139097689
10076.072,10101.96397829294
9717.823,9702.65214493656
8247.673,8320.291143542288
5349.936,5454.470755685805
5659.903,5455.800997594594
5643.019,5686.503178600548
5268.719,5375.598181201457
5307.279,5321.105161221742
5704.964,5685.101396941661
5579.659,5656.533190068721
7161.331,6995.089210148095
10263.7,10023.70108145666
11971.832,12052.174925643918
12397.092,12476.53521016836
11846.523,11833.539910707472
10500.889,10471.311784763335
12520.757,12283.241164489267
12912.624,13035.846489507672
12835.394,12840.465072897909
12836.281,12759.114838401792
