real,lstm
3281.08,3277.2941882208584
3249.281,3259.6580500491855
4780.648,4699.911600603579
8401.331,8251.590726635932
11605.523,11532.753416073798
12161.561,12109.04187299776
11489.484,11413.293161813734
10112.75,10037.292839089392
11811.316,11736.684627706525
11629.996,11539.328713994024
11668.462,11563.758743766783
12007.447,11908.701956820008
11574.163,11468.498797193048
11625.599,11522.311792103765
11262.184,11157.7364818511
11203.038,11099.158144697663
9809.002,9700.82390687847
9451.872,9358.275685681341
7852.998,7771.8411880402555
5784.283,5736.6286968367085
5790.951,5727.681856200694
5653.791,5596.3221568408
5449.755,5395.080839811801
5222.272,5179.463212557314
5540.044,5490.21877136731
5465.179,5429.440189455269
6964.522999999999,6896.5463839309205
10137.104,10072.748734124658
11936.42,11889.065090303895
12324.0,12239.000188141821
11629.981,11520.734738057134
10358.854,10247.308109025
12374.289,12327.084697780607
12642.235,12540.701596690653
12584.548,12460.057221062181
12961.811,12859.625802632807
11805.976,11663.49866846895
11170.104,11055.20491712284
11027.666,10930.511132699965
11020.35,10919.19592889261
9750.829,9632.4024949975
8985.447,8889.981250848768
7691.923,7611.953820999144
5632.02,5584.15721977949
5884.387,5819.143836930274
5953.374,5893.847233756064
5632.835,5580.803992715119
5584.965,5537.650818012236
5796.395,5750.35637999463
5725.396,5687.536530546426
7323.860000000001,7257.814570513724
10173.04,10116.419777129648
12151.331,12104.712128344534
12452.621,12363.205117605685
11515.813,11396.646656851766
10505.808,10400.656742907046
12194.973,12144.046272721289
12359.912,12256.530606460568
12597.566,12483.81557207012
12792.792,12685.01396524906
12145.057,12015.572804834841
11556.064,11437.694575686453
11000.513,10891.254092276095
10736.719,10634.323054225442
10076.072,9969.904779154298
9717.823,9620.713694717406
8247.673,8152.5654045486435
5349.936,5301.970662728547
5659.903,5598.0347389695635
5643.019,5589.225811074018
5268.719,5219.479369218348
5307.279,5259.98875271201
5704.964,5656.066194477796
5579.659,5544.929590141772
7161.331,7095.536583490132
10263.7,10205.74192444515
11971.832,11923.93435938835
12397.092,12312.195686012743
11846.523,11738.93097585964
10500.889,10383.040476888178
12520.757,12474.854026041028
12912.624,12812.598750462053
12835.394,12706.64679079294
12836.281,12722.612873242853
11822.745,11686.757036112307
11540.134,11432.402223951338
10952.957,10842.859041106221
10633.174,10528.100038392065
10223.724,10121.573818681238
9667.231,9567.477787124155
8271.596,8177.090025768755
5767.236,5712.516621508836
5964.02,5901.511525650023
5871.02,5815.810482018708
5638.737,5583.4318862020955
5493.176,5447.068776208876
5856.816,5806.458646908521
5923.148,5881.701373961448
7434.629,7370.957864840029
10346.545,10292.108685195444
12330.87,12285.140147411345
12749.665,12660.04182314777
11759.421,11633.645925638673
10796.073,10687.972302597043
12692.765,12646.33162748432
12791.34,12679.58727776098
12564.547,12434.623250129698
12691.413,12584.733517990588
12206.044,12082.906812514302
12039.785,11927.47955144882
11305.803,11185.046384008405
10881.603,10773.378840923784
10478.181,10375.71083204746
9657.579,9553.09114337921
8357.037,8261.839193280695
5915.475,5856.710552036523
6191.402,6125.801360388755
6137.379,6079.371665131329
5816.267,5760.008682055234
5653.74,5606.077396652936
6036.099,5984.614086580514
6044.185,6001.7494465014925
7331.659,7270.89561381936
9991.518,9936.555332316397
12097.408,12052.978555503367
12815.622,12734.430445073125
11961.23,11836.019955377576
10919.061,10804.977948542593
12539.435,12489.21046411371
11566.917,11433.016670916079
10488.702,10358.655755623815
11413.981,11341.36153286123
11505.628,11406.436474209784
11791.191,11686.555135039804
11416.151,11303.280923883436
11423.447,11321.803360070227
10603.999,10491.061525107381
10105.7,10004.413169943808
8146.567000000001,8044.6596148157105
5424.068,5374.579932091712
5656.927,5596.879372005462
5776.821,5716.89843120241
5491.112,5436.6863712542045
5377.016,5330.982416052102
5465.089,5423.369644216298
5362.383,5329.047265811919
6734.885,6671.061040479421
9386.421,9322.605171395777
11206.527,11158.791295722005
11652.407,11576.648616962431
11011.936,10911.953721524236
10592.833,10504.840875862597
11873.934,11813.396701737878
10683.938,10557.848651141641
9315.769,9198.64347708225
7165.376,7080.714342155694
6348.504,6289.904008482932
6104.951,6044.761926362513
5027.055,4989.095937543391
4674.901,4632.610580697774
4266.205,4239.014375931262
4123.995,4093.0514263608447
3878.647,3860.5539950704565
3656.1659999999997,3645.9025518853655
3945.6480000000006,3913.9572261903277
3887.422,3875.3496077201357
3734.06,3731.8039068169587
3604.187,3606.392340234756
3905.2809999999995,3886.3393056645386
3797.4730000000004,3798.428478641271
4988.577,4925.387802864789
6452.327,6381.036508918999
7492.367000000001,7437.1289541373235
7959.527000000001,7913.445379614352
7101.022999999999,7072.763493818282
6257.527,6233.643559232711
7976.521,7877.059467827796
8446.616,8377.24870791292
8051.819,7991.968204209326
8308.455,8237.057823846339
8556.076,8484.891390342711
9971.211,9874.17664466047
9721.315,9645.708093629835
9735.93,9652.610884628295
9545.961,9467.531986918924
8568.019,8493.460262632369
7420.759,7357.0171522040355
5327.596,5309.47637484312
5456.738,5391.686676112651
5457.135,5397.222660441159
5295.301,5241.598267619847
5208.172,5161.25356405568
5377.234,5327.89468094921
5322.434,5284.313460074901
6968.768000000001,6879.4706404683575
9701.504,9613.055761912345
12141.791,12081.187473853586
12522.213,12438.340932476518
11884.291,11776.829555917739
10562.213,10453.02145532131
12375.831,12316.693946521757
12706.702,12605.808333483694
12775.028,12652.495969284531
13052.319,12943.418722151753
12259.229,12124.476971524713
12139.801,12029.302872651098
11594.16,11477.922966939448
11492.937,11385.535738775252
10282.995,10161.766440059184
9429.347,9327.546978355405
8001.859999999999,7914.286369121073
5154.267,5114.771406314849
5325.821,5266.374867737531
5217.071,5167.088028119325
5102.291,5050.1662426586145
5122.521,5077.941948077678
5231.456,5192.396804489134
5305.852,5272.053931566237
6888.484,6823.1915113945
9409.899,9351.290226527213
11854.1,11812.973027440068
12337.331,12259.249911850451
11613.778,11501.598649791715
10291.829,10180.19825922918
11697.029,11643.721107110976
11452.853,11349.951867075919
11697.084,11593.675077486036
12334.543,12244.346592132566
11511.32,11382.415015898703
11930.909,11835.346686840532
11972.132,11868.911547814843
12078.981,11969.64587504339
10713.811,10581.426563002107
9888.266,9783.834658463
8317.903,8224.91514359617
5575.775,5523.969238248824
5819.437,5753.802211291074
5756.256,5698.478535324096
5611.632,5552.659062696933
5566.977,5517.131230468511
5783.052,5734.919294252394
5874.347,5832.336164291619
7690.501000000001,7621.743638357161
10577.875,10524.80444057083
12645.945,12598.944491904733
12886.981,12789.906341730592
11720.351,11588.240441136835
10478.207,10365.721498275278
12481.997,12437.534123072623
11848.18,11721.997517011163
11631.451,11512.990957551954
11952.464,11860.797350381372
10931.941,10804.95171730089
11029.757,10933.431544276236
11561.737,11473.756173939226
11554.1,11446.141830400942
10042.248,9912.676953505514
8984.236,8887.188021050451
7657.041,7579.128204109191
5469.26,5424.507921128988
5301.133,5247.999088038444
5300.991,5247.66563331437
5162.896,5113.345778072595
5157.273,5113.5902055521
5400.152,5357.210080767631
5381.857,5349.030305229901
6708.488,6647.439012439727
9698.136,9633.309460051534
11124.635,11075.798826518057
11633.456,11558.843962934969
10565.053,10459.496597591398
9634.97,9543.75997530794
11377.91,11325.207857288835
11665.673,11574.584297729014
11536.025,11423.488371088979
11729.251,11633.047376396176
10650.821,10530.818548895833
11008.711,10919.252365806578
11138.665,11044.372209185598
11377.959,11276.243667662618
10601.059,10486.59982935953
9373.625,9266.72308793497
7326.364,7243.925525475024
4591.247,4575.651426554918
4672.133,4620.897536391258
4646.081,4596.076820094346
4501.14,4455.742061641454
4297.659,4268.479611781835
4347.348,4319.648418040275
4328.348,4308.997341579675
5445.997,5387.68521942377
8062.338999999999,7977.906668884276
10070.767,10020.833132363794
10807.309,10750.24686017227
9821.461,9735.716227660178
9032.9,8957.992501495837
10097.333,10039.003434002874
10276.951,10198.027554726123
10065.171,9970.48345624399
9944.701,9856.676432013986
9076.948,8986.150547134874
8321.732,8239.377301521776
8103.482,8027.015527782915
7904.669,7827.751887401102
7449.380999999999,7376.296319969652
6552.915,6495.652727211235
5184.665,5159.1479107444275
3676.9640000000004,3692.532558443069
3710.621,3676.4055115554324
3596.178,3570.2941772208205
3547.495,3524.2684828299275
3430.346,3421.2363385725016
3416.2430000000004,3410.1158818626395
3337.521,3340.527974611997
3685.989,3668.2217615871423
5495.04,5404.559459256886
7767.475000000001,7678.71074136114
8597.963,8552.858127367495
8809.578,8762.743830866812
8381.524,8333.96477444458
8771.759,8712.759007472514
9145.877,9080.044084481715
9182.786,9109.043119627475
8724.669,8651.27218203449
8205.98,8136.245597778796
7643.216000000001,7578.511372486113
7255.573,7190.71346446514
7020.831,6954.696277469872
6063.497,6022.57307798314
5090.037,5066.408945475578
3558.209,3589.51293364191
2694.271,2723.2549910207986
2681.29,2665.1005268867016
2585.043,2576.8564438608882
2765.538,2745.756030920744
2748.459,2750.3757102833983
2727.328,2738.0438471385237
2698.295,2715.136819156766
3164.711,3147.704700232863
5428.081,5298.737066024064
7306.843999999999,7219.3921605076775
7998.453,7957.21657826948
7914.886999999999,7882.255638343333
7747.000999999999,7709.077775506018
8137.46,8081.486688394545
8567.028,8501.6499742465
8385.168,8322.120971372602
7727.959,7672.338139399527
7539.079,7476.508407022475
7129.358000000001,7073.499955801247
6610.681,6559.557198759555
6185.379,6136.284715879678
5804.537,5758.679632475613
