time,power_num,fpg
1,2358.602,1
2,2401.467,1
3,2370.785,1
4,2021.816,1
5,1914.386,1
6,2160.329,1
7,2157.134,1
8,2121.598,1
9,4526.329,2
10,4300.656,2
11,3817.459,2
12,3456.808,2
13,3803.5,2
14,3682.644,2
15,5950.49,3
16,5720.615,3
17,7811.438,3
18,5043.027,2
19,5101.208,2
20,8405.452,3
21,8419.891,3
22,8352.521,3
23,5252.792,2
24,4012.842,2
1,1966.408,1
2,2383.552,1
3,2451.966,1
4,2416.716,1
5,2411.364,1
6,1884.656,1
7,2479.652,1
8,2424.491,1
9,5055.06,2
10,5082.138,2
11,5595.212,2
12,5581.611,2
13,6318.035,2
14,6302.537,2
15,9947.296,3
16,11213.969,3
17,11505.895,3
18,7604.695,2
19,7981.711,2
20,12772.024,3
21,12433.627,3
22,12846.724,3
23,8117.904,2
24,8010.125,2
1,14463.739,1
2,14752.804,1
3,14567.039,1
4,14454.176,1
5,13948.553,1
6,14229.938,1
7,14278.222,1
8,13863.579,1
9,11268.396,2
10,10545.845,2
11,10459.509,2
12,9863.967,2
13,10620.997,2
14,11020.759,2
15,10938.398,3
16,9930.471,3
17,11573.76,3
18,11451.324,2
19,7867.339,2
20,8131.26,3
21,10546.673,3
22,11509.752,3
23,11774.523,2
24,12370.324,2
1,12752.205,1
2,12857.006,1
3,11729.099,1
4,11936.011,1
5,12185.663,1
6,12344.798,1
7,12737.295,1
8,13961.124,1
9,13956.873,2
10,13825.985,2
11,14007.177,2
12,14268.035,2
13,13269.014,2
14,14541.657,2
15,13758.1,3
16,13680.406,3
17,14534.891,3
18,15044.812,2
19,15885.222,2
20,14583.921,3
21,14425.55,3
22,14598.536,3
23,14888.568,2
24,16289.393,2
1,16127.33,1
2,16246.992,1
3,15656.224,1
4,15577.55,1
5,15895.79,1
6,15896.827,1
7,15771.373,1
8,15478.841,1
9,13971.539,2
10,12829.177,2
11,13441.892,2
12,14010.167,2
13,14510.083,2
14,15697.792,2
15,15721.729,3
16,16722.292,3
17,16757.299,3
18,16109.849,2
19,16009.676,2
20,16098.162,3
21,15815.517,3
22,16583.243,3
23,16683.486,2
24,16330.828,2
1,16851.839,1
2,17396.652,1
3,17665.81,1
4,17856.172,1
5,17456.321,1
6,16708.117,1
7,16450.724,1
8,13462.684,1
9,11815.108,2
10,10586.824,2
11,10481.952,2
12,9829.709,2
13,10118.004,2
14,10696.213,2
15,11373.531,3
16,11787.067,3
17,12257.337,3
18,12573.25,2
19,13338.53,2
20,13380.255,3
21,13175.386,3
22,12261.812,3
23,13164.414,2
24,13522.378,2
